Latitude,Longitude,Date,Month,Depth,Calciopappus caudatus,Coccolithus pelagicus,Emiliania huxleyi,Syracosphaera spp.,Gephyrocapsa ericsonii
66.56,7.44,18/08/88,8,1,800,1500,13500,20900,0
67.25,5.14,19/08/88,8,1,200,700,6800,18300,0
68.4,5.54,29/08/88,8,20,1700,0,4400,25500,0
71.38,-8.25,10/09/88,9,20,2700,2600,113000,0,0
72.13,-13,11/09/88,9,10,1700,20400,5400,0,0
71.17,-14.04,13/09/88,9,1,7500,0,139000,0,0
70.26,-16.05,14/09/88,9,1,2200,1500,53200,0,0
70.24,-19.21,15/09/88,9,20,0,2900,0,0,0
70.22,-18.12,16/09/88,9,20,300,1800,0,0,0
70,-12.25,16/09/88,9,1,2100,2000,60000,17800,0
70.34,-12.43,17/09/88,9,1,1000,700,27600,2300,0
70.19,-10.37,18/09/88,9,1,1700,0,157700,96000,0
70.57,-5.32,19/09/88,9,20,0,0,3700,10300,0
63.46,0.21,12/06/90,6,10,0,1900,78700,0,0
65,-1,13/06/90,6,15,7500,3800,154600,1300,0
65.3,-4,13/06/90,6,1,20500,5700,30200,13200,0
70.45,-5.3,20/06/90,6,10,700,7000,50300,1400,0
69.58,0.09,20/05/91,5,20,99000,4300,9200,11100,0
75.15,12.52,22/05/91,5,20,4200,0,42400,0,0
75,14.42,26/05/91,5,1,4300,400,23600,400,0
74.47,13.52,27/05/91,5,1,7000,400,52100,400,0
67.03,3.06,18/07/91,7,1,5100,25400,118300,105600,0
75.1,12.24,23/07/91,7,25,0,600,8600,0,0
74.59,14.49,25/07/91,7,16,0,17300,1200,0,0
74.47,13.53,26/07/91,7,15,1200,23900,15000,0,0
75.21,13.37,28/07/91,7,25,0,16100,11000,0,0
72.24,-7.42,31/07/91,7,10,0,26500,0,0,0
69.56,0.13,02/08/91,8,25,0,0,1700,0,0
68.44,0.1,04/08/91,8,1,0,0,3400,47600,0
71.25,21.3,10/08/91,8,5,16000,2000,36000,0,0
75,28,11/08/91,8,2,0,0,2992800,0,0
60,-14,19/08/91,8,15,2100,2100,1310500,53400,0
53.32,-20.17,22/08/91,8,1,0,1600,231600,71200,0
52.33,-20.2,25/08/91,8,10,600,1200,105900,49100,0
54.58,-19.45,27/08/91,8,25,0,1100,105000,66100,0
52.3,-19.57,24/05/92,5,7,0,1600,11700,4800,0
54.3,-21,24/05/92,5,10,95500,94300,266500,6600,0
54.4,-21,26/05/92,5,5,75400,31700,395300,23800,0
59.29,-20,30/05/92,5,7,2400,28400,8300,1200,0
62.3,-14,07/06/92,6,1,20700,20700,352500,0,0
64,-10,08/06/92,6,1,6100,4600,24400,0,0
65.32,-3.59,09/06/92,6,10,0,3900,95400,500,0
72.15,11.04,12/06/92,6,10,8500,1100,97100,0,0
73.51,21.37,13/06/92,6,10,800,1300,100600,0,0
74.08,21.09,13/06/92,6,20,0,3200,36600,0,0
76.32,8.37,18/06/92,6,10,4200,0,44200,0,0
77.04,6.23,20/06/92,6,20,2800,12700,24300,0,0
76,6.21,22/06/92,6,10,5600,7600,66300,0,0
75.19,9.46,23/06/92,6,10,8700,1900,49200,1000,0
66.39,4.55,03/07/92,7,10,6200,21100,302300,77200,0
67.39,5.47,04/07/92,7,10,9100,9100,411400,98600,0
67.13,2.55,05/07/92,7,10,1700,6900,506300,136200,0
68.43,0.09,06/07/92,7,10,5300,8500,99500,96300,0
69.41,0.28,07/07/92,7,30,1700,0,6900,0,0
70.45,5.3,10/07/92,7,10,2000,27200,1000,0,0
60.26,-4.54,05/10/93,10,1,2500,800,1700,2500,0
63.45,-5,08/10/93,10,1,1700,2300,3500,7500,0
65.49,-3.16,08/10/93,10,1,4400,0,50900,69700,0
70,3.58,10/07/94,7,20,4700,1000,87900,0,0
71.53,-5.09,11/07/94,7,20,4300,40100,0,0,0
72.24,-7.33,11/07/94,7,1,0,18600,0,0,0
74.57,-11.06,12/07/94,7,20,300,1600,0,0,0
75,-11.47,29/07/94,7,20,0,2200,0,0,0
75,-9.17,29/07/94,7,20,600,7500,0,0,0
75,-4.46,30/07/94,7,20,0,19500,0,0,0
75,-0.11,31/07/94,7,10,0,19300,0,0,0
75,2.18,01/08/94,8,1,0,21400,0,0,0
75,4.14,01/08/94,8,1,0,29600,0,0,0
67.37,5.48,08/02/87,2,1,0,200,300,400,0
66.59,7.44,09/02/87,2,1,0,0,300,100,0
71,18,02/11/88,11,10,0,0,200,1300,0
72,17.59,02/11/88,11,1,0,0,600,5500,0
73,18,03/11/88,11,10,400,400,3300,4500,0
76.03,16.59,04/11/88,11,10,0,0,7400,900,0
74.46,15.41,06/11/88,11,3,0,300,1300,1600,0
74.44,12.59,06/11/88,11,1,200,700,500,2500,0
74.45,10.01,07/11/88,11,1,0,1800,1000,400,0
70.59,3.58,17/11/88,11,10,0,0,0,0,0
71.31,-3.56,25/11/88,11,1,0,0,400,200,0
72.29,-3.33,26/11/88,11,20,200,400,1100,200,0
74.06,6,08/11/88,11,10,0,0,0,0,0
70.59,4,12/12/88,12,10,0,300,0,300,0
63.46,0.21,12/06/90,6,10,0,1900,78700,0,0
65,-1,13/06/90,6,15,7500,3800,154600,1300,0
65.3,-4,13/06/90,6,1,20500,5700,30200,13200,0
66.4,-8,14/06/90,6,10,0,1200,15300,0,0
67.27,-9.38,14/06/90,6,10,0,0,0,0,0
67.59,-10.51,14/06/90,6,10,0,0,100,0,0
68.41,-12.35,14/06/90,6,10,0,0,0,0,0
69.28,-16.32,15/06/90,6,20,0,500,0,0,0
70.45,-5.3,20/06/90,6,10,700,7000,50300,1400,0
72.33,-12.15,21/06/90,6,1,0,1500,0,0,0
75.5,-8.11,30/06/90,6,1,0,0,0,0,0
75.25,-7.2,30/06/90,6,1,0,0,0,0,0
75,-5,01/07/90,7,1,0,0,0,0,0
74.32,-2.19,02/07/90,7,1,0,0,0,0,0
74.36,3,06/07/90,7,1,0,600,0,0,0
72.15,11,08/07/90,7,0,0,0,0,0,0
64.35,3.3,22/02/91,2,10,0,300,3900,300,0
