reference,method,species,mean,sd,n
sheward2016,lab morphometrics,Calcidiscus leptoporus HET,251.9,142.0,1860
sheward2016,lab morphometrics,Helicosphaera carteri HET,186.3,58.8,990
sheward2014,lab morphometrics,Coccolithus pelagicus HET,418.2,283.8,510
sheward2024,AMT morphometrics,Acanthoica acanthifera HET,1.9,0.0,1
sheward2024,AMT morphometrics,Acanthoica quattrospina HET,4.9,2.5,6
sheward2024,AMT morphometrics,Algirosphaera robusta HET,16.8,1.5,2
sheward2024,AMT morphometrics,Alisphaera capulata HET,2.1,0.0,1
sheward2024,AMT morphometrics,Calcidiscus leptoporus HET,239.2,82.8,13
sheward2024,AMT morphometrics,Calciosolenia murrayi HET,2.9,2.0,3
sheward2024,AMT morphometrics,Calyptrolithina multipora HOL,53.2,4.9,2
sheward2024,AMT morphometrics,Corisphaera gracilis HOL,1.6,0.1,3
sheward2024,AMT morphometrics,Corisphaera tyrrheniensis HOL,1.9,1.4,5
sheward2024,AMT morphometrics,Discosphaera tubifera HET,24.4,20.9,18
sheward2024,AMT morphometrics,Emiliania huxleyi HET,4.5,4.9,334
sheward2024,AMT morphometrics,Florisphaera profunda NANO,37.5,4.4,2
sheward2024,AMT morphometrics,Gephyrocapsa ericsonii HET,1.2,0.9,104
sheward2024,AMT morphometrics,Gephyrocapsa muellerae HET,8.4,3.1,49
sheward2024,AMT morphometrics,Gephyrocapsa ornata HET,4.6,1.5,8
sheward2024,AMT morphometrics,Gephyrocapsa parvula HET,1.1,0.5,23
sheward2024,AMT morphometrics,Helicosphaera carteri HET,196.5,0.0,1
sheward2024,AMT morphometrics,Helicosphaera hyalina HET,102.0,65.8,2
sheward2024,AMT morphometrics,Helicosphaera pavimentum HET,67.6,52.4,2
sheward2024,AMT morphometrics,Helicosphaera wallichii HET,202.0,89.4,5
sheward2024,AMT morphometrics,Helladosphaera cornifera HOL,2.7,1.3,10
sheward2024,AMT morphometrics,Homozygosphaera spinosa HOL,3.3,3.8,2
sheward2024,AMT morphometrics,Michaelsarsia elegans HET,17.8,2.8,4
sheward2024,AMT morphometrics,Oolithotus antillarum HET,26.5,15.5,30
sheward2024,AMT morphometrics,Oolithotus fragilis HET,146.9,28.6,3
sheward2024,AMT morphometrics,Rhabdosphaera clavigera HET,20.5,10.6,17
sheward2024,AMT morphometrics,Syracosphaera anthos HET,5.2,2.4,2
sheward2024,AMT morphometrics,Syracosphaera anthos HOL,11.3,0.0,1
sheward2024,AMT morphometrics,Syracosphaera aurisinae HOL,9.4,2.5,4
sheward2024,AMT morphometrics,Syracosphaera bannockii HET,3.4,3.4,5
sheward2024,AMT morphometrics,Syracosphaera bannockii HOL,1.6,0.8,5
sheward2024,AMT morphometrics,Syracosphaera castellata HET,0.5,0.0,1
sheward2024,AMT morphometrics,Syracosphaera halldalii HET,3.8,5.3,3
sheward2024,AMT morphometrics,Syracosphaera hastata HET,1.2,0.0,2
sheward2024,AMT morphometrics,Syracosphaera histrica HET,10.9,0.0,1
sheward2024,AMT morphometrics,Syracosphaera histrica HOL,4.0,0.0,1
sheward2024,AMT morphometrics,Syracosphaera leptolepsis HET,1.9,0.9,2
sheward2024,AMT morphometrics,Syracosphaera mediterranea HET,35.9,0.0,1
sheward2024,AMT morphometrics,Syracosphaera mediterranea HOL wettsteinii type,5.5,0.0,1
sheward2024,AMT morphometrics,Syracosphaera molischii HET,2.5,1.3,9
sheward2024,AMT morphometrics,Syracosphaera nodosa HET,4.2,3.7,10
sheward2024,AMT morphometrics,Syracosphaera noroitica HET,1.0,0.5,3
sheward2024,AMT morphometrics,Syracosphaera orbiculus HET,0.5,0.0,1
sheward2024,AMT morphometrics,Syracosphaera ossa HET,3.6,1.3,21
sheward2024,AMT morphometrics,Syracosphaera prolongata HET,4.7,4.8,3
sheward2024,AMT morphometrics,Syracosphaera pulchra HET,60.4,36.9,5
sheward2024,AMT morphometrics,Syracosphaera pulchra HOL oblonga type,12.1,0.0,1
sheward2024,AMT morphometrics,Syracosphaera pulchra HOL pirus type,27.4,0.0,1
sheward2024,AMT morphometrics,Syracosphaera reniformis HET,1.0,0.6,2
sheward2024,AMT morphometrics,Syracosphaera strigilis HOL,2.1,0.0,1
sheward2024,AMT morphometrics,Tetralithoides quadrilaminata HET,52.9,0.0,1
sheward2024,AMT morphometrics,Umbellosphaera irregularis HET,12.0,9.1,33
sheward2024,AMT morphometrics,Umbellosphaera tenuis HET,7.0,3.5,86
sheward2024,AMT morphometrics,Umbilicosphaera hulburtiana HET,38.1,13.9,47
sheward2024,AMT morphometrics,Umbilicosphaera sibogae HET,173.4,107.6,2
sheward2024,AMT morphometrics,undefined,0.9,0.8,3
sheward2024,AMT morphometrics,undefined Acanthoica,4.5,2.7,2
sheward2024,AMT morphometrics,undefined Alisphaera,1.9,0.4,3
sheward2024,AMT morphometrics,undefined Calciosolenia,2.2,0.0,1
sheward2024,AMT morphometrics,undefined Corisphaera,2.7,1.1,3
sheward2024,AMT morphometrics,undefined Florisphaera,12.1,11.0,13
sheward2024,AMT morphometrics,undefined Gephyrocapsa,5.4,0.0,1
sheward2024,AMT morphometrics,undefined Ophiaster,4.3,0.2,5
sheward2024,AMT morphometrics,undefined Polycrater,1.2,0.9,3
sheward2024,AMT morphometrics,undefined Syracosphaera,2.7,4.9,33
sheward2024,AMT morphometrics,undefined Syracosphaera nodosa group,1.2,0.0,1
sheward2024,AMT morphometrics,undefined Syracosphaera nodosa type,4.0,0.0,1
sheward2024,AMT morphometrics,undefined Syracosphaera pulchra HOL type,15.7,0.0,1
sheward2024,AMT morphometrics,undefined holo,2.3,2.3,19
