Latitude,Longitude,Depth,Month,Year,Day,Reference,Method,Species,cells L-1
39.4729,25.3269,10.0,3,2014,22.0,Karatsolis2017,SEM,Acanthoica acanthifera HET,100.0
40.0648,25.3211,3.0,3,2014,22.0,Karatsolis2017,SEM,Acanthoica acanthifera HET,240.0
40.0648,25.3211,10.0,3,2014,22.0,Karatsolis2017,SEM,Acanthoica acanthifera HET,140.0
39.4728,25.327,3.0,3,2014,22.0,Karatsolis2017,SEM,Acanthoica acanthifera HET,240.0
39.4728,25.327,10.0,3,2014,22.0,Karatsolis2017,SEM,Acanthoica acanthifera HET,190.0
39.4728,25.327,20.0,3,2014,22.0,Karatsolis2017,SEM,Acanthoica acanthifera HET,580.0
39.4728,25.327,30.0,3,2014,22.0,Karatsolis2017,SEM,Acanthoica acanthifera HET,190.0
39.4728,25.327,50.0,3,2014,22.0,Karatsolis2017,SEM,Acanthoica acanthifera HET,190.0
39.3875,25.3552,3.0,3,2014,22.0,Karatsolis2017,SEM,Acanthoica acanthifera HET,50.0
39.3875,25.3552,10.0,3,2014,22.0,Karatsolis2017,SEM,Acanthoica acanthifera HET,290.0
39.3875,25.3552,20.0,3,2014,22.0,Karatsolis2017,SEM,Acanthoica acanthifera HET,390.0
39.3875,25.3552,30.0,3,2014,22.0,Karatsolis2017,SEM,Acanthoica acanthifera HET,340.0
39.3875,25.3552,50.0,3,2014,22.0,Karatsolis2017,SEM,Acanthoica acanthifera HET,190.0
39.3875,25.3552,75.0,3,2014,22.0,Karatsolis2017,SEM,Acanthoica acanthifera HET,240.0
39.4729,25.3269,10.0,7,2014,17.0,Karatsolis2017,SEM,Acanthoica acanthifera HET,480.0
39.4728,25.327,3.0,7,2014,17.0,Karatsolis2017,SEM,Acanthoica acanthifera HET,50.0
39.4728,25.327,20.0,7,2014,17.0,Karatsolis2017,SEM,Acanthoica acanthifera HET,50.0
34.4833333333333,-73.8855555555556,30.0,8,1965,17.0,marshall1968,LM,Acanthoica acanthifera HET,40.0
34.5,-73.05,75.0,8,1965,17.0,marshall1968,LM,Acanthoica acanthifera HET,80.0
41.143,3.38,40.0,6,1996,20.0,Cros2013,SEM,Acanthoica acanthifera HET,510.0
37.5133,24.5723,5.0,3,2003,1.0,Dimiza2008,SEM,Acanthoica acanthifera HET,64.0
37.5005,24.5605,5.0,3,2003,1.0,Dimiza2008,SEM,Acanthoica acanthifera HET,64.0
37.4902,25.0052,0.0,4,2002,1.0,Dimiza2008,SEM,Acanthoica acanthifera HET,96.0
37.4902,25.0052,5.0,4,2002,1.0,Dimiza2008,SEM,Acanthoica acanthifera HET,94.0
37.4902,25.0052,45.0,4,2002,1.0,Dimiza2008,SEM,Acanthoica acanthifera HET,96.0
37.4877,24.5997,45.0,4,2002,1.0,Dimiza2008,SEM,Acanthoica acanthifera HET,110.0
37.4657,24.5738,0.0,4,2002,1.0,Dimiza2008,SEM,Acanthoica acanthifera HET,73.0
37.5902,25.0052,45.0,8,2001,1.0,Dimiza2008,SEM,Acanthoica acanthifera HET,59.0
37.4847,24.5968,45.0,8,2001,1.0,Dimiza2008,SEM,Acanthoica acanthifera HET,110.0
37.4793,24.5933,15.0,8,2001,1.0,Dimiza2008,SEM,Acanthoica acanthifera HET,96.0
37.507,24.5654,5.0,9,2004,1.0,Dimiza2008,SEM,Acanthoica acanthifera HET,64.0
37.5133,24.5742,15.0,11,2003,1.0,Dimiza2008,SEM,Acanthoica acanthifera HET,64.0
37.5005,24.5606,15.0,11,2003,1.0,Dimiza2008,SEM,Acanthoica acanthifera HET,64.0
37.5088,24.5605,5.0,11,2003,1.0,Dimiza2008,SEM,Acanthoica acanthifera HET,64.0
37.5088,24.5605,15.0,11,2003,1.0,Dimiza2008,SEM,Acanthoica acanthifera HET,64.0
37.5073,24.5676,10.0,11,2003,1.0,Dimiza2008,SEM,Acanthoica acanthifera HET,64.0
37.5075,24.564,5.0,11,2003,1.0,Dimiza2008,SEM,Acanthoica acanthifera HET,64.0
37.5047,24.5642,5.0,11,2003,1.0,Dimiza2008,SEM,Acanthoica acanthifera HET,128.0
-28.8967,14.1617,0.0,2,1993,6.0,Cepek1996,SEM,Acanthoica acanthifera HET,1400.0
-0.1,141.59,20.0,12,1968,30.0,Okada1973,SEM,Acanthoica acanthifera HET,77.0
-0.1,141.59,30.0,12,1968,30.0,Okada1973,SEM,Acanthoica acanthifera HET,275.0
-0.1,141.59,50.0,12,1968,30.0,Okada1973,SEM,Acanthoica acanthifera HET,80.0
-0.1,141.59,75.0,12,1968,30.0,Okada1973,SEM,Acanthoica acanthifera HET,60.0
-0.1,141.59,100.0,12,1968,30.0,Okada1973,SEM,Acanthoica acanthifera HET,199.0
2.42,141.48,0.0,1,1969,3.0,Okada1973,SEM,Acanthoica acanthifera HET,20.0
2.42,141.48,17.0,1,1969,3.0,Okada1973,SEM,Acanthoica acanthifera HET,202.0
2.42,141.48,30.0,1,1969,3.0,Okada1973,SEM,Acanthoica acanthifera HET,273.0
2.42,141.48,56.0,1,1969,3.0,Okada1973,SEM,Acanthoica acanthifera HET,143.0
45.4,-154.57,0.0,8,1969,29.0,Okada1973,SEM,Acanthoica acanthifera HET,330.0
