species,mean,sd,method,reference,n
Acanthoica acanthos HET,180.0,0.0,literature morphometrics,villiot2021b,0.0
Acanthoica maxima HET,2572.0,0.0,literature morphometrics,villiot2021b,0.0
Acanthoica quattrospina HET,95.0,0.0,literature morphometrics,villiot2021b,0.0
Acanthoica quattrospina HOL,903.0,0.0,literature morphometrics,villiot2021b,0.0
Algirosphaera cucullata HET,53.0,0.0,literature morphometrics,villiot2021b,0.0
Algirosphaera robusta HET,78.0,0.0,literature morphometrics,villiot2021b,0.0
Alisphaera capulata HET,186.0,0.0,literature morphometrics,villiot2021b,0.0
Alisphaera extenta HET,190.0,0.0,literature morphometrics,villiot2021b,0.0
Alisphaera gaudii HET,167.0,0.0,literature morphometrics,villiot2021b,0.0
Alisphaera ordinata HET,162.0,0.0,literature morphometrics,villiot2021b,0.0
Alisphaera pinnigera HET,485.0,0.0,literature morphometrics,villiot2021b,0.0
Alisphaera quadrilatera HET,284.0,0.0,literature morphometrics,villiot2021b,0.0
Alisphaera unicornis HET,596.0,0.0,literature morphometrics,villiot2021b,0.0
Alisphaera unicornis POL,1468.0,0.0,literature morphometrics,villiot2021b,0.0
Calcidiscus leptoporus HET,598.0,0.0,literature morphometrics,villiot2021b,0.0
Calcidiscus leptoporus HOL,858.0,0.0,literature morphometrics,villiot2021b,0.0
Calciopappus rigidus HET,65.0,0.0,literature morphometrics,villiot2021b,0.0
Calciosolenia brasiliensis HET,462.0,0.0,literature morphometrics,villiot2021b,0.0
Calciosolenia murrayi HET,67.0,0.0,literature morphometrics,villiot2021b,0.0
Calicasphaera diconstricta HOL,180.0,0.0,literature morphometrics,villiot2021b,0.0
Calyptrolithina divergens HOL,69.0,0.0,literature morphometrics,villiot2021b,0.0
Calyptrolithina multipora HOL,1653.0,0.0,literature morphometrics,villiot2021b,0.0
Calyptrosphaera heimdaliae HOL,144.0,0.0,literature morphometrics,villiot2021b,0.0
Calyptrosphaera sphaeroidea HET,96.0,0.0,literature morphometrics,villiot2021b,0.0
Chrysotila carterae HET,1499.0,0.0,literature morphometrics,villiot2021b,0.0
Chrysotila roscoffensis HET,736.0,0.0,literature morphometrics,villiot2021b,0.0
Coccolithus pelagicus HET,1468.0,0.0,literature morphometrics,villiot2021b,0.0
Coccolithus pelagicus HOL,817.0,0.0,literature morphometrics,villiot2021b,0.0
Corisphaera gracilis HOL,155.0,0.0,literature morphometrics,villiot2021b,0.0
Corisphaera tyrrheniensis HOL,128.0,0.0,literature morphometrics,villiot2021b,0.0
Cyrtosphaera aculeata HET,124.0,0.0,literature morphometrics,villiot2021b,0.0
Discosphaera tubifera HET,108.0,0.0,literature morphometrics,villiot2021b,0.0
Emiliania huxleyi HET,48.0,0.0,literature morphometrics,villiot2021b,0.0
Florisphaera profunda NANO,34.0,0.0,literature morphometrics,villiot2021b,0.0
Formonsella pyramidosa HET,10.0,0.0,literature morphometrics,villiot2021b,0.0
Gephyrocapsa ericsonii HET,10.0,0.0,literature morphometrics,villiot2021b,0.0
Gephyrocapsa muellerae HET,41.0,0.0,literature morphometrics,villiot2021b,0.0
Gephyrocapsa oceanica HET,58.0,0.0,literature morphometrics,villiot2021b,0.0
Gephyrocapsa ornata HET,18.0,0.0,literature morphometrics,villiot2021b,0.0
Gephyrocapsa parvula HET,19.0,0.0,literature morphometrics,villiot2021b,0.0
Gladiolithus flabellatus HET,137.0,0.0,literature morphometrics,villiot2021b,0.0
Gliscolithus amitakareniae HOL,249.0,0.0,literature morphometrics,villiot2021b,0.0
Helicosphaera HOL ponticuliferus type,382.0,0.0,literature morphometrics,villiot2021b,0.0
Helicosphaera carteri HET,190.0,0.0,literature morphometrics,villiot2021b,0.0
Helicosphaera hyalina HET,754.0,0.0,literature morphometrics,villiot2021b,0.0
Helicosphaera pavimentum HET,756.0,0.0,literature morphometrics,villiot2021b,0.0
Helicosphaera wallichii HET,34.0,0.0,literature morphometrics,villiot2021b,0.0
Helladosphaera cornifera HOL,72.0,0.0,literature morphometrics,villiot2021b,0.0
Helladosphaera pienaarii HOL,1015.0,0.0,literature morphometrics,villiot2021b,0.0
Helladosphaera vavilovii HOL,52.0,0.0,literature morphometrics,villiot2021b,0.0
Holococcolithophora dentata HOL,1541.0,0.0,literature morphometrics,villiot2021b,0.0
Homozygosphaera spinosa HOL,31.0,0.0,literature morphometrics,villiot2021b,0.0
Homozygosphaera triarcha HOL,82.0,0.0,literature morphometrics,villiot2021b,0.0
Hymenomonas lacuna HET,1767.0,0.0,literature morphometrics,villiot2021b,0.0
Michaelsarsia adriaticus HET,894.0,0.0,literature morphometrics,villiot2021b,0.0
Michaelsarsia elegans HET,180.0,0.0,literature morphometrics,villiot2021b,0.0
Ochrosphaera neapolitana HET,450.0,0.0,literature morphometrics,villiot2021b,0.0
Oolithotus antillarum HET,230.0,0.0,literature morphometrics,villiot2021b,0.0
Oolithotus fragilis HET,1376.0,0.0,literature morphometrics,villiot2021b,0.0
Palusphaera vandelii HET,523.0,0.0,literature morphometrics,villiot2021b,0.0
Pappomonas borealis HET,113.0,0.0,literature morphometrics,villiot2021b,0.0
Pappomonas sp. type 3 HET,410.0,0.0,literature morphometrics,villiot2021b,0.0
Papposphaera arctica HET,180.0,0.0,literature morphometrics,villiot2021b,0.0
Papposphaera lepida HET,100.0,0.0,literature morphometrics,villiot2021b,0.0
Papposphaera sp. type 1 HET,22.0,0.0,literature morphometrics,villiot2021b,0.0
