Latitude,Longitude,Depth,Month,Year,Species,cells L-1
-30.0,112.0,0,2,1996,Acanthoica acanthifera HET,642.0
-30.0,112.0,20,2,1996,Acanthoica acanthifera HET,365.0
-30.0,112.0,40,2,1996,Acanthoica acanthifera HET,90.0
-30.0,112.0,75,2,1996,Acanthoica acanthifera HET,116.0
-30.0,113.0,0,2,1996,Acanthoica acanthifera HET,214.5
-30.0,113.0,40,2,1996,Acanthoica acanthifera HET,66.0
-29.0,14.0,0,2,1993,Acanthoica acanthifera HET,1400.0
-29.0,112.0,0,2,1996,Acanthoica acanthifera HET,109.0
-29.0,112.0,15,2,1996,Acanthoica acanthifera HET,70.0
-29.0,112.0,170,2,1996,Acanthoica acanthifera HET,13.0
-29.0,113.0,0,2,1996,Acanthoica acanthifera HET,36.0
-28.0,111.0,0,2,1996,Acanthoica acanthifera HET,91.0
-28.0,111.0,15,2,1996,Acanthoica acanthifera HET,140.0
-28.0,111.0,50,2,1996,Acanthoica acanthifera HET,275.0
-27.0,111.0,25,2,1996,Acanthoica acanthifera HET,249.0
-27.0,111.0,100,2,1996,Acanthoica acanthifera HET,123.0
-26.0,110.0,15,2,1996,Acanthoica acanthifera HET,39.0
-26.0,110.0,45,2,1996,Acanthoica acanthifera HET,54.0
-24.0,108.0,0,2,1996,Acanthoica acanthifera HET,88.0
-24.0,108.0,10,2,1996,Acanthoica acanthifera HET,70.0
-24.0,108.0,25,2,1996,Acanthoica acanthifera HET,193.0
-24.0,108.0,50,2,1996,Acanthoica acanthifera HET,167.0
-22.0,108.0,0,2,1996,Acanthoica acanthifera HET,137.0
-22.0,108.0,25,2,1996,Acanthoica acanthifera HET,118.0
-22.0,108.0,50,2,1996,Acanthoica acanthifera HET,70.0
-21.0,109.0,25,2,1996,Acanthoica acanthifera HET,313.0
-21.0,109.0,45,2,1996,Acanthoica acanthifera HET,139.0
-21.0,110.0,0,2,1996,Acanthoica acanthifera HET,22.0
-21.0,110.0,20,2,1996,Acanthoica acanthifera HET,42.0
-20.0,110.0,0,2,1996,Acanthoica acanthifera HET,41.0
-20.0,110.0,20,2,1996,Acanthoica acanthifera HET,35.0
-20.0,110.0,40,2,1996,Acanthoica acanthifera HET,95.0
-17.0,110.0,25,2,1996,Acanthoica acanthifera HET,58.0
-16.0,110.0,0,2,1996,Acanthoica acanthifera HET,92.0
