Latitude,Longitude,Depth,Day,Month,Year,Reference,Method,Calciopappus caudatus,Coccolithus pelagicus,Emiliania huxleyi,Syracosphaera spp.,Gephyrocapsa ericsonii
66.56,7.44,1,1988,8,1988,Baumann2000,SEM,800,1500,13500,20900,0
67.25,5.14,1,1988,8,1988,Baumann2000,SEM,200,700,6800,18300,0
68.4,5.54,20,1988,8,1988,Baumann2000,SEM,1700,0,4400,25500,0
71.38,-8.25,20,1988,10,1988,Baumann2000,SEM,2700,2600,113000,0,0
72.13,-13.0,10,1988,11,1988,Baumann2000,SEM,1700,20400,5400,0,0
71.17,-14.04,1,1988,9,1988,Baumann2000,SEM,7500,0,139000,0,0
70.26,-16.05,1,1988,9,1988,Baumann2000,SEM,2200,1500,53200,0,0
70.24,-19.21,20,1988,9,1988,Baumann2000,SEM,0,2900,0,0,0
70.22,-18.12,20,1988,9,1988,Baumann2000,SEM,300,1800,0,0,0
70.0,-12.25,1,1988,9,1988,Baumann2000,SEM,2100,2000,60000,17800,0
70.34,-12.43,1,1988,9,1988,Baumann2000,SEM,1000,700,27600,2300,0
70.19,-10.37,1,1988,9,1988,Baumann2000,SEM,1700,0,157700,96000,0
70.57,-5.32,20,1988,9,1988,Baumann2000,SEM,0,0,3700,10300,0
63.46,0.21,10,1990,12,1990,Baumann2000,SEM,0,1900,78700,0,0
65.0,-1.0,15,1990,6,1990,Baumann2000,SEM,7500,3800,154600,1300,0
65.3,-4.0,1,1990,6,1990,Baumann2000,SEM,20500,5700,30200,13200,0
70.45,-5.3,10,1990,6,1990,Baumann2000,SEM,700,7000,50300,1400,0
69.58,0.09,20,1991,5,1991,Baumann2000,SEM,99000,4300,9200,11100,0
75.15,12.52,20,1991,5,1991,Baumann2000,SEM,4200,0,42400,0,0
75.0,14.42,1,1991,5,1991,Baumann2000,SEM,4300,400,23600,400,0
74.47,13.52,1,1991,5,1991,Baumann2000,SEM,7000,400,52100,400,0
67.03,3.06,1,1991,7,1991,Baumann2000,SEM,5100,25400,118300,105600,0
75.1,12.24,25,1991,7,1991,Baumann2000,SEM,0,600,8600,0,0
74.59,14.49,16,1991,7,1991,Baumann2000,SEM,0,17300,1200,0,0
74.47,13.53,15,1991,7,1991,Baumann2000,SEM,1200,23900,15000,0,0
75.21,13.37,25,1991,7,1991,Baumann2000,SEM,0,16100,11000,0,0
72.24,-7.42,10,1991,7,1991,Baumann2000,SEM,0,26500,0,0,0
69.56,0.13,25,1991,2,1991,Baumann2000,SEM,0,0,1700,0,0
68.44,0.1,1,1991,4,1991,Baumann2000,SEM,0,0,3400,47600,0
71.25,21.3,5,1991,10,1991,Baumann2000,SEM,16000,2000,36000,0,0
75.0,28.0,2,1991,11,1991,Baumann2000,SEM,0,0,2992800,0,0
60.0,-14.0,15,1991,8,1991,Baumann2000,SEM,2100,2100,1310500,53400,0
53.32,-20.17,1,1991,8,1991,Baumann2000,SEM,0,1600,231600,71200,0
52.33,-20.2,10,1991,8,1991,Baumann2000,SEM,600,1200,105900,49100,0
54.58,-19.45,25,1991,8,1991,Baumann2000,SEM,0,1100,105000,66100,0
52.3,-19.57,7,1992,5,1992,Baumann2000,SEM,0,1600,11700,4800,0
54.3,-21.0,10,1992,5,1992,Baumann2000,SEM,95500,94300,266500,6600,0
54.4,-21.0,5,1992,5,1992,Baumann2000,SEM,75400,31700,395300,23800,0
59.29,-20.0,7,1992,5,1992,Baumann2000,SEM,2400,28400,8300,1200,0
62.3,-14.0,1,1992,7,1992,Baumann2000,SEM,20700,20700,352500,0,0
64.0,-10.0,1,1992,8,1992,Baumann2000,SEM,6100,4600,24400,0,0
65.32,-3.59,10,1992,9,1992,Baumann2000,SEM,0,3900,95400,500,0
72.15,11.04,10,1992,12,1992,Baumann2000,SEM,8500,1100,97100,0,0
73.51,21.37,10,1992,6,1992,Baumann2000,SEM,800,1300,100600,0,0
74.08,21.09,20,1992,6,1992,Baumann2000,SEM,0,3200,36600,0,0
76.32,8.37,10,1992,6,1992,Baumann2000,SEM,4200,0,44200,0,0
77.04,6.23,20,1992,6,1992,Baumann2000,SEM,2800,12700,24300,0,0
76.0,6.21,10,1992,6,1992,Baumann2000,SEM,5600,7600,66300,0,0
75.19,9.46,10,1992,6,1992,Baumann2000,SEM,8700,1900,49200,1000,0
66.39,4.55,10,1992,3,1992,Baumann2000,SEM,6200,21100,302300,77200,0
67.39,5.47,10,1992,4,1992,Baumann2000,SEM,9100,9100,411400,98600,0
67.13,2.55,10,1992,5,1992,Baumann2000,SEM,1700,6900,506300,136200,0
68.43,0.09,10,1992,6,1992,Baumann2000,SEM,5300,8500,99500,96300,0
69.41,0.28,30,1992,7,1992,Baumann2000,SEM,1700,0,6900,0,0
70.45,5.3,10,1992,10,1992,Baumann2000,SEM,2000,27200,1000,0,0
60.26,-4.54,1,1993,5,1993,Baumann2000,SEM,2500,800,1700,2500,0
63.45,-5.0,1,1993,8,1993,Baumann2000,SEM,1700,2300,3500,7500,0
65.49,-3.16,1,1993,8,1993,Baumann2000,SEM,4400,0,50900,69700,0
70.0,3.58,20,1994,10,1994,Baumann2000,SEM,4700,1000,87900,0,0
71.53,-5.09,20,1994,11,1994,Baumann2000,SEM,4300,40100,0,0,0
72.24,-7.33,1,1994,11,1994,Baumann2000,SEM,0,18600,0,0,0
74.57,-11.06,20,1994,12,1994,Baumann2000,SEM,300,1600,0,0,0
75.0,-11.47,20,1994,7,1994,Baumann2000,SEM,0,2200,0,0,0
75.0,-9.17,20,1994,7,1994,Baumann2000,SEM,600,7500,0,0,0
