Latitude,Longitude,Depth,Day,Month,Year,Reference,Method,Emiliania huxleyi,Gephyrocapsa ericsonii,Florisphaera profunda,Umbellosphaera irregularis,Umbellosphaera tenuis
22.345,-158.3,5,18,1,1994,Cortes2001,SEM,1050.0,78.0,0.0,467.0,350.0
22.345,-158.3,10,18,1,1994,Cortes2001,SEM,233.0,39.0,0.0,233.0,272.0
22.345,-158.3,25,18,1,1994,Cortes2001,SEM,1287.0,0.0,0.0,390.0,663.0
22.345,-158.3,50,18,1,1994,Cortes2001,SEM,0.0,0.0,0.0,0.0,78.0
22.345,-158.3,75,18,1,1994,Cortes2001,SEM,272.0,39.0,0.0,78.0,194.0
22.345,-158.3,100,18,1,1994,Cortes2001,SEM,595.0,0.0,2658.0,0.0,0.0
22.345,-158.3,150,18,1,1994,Cortes2001,SEM,0.0,0.0,962.0,0.0,0.0
22.345,-158.3,200,18,1,1994,Cortes2001,SEM,0.0,0.0,0.0,0.0,0.0
22.345,-158.3,5,15,2,1994,Cortes2001,SEM,1847.0,665.0,0.0,226.0,213.0
22.345,-158.3,10,15,2,1994,Cortes2001,SEM,2557.0,2216.0,0.0,1619.0,724.0
22.345,-158.3,25,15,2,1994,Cortes2001,SEM,4586.0,3958.0,63.0,1571.0,691.0
22.345,-158.3,50,15,2,1994,Cortes2001,SEM,7048.0,7493.0,223.0,1335.0,742.0
22.345,-158.3,75,15,2,1994,Cortes2001,SEM,4934.0,7018.0,0.0,1807.0,3057.0
22.345,-158.3,100,15,2,1994,Cortes2001,SEM,5927.0,1648.0,0.0,380.0,222.0
22.345,-158.3,150,15,2,1994,Cortes2001,SEM,1906.0,0.0,3369.0,0.0,19.0
22.345,-158.3,200,15,2,1994,Cortes2001,SEM,126.0,0.0,502.0,0.0,0.0
22.345,-158.3,5,3,7,1994,Cortes2001,SEM,477.0,358.0,0.0,119.0,895.0
22.345,-158.3,10,3,7,1994,Cortes2001,SEM,503.0,377.0,0.0,377.0,1822.0
22.345,-158.3,25,3,7,1994,Cortes2001,SEM,2801.0,1844.0,0.0,1666.0,3155.0
22.345,-158.3,50,3,7,1994,Cortes2001,SEM,4650.0,2087.0,0.0,2623.0,5783.0
