Latitude,Longitude,Depth,Day,Month,Year,Reference,Method,Acanthoica quattrospina,Algirosphaera robusta,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calciosolenia brasiliensis,Calciosolenia murrayi,Calciopappus rigidus ,Ceratolithus cristatus,Discosphaera tubifera,Helicosphaera carteri,Helicosphaera sp.1suave,Michaelsarsia adriaticus (Halolappus),Michaelsarsia elegans,Oolithotus spp.,Ophiaster hydroideus,Palusphaera spp.,Papposphaera sp.,Poricalyptra aurisinae,Pontosphaera syracusana,Reticulofenestra sessilis(sobre Thalassiosira),Rhabdosphaera clavigera,Scisphosphaera apsteinii,Syracosphaera pulchra HET,S. pulchra HOL,Syracosphaera pirus,Syracosphaera prolongata,Syracosphaera sp.(petita rodona),Syracosphaera spp.,Umbellosphaera irregularis,Umbilicosphaera anulus ,Umbilicosphaera sibogae,Coco sp1(med-large oval coccolths) Simil Coronosphaera,Coco sp2 (mediana cocos transparentes),Coco sp4 (dark 11-15um),Coco sp5 (reticulate16um),Coco sp6 (dark bipolar 14um),Coco sp8 (possible Gladiolithus),Coco sp9 (oval coccoliths 36um),Coco sp10 (25um SF),Coco sp11 (12-18um SF) simil Hayaster,Coco sp12 (bipolar HOL SF),Coco sp13 (elongated 19x6um SF),Coco sp15 (13x8um bipolar SF),Coco sp16 SF pointed,Coco sp17 SF tail (oval coccoliths),Coco sp18 SF triang,Coco sp19 SF Clear central area,Unidentified coccolithophores large,Unidentified coccolithophores small <10um
35.0812,-9.3099,3,16,12,2010,Estrada2016,LM,0,0.0,,260.0,10,10,0,10.0,190,30,,0.0,0,0.0,0,0,0.0,,0.0,0.0,40,30,90,0,0,0,0,0,0,0,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,,100,4932
35.0812,-9.3099,20,16,12,2010,Estrada2016,LM,0,10.0,,140.0,0,0,0,0.0,190,40,,0.0,0,0.0,0,0,0.0,,0.0,0.0,50,10,40,0,0,0,0,0,0,0,10,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,120,5343
35.0812,-9.3099,80,16,12,2010,Estrada2016,LM,0,0.0,,210.0,10,10,0,0.0,210,20,,0.0,10,0.0,0,0,0.0,,0.0,0.0,10,20,110,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,90,5206
29.41,-17.1728,3,19,12,2010,Estrada2016,LM,0,0.0,,0.0,10,0,0,0.0,250,10,,0.0,10,0.0,0,0,0.0,,10.0,0.0,20,0,20,10,0,0,0,0,0,0,20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,110,3425
29.41,-17.1728,28,19,12,2010,Estrada2016,LM,0,0.0,,40.0,10,20,0,0.0,310,30,,0.0,10,0.0,0,10,0.0,,10.0,0.0,20,10,80,30,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,220,3288
29.41,-17.1728,98,19,12,2010,Estrada2016,LM,0,0.0,,70.0,0,0,0,0.0,330,30,,0.0,0,0.0,0,0,0.0,,0.0,0.0,30,20,80,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,,80,2740
23.1644,-22.1333,3,22,12,2010,Estrada2016,LM,10,0.0,,0.0,0,0,20,0.0,640,0,,0.0,10,0.0,0,0,0.0,,0.0,0.0,30,0,90,10,20,20,0,0,150,10,660,10,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,130,7672
23.1644,-22.1333,33,22,12,2010,Estrada2016,LM,0,0.0,,0.0,0,10,20,0.0,490,10,,0.0,20,0.0,10,0,0.0,,0.0,0.0,60,0,130,50,0,10,0,0,959,0,540,10,0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,110,7398
23.1644,-22.1333,88,22,12,2010,Estrada2016,LM,0,10.0,,10.0,0,20,10,0.0,380,0,,0.0,0,0.0,10,0,0.0,,0.0,0.0,30,10,60,20,0,10,0,20,685,0,510,10,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,90,8357
21.2701,-23.2727,3,23,12,2010,Estrada2016,LM,10,0.0,,40.0,10,0,10,0.0,330,30,,0.0,0,0.0,10,0,0.0,,0.0,0.0,40,0,60,20,10,10,0,0,130,0,170,0,0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,90,4932
