Calcidiscus leptoporus HET,Day,Depth,Emiliania huxleyi HET,Latitude,Longitude,Method,Month,Reference,Umbellosphaera irregularis HET,Umbellosphaera tenuis HET,Umbilicosphaera foliosa HET,Umbilicosphaera sibogae HET,Year
91,1,0,5722,-16.40,-78.09,SEM,2,Hagino2006,0,16893,0,0,1964
0,1,0,5330,-17.58,-79.10,SEM,2,Hagino2006,0,4951,38,0,1964
0,2,0,1830,-19.37,-80.20,SEM,2,Hagino2006,0,20922,0,0,1964
0,3,0,13267,-17.47,-76.58,SEM,2,Hagino2006,0,4842,0,0,1964
0,4,0,34467,-16.49,-73.42,SEM,2,Hagino2006,0,233,0,0,1964
0,4,0,20468,-16.49,-73.42,SEM,2,Hagino2006,0,210,0,0,1964
0,5,0,1201,-17.33,-73.09,SEM,2,Hagino2006,0,4468,0,0,1964
0,28,0,1139,16.39,-110.15,SEM,2,Hagino2006,2395,701,0,643,1966
0,2,0,661,13.46,-116.38,SEM,3,Hagino2006,551,28,496,3969,1966
160,5,0,203,7.18,-125.21,SEM,3,Hagino2006,11,0,75,0,1966
32,6,0,301,5.40,-127.20,SEM,3,Hagino2006,0,0,0,0,1966
191,7,0,1117,3.31,-129.43,SEM,3,Hagino2006,354,0,27,163,1966
0,22,0,262,7.06,-79.58,SEM,2,Hagino2006,0,0,0,0,1967
0,25,0,361,6.15,-90.40,SEM,2,Hagino2006,416,1662,0,27,1967
0,27,0,1098,3.04,-97.08,SEM,2,Hagino2006,2063,67,0,366,1967
31,28,0,3284,1.25,-100.18,SEM,2,Hagino2006,2701,0,0,0,1967
126,1,0,3618,1.38,-103.56,SEM,3,Hagino2006,3660,0,0,42,1967
0,2,0,11021,1.43,-106.54,SEM,3,Hagino2006,14695,0,0,153,1967
233,4,0,8838,1.49,-112.44,SEM,3,Hagino2006,4109,0,0,0,1967
0,5,0,3104,1.46,-117.12,SEM,3,Hagino2006,1189,0,0,0,1967
389,6,0,12186,1.40,-120.20,SEM,3,Hagino2006,4278,0,0,0,1967
514,7,0,24437,1.54,-124.29,SEM,3,Hagino2006,21350,0,0,0,1967
569,8,0,8539,1.51,-129.01,SEM,3,Hagino2006,4066,0,0,0,1967
2557,10,0,12464,2.05,-134.43,SEM,3,Hagino2006,10014,0,0,0,1967
67,11,0,498,2.15,-138.49,SEM,3,Hagino2006,72,5,0,0,1967
3041,14,0,7151,2.50,-149.52,SEM,3,Hagino2006,5835,0,82,82,1967
630,15,0,2686,3.04,-155.35,SEM,3,Hagino2006,2089,0,0,0,1967
614,16,0,2560,3.45,-157.07,SEM,3,Hagino2006,444,0,68,0,1967
0,19,0,164,10.13,-155.01,SEM,3,Hagino2006,3445,197,0,16,1967
0,20,0,2151,13.08,-154.32,SEM,3,Hagino2006,4475,1284,0,0,1967
0,21,0,616,16.47,-156.09,SEM,3,Hagino2006,3295,857,0,0,1967
0,28,0,1925,19.18,-161.19,SEM,3,Hagino2006,3169,1392,0,0,1967
0,29,0,977,17.31,-164.41,SEM,3,Hagino2006,2691,881,0,0,1967
0,30,0,675,16.25,-166.58,SEM,3,Hagino2006,3553,828,0,0,1967
0,1,0,599,13.12,-173.07,SEM,4,Hagino2006,2608,97,0,0,1967
0,2,0,203,12.11,-175.19,SEM,4,Hagino2006,2514,11,0,11,1967
0,8,0,233,11.51,169.41,SEM,4,Hagino2006,1206,58,0,26,1967
0,9,0,535,14.08,166.46,SEM,4,Hagino2006,648,127,0,0,1967
0,10,0,1609,15.23,164.16,SEM,4,Hagino2006,3027,982,0,0,1967
0,12,0,514,19.03,161.19,SEM,4,Hagino2006,386,1328,0,0,1967
0,28,0,1117,18.32,179.30,SEM,4,Hagino2006,1170,1471,0,0,1967
0,3,0,179,8.14,176.16,SEM,5,Hagino2006,1365,36,0,208,1967
0,4,0,281,6.34,173.30,SEM,5,Hagino2006,605,37,0,64,1967
0,7,0,425,4.51,170.55,SEM,5,Hagino2006,1468,111,0,46,1967
0,9,0,0,1.02,161.29,SEM,5,Hagino2006,3064,591,0,81,1967
0,14,0,872,11.20,152.05,SEM,5,Hagino2006,2563,17,0,35,1967
0,16,0,156,17.55,149.09,SEM,5,Hagino2006,810,37,0,0,1967
0,21,0,447,18.30,128.23,SEM,5,Hagino2006,3407,0,0,0,1967
0,8,0,1525,18.18,119.48,SEM,6,Hagino2006,2021,1096,0,21,1967
0,20,0,18,7.21,120.31,SEM,6,Hagino2006,4242,0,0,0,1967
0,23,0,194,2.40,124.33,SEM,6,Hagino2006,5064,28,0,0,1967
0,28,0,24,2.30,139.58,SEM,6,Hagino2006,361,0,0,0,1967
0,29,0,48,1.53,142.23,SEM,6,Hagino2006,2411,0,0,0,1967
0,30,0,14,1.50,144.53,SEM,6,Hagino2006,3477,0,0,0,1967
0,2,0,13,1.40,151.25,SEM,7,Hagino2006,2655,0,0,127,1967
0,11,0,610,-14.57,147.55,SEM,7,Hagino2006,2088,225,0,32,1967
0,12,0,3983,-16.33,146.24,SEM,7,Hagino2006,924,144,0,58,1967
0,18,0,4997,-18.07,147.36,SEM,7,Hagino2006,597,81,0,109,1967
