Latitude,Longitude,Depth,Day,Month,Year,Reference,Method,Emiliania huxleyi,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Calcidiscus leptoporus quadriperforatus,Umbilicosphaera sibogae,Umbilicosphaera foliosa,Helicosphaera carteri,Helicosphaera wallichii,Helicosphaera hyalina,Scyphosphaera apsteinii,Pontosphaera japonica ,Acanthoica quattrospina,Acanthoica sp.,Algirosphaera robusta,Algirosphaera cucullata,Cyrtosphaera aculeata,Discosphaera tubifera,Rhabdosphaera clavigera var stylifera,Rhabdosphaera clavigera var. clavigera,Rhabdosphaera xiphos,Palusphaera vandellii,Syracosphaeraceae spp.,Syracosphaera anthos ,Syracosphaera ossa type 1,Syracosphaera  ossa type 2 ,Syracosphaera molischii type 3 or 4,Syracosphaera nodosa,Syracosphaera prolongata,Syracosphaera pulchra,Syracosphaera histrica,Syracosphaera bannockii,Syracosphaera nana,Syracosphaera hastata,Syracosphaera corolla,Syracosphaera azureaplaneta,Syracosphaera protrudens,Syracosphaera marginaporata,Syracosphaera dilatata or arethusae,Syracosphaera lamina,Syracosphaera rotula,Syracosphaera ampliora,Syracosphaera mediterranea,Michaelsarsia adriaticus,Michaelsarsia elegans,Ophiaster sp.,Calciosolenia brasiliensis,Calciosolenia murrayi,Calciosolenia corselli,Alisphaera gaudii,Alisphaera capulata,Alisphaera unicornis,Papposphaeracea,Kataspinifer baumannii,Papposphaera lepida,Papposphaera type1,Vexillarius sp.,Vexillarius cancellifer,Vexillarius iaculifer,Umbellosphaera tenuis,Umbellosphaera irregularis,Florisphaera profunda var. elongata,Florisphaera profunda var. profunda,Florisphaera profunda var rhinocera,Gladiolithus flabellatus,Navilithus altivelum,Canistrolithus valliformis,Ceratolithus cristatus HET nishidae type,Ceratolithus cristatus CER cristatus type,holococcolithophore spp.,Syracosphaera molischii HOL,Anthosphaera periperforata,Syracosphaera pulchra oblonga type,Syracosphaera pulchra  pirus type ,Syracosphaera histrica HOL,Syracosphaera banockii HOL,Syracosphaera anthos HOL,Calyptrolithina divergens,Helicosphaera HOL catilliferus type,Helicosphaera ponticuliferus HOL,Helicosphaera confusus type,Corisphaera sp.,Corisphaera gracilis,Corisphaera strigilis,Gliscolithus amitakareniae,Calyptrosphaera sphaeroidea HOL,Calyptrosphaera dentata,Syracosphaera. arethusae HOL,Calcidiscus leptoporus subsp. quadriperforatus HOL,Poricalyptra aurisinae,Coronosphaera mediterranea HOL gracillima type,Coronosphaera mediterranea HOL hellenica type,Coronosphaera mediterranea HOL wettsteinii type,Scyphosphaera apsteinii HOL,Pontosphaera japonica HOL,Sphaerocalyptra quadridentata,Alisphaera unicormis POL,Alisphaera gaudii POL,Flosculosphaera calceolariopsis
34.38,32.82,3,4,9,2018,Keuter2022,SEM,5090.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,510.0,1260.0,0.0,140.0,280.0,50.0,0.0,0.0,0.0,90.0,0.0,0.0,230.0,140.0,0.0,0.0,50.0,0.0,0.0,510.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,90.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,90.0,0.0,90.0,0.0,50.0,0.0,0.0,0.0
34.38,32.82,10,4,9,2018,Keuter2022,SEM,6460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,520.0,2850.0,100.0,140.0,140.0,100.0,0.0,0.0,0.0,100.0,0.0,50.0,190.0,330.0,100.0,0.0,0.0,0.0,0.0,1810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,520.0,0.0,140.0,0.0,190.0,100.0,190.0,0.0,0.0,0.0,290.0,0.0,100.0,100.0,0.0,0.0,0.0,140.0,240.0,0.0,50.0,190.0,0.0,50.0,50.0,0.0,190.0,50.0,0.0
34.38,32.82,25,4,9,2018,Keuter2022,SEM,8189.999999999999,40.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,40.0,40.0,0.0,310.0,2500.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,220.0,0.0,0.0,130.0,130.0,0.0,0.0,0.0,0.0,0.0,1180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,0.0,0.0,130.0,0.0,0.0,0.0,130.0,0.0,0.0,90.0,130.0,0.0,0.0,0.0,0.0,0.0,90.0,130.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0
34.38,32.82,50,4,9,2018,Keuter2022,SEM,10180.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,90.0,50.0,0.0,90.0,0.0,0.0,0.0,0.0,240.0,1990.0,190.0,0.0,280.0,0.0,0.0,0.0,0.0,380.0,0.0,0.0,240.0,90.0,0.0,0.0,50.0,0.0,0.0,1940.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,760.0,0.0,0.0,330.0,0.0,0.0,0.0,240.0,0.0,0.0,280.0,130.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,140.0,50.0,0.0
34.38,32.82,110,4,9,2018,Keuter2022,SEM,39610.0,0.0,0.0,190.0,190.0,130.0,0.0,0.0,0.0,0.0,0.0,380.0,0.0,1190.0,0.0,130.0,0.0,0.0,130.0,0.0,190.0,310.0,130.0,630.0,0.0,880.0,2009.9999999999998,60.0,250.0,250.0,0.0,130.0,310.0,130.0,0.0,0.0,1260.0,1700.0,0.0,0.0,190.0,190.0,0.0,0.0,380.0,2450.0,0.0,0.0,310.0,190.0,0.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.38,32.82,150,4,9,2018,Keuter2022,SEM,8610.0,0.0,50.0,0.0,250.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,150.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,150.0,0.0,100.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,150.0,0.0,50.0,0.0,0.0,200.0,0.0,550.0,2420.0,100.0,300.0,150.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.38,32.82,200,4,9,2018,Keuter2022,SEM,1240.0,0.0,0.0,40.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.0,0.0,0.0,40.0,80.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,370.0,410.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.95,33.04,25,4,10,2018,Keuter2022,SEM,6350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,220.0,0.0,0.0,0.0,170.0,0.0,0.0,2920.0,0.0,0.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.95,33.04,75,4,10,2018,Keuter2022,SEM,6870.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,450.0,280.0,0.0,0.0,0.0,0.0,110.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,340.0,0.0,0.0,0.0,230.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0
34.38,32.82,3,7,9,2018,Keuter2022,SEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
