Latitude,Longitude,Depth,Month,Year,Reference,Method,undefined holo,undefined hetero,Emiliania huxleyi,Gephyrocapsa oceanica,Gephyrocapsa muellerae,Umbellosphaera irregularis,Umbellosphaera tenuis,undefined Rhabdosphaeraceae,Algirosphaera robusta
-2.47455,99.48846,0,6,1985,Kleijne1984,SEM,0,2540,0.0,18288.0,0.0,1016.0,0.0,0.0,0.0
-1.53057,98.57054,0,6,1985,Kleijne1984,SEM,16,1608,,12880.0,0.0,1449.0,0.0,467.0,467.0
-1.8881,97.51745,0,6,1985,Kleijne1984,SEM,0,2170,0.0,18879.0,0.0,434.0,0.0,0.0,0.0
0.54352,96.32682,0,6,1985,Kleijne1984,SEM,31,3137,,21038.0,0.0,4396.0,,628.0,0.0
1.23974,94.471,0,6,1985,Kleijne1984,SEM,373,2033,,3726.0,0.0,9522.0,3312.0,,0.0
1.51949,93.1623,0,6,1985,Kleijne1984,SEM,616,2308,3318.0,9006.0,0.0,6873.0,0.0,616.0,0.0
2.1955,91.52619,0,6,1985,Kleijne1984,SEM,14,1439,1584.0,5472.0,0.0,3312.0,288.0,302.0,
2.41434,90.37568,0,6,1985,Kleijne1984,SEM,0,5050,4545.0,35855.0,0.0,505.0,0.0,,0.0
2.48318,90.08047,0,6,1985,Kleijne1984,SEM,322,3998,5239.0,21762.0,0.0,3224.0,0.0,685.0,
3.03445,89.15807,0,6,1985,Kleijne1984,SEM,307,3039,6140.0,18420.0,0.0,0.0,0.0,614.0,0.0
3.22467,88.02137,0,6,1985,Kleijne1984,SEM,0,3300,5610.0,23100.0,0.0,330.0,0.0,0.0,0.0
3.2891,87.3227,0,6,1985,Kleijne1984,SEM,285,5662,11949.0,36985.0,0.0,1138.0,0.0,,0.0
3.44963,86.3747,0,6,1985,Kleijne1984,SEM,480,4752,4320.0,35040.0,0.0,480.0,0.0,480.0,0.0
4.03352,85.46552,0,6,1985,Kleijne1984,SEM,0,6130,6743.0,42910.0,0.0,0.0,0.0,490.0,0.0
4.43118,84.09274,0,6,1985,Kleijne1984,SEM,0,4520,10848.0,28476.0,0.0,0.0,,,
5.06907,83.07847,0,6,1985,Kleijne1984,SEM,0,3930,6681.0,28689.0,0.0,0.0,,629.0,629.0
5.13705,82.2575,0,6,1985,Kleijne1984,SEM,0,8550,9405.0,70965.0,0.0,0.0,0.0,2480.0,2480.0
5.16162,82.01703,0,6,1985,Kleijne1984,SEM,69,6863,10992.0,53586.0,0.0,0.0,0.0,481.0,481.0
5.3203,81.15314,0,6,1985,Kleijne1984,SEM,0,8740,12236.0,66424.0,0.0,0.0,0.0,961.0,961.0
5.50747,80.22485,0,6,1985,Kleijne1984,SEM,0,510,,5100.0,0.0,0.0,0.0,0.0,0.0
6.13029,79.52199,0,6,1985,Kleijne1984,SEM,1535,1337,0.0,7450.0,0.0,0.0,,1535.0,1535.0
6.28867,79.20584,0,6,1985,Kleijne1984,SEM,0,690,,4140.0,0.0,0.0,0.0,,
6.46266,78.469,0,6,1985,Kleijne1984,SEM,0,780,,3198.0,0.0,0.0,0.0,,
7.09802,78.2211,0,6,1985,Kleijne1984,SEM,0,2550,510.0,11985.0,0.0,0.0,0.0,,0.0
7.29231,77.50826,0,6,1985,Kleijne1984,SEM,0,1330,0.0,1729.0,0.0,0.0,0.0,0.0,0.0
8.12412,76.01772,0,6,1985,Kleijne1984,SEM,0,2010,0.0,19296.0,0.0,0.0,0.0,0.0,0.0
8.36797,74.38465,0,6,1985,Kleijne1984,SEM,465,3274,332.0,22244.0,0.0,1328.0,0.0,930.0,465.0
9.02075,73.08215,0,6,1985,Kleijne1984,SEM,0,1650,330.0,7590.0,0.0,330.0,,330.0,
9.19621,71.40588,0,6,1985,Kleijne1984,SEM,0,2530,1771.0,17710.0,0.0,2530.0,759.0,,
9.40531,70.02325,0,6,1985,Kleijne1984,SEM,12,1169,2106.0,5850.0,0.0,,,304.0,304.0
10.06286,68.19382,0,6,1985,Kleijne1984,SEM,0,3040,11552.0,12160.0,0.0,912.0,0.0,,
10.26186,66.40665,0,6,1985,Kleijne1984,SEM,20,1948,2925.0,9945.0,0.0,780.0,,800.0,527.0
10.44246,65.27534,0,6,1985,Kleijne1984,SEM,0,480,2064.0,672.0,0.0,1152.0,240.0,,0.0
10.56668,64.28112,0,6,1985,Kleijne1984,SEM,234,1777,11700.0,2700.0,0.0,180.0,,918.0,
11.1148,63.30521,0,6,1985,Kleijne1984,SEM,312,1169,9240.0,1200.0,0.0,,,612.0,312.0
11.26312,62.26369,0,6,1985,Kleijne1984,SEM,0,250,1875.0,625.0,0.0,0.0,0.0,0.0,0.0
11.33774,61.55623,0,1,1985,Kleijne1984,SEM,0,1560,10764.0,2340.0,0.0,0.0,0.0,,
11.38701,61.31325,0,1,1985,Kleijne1984,SEM,920,3908,19600.0,10000.0,0.0,0.0,0.0,600.0,320.0
11.45033,61.00026,0,1,1985,Kleijne1984,SEM,0,3340,15698.0,8350.0,0.0,0.0,0.0,1303.0,
12.023,59.34,0,1,1985,Kleijne1984,SEM,0,3620,14118.0,15566.0,0.0,,0.0,2643.0,2317.0
12.10898,58.31358,0,2,1985,Kleijne1984,SEM,3237,7976,29880.0,22410.0,0.0,,0.0,8300.0,6889.0
12.29203,57.24056,0,2,1985,Kleijne1984,SEM,754,3695,22620.0,2262.0,0.0,0.0,0.0,2677.0,2300.0
12.41184,55.52018,0,3,1985,Kleijne1984,SEM,0,8650,40655.0,28545.0,0.0,,0.0,3460.0,2855.0
12.55866,54.43308,0,3,1985,Kleijne1984,SEM,0,7610,35767.0,35006.0,0.0,,0.0,1370.0,1370.0
12.29203,54.24056,0,3,1985,Kleijne1984,SEM,433,5367,23263.0,19476.0,0.0,541.0,0.0,3787.0,3787.0
12.51552,53.41537,0,3,1985,Kleijne1984,SEM,0,9510,60864.0,25677.0,0.0,,0.0,,
12.48747,52.47742,0,4,1985,Kleijne1984,SEM,0,6640,50464.0,9960.0,0.0,,0.0,465.0,465.0
12.47865,52.09211,0,4,1985,Kleijne1984,SEM,60,5994,30000.0,22200.0,0.0,,,780.0,780.0
12.48716,51.49525,0,4,1985,Kleijne1984,SEM,2740,10686,29592.0,44936.0,0.0,4384.0,2192.0,1096.0,1096.0
12.45183,51.09568,0,4,1985,Kleijne1984,SEM,0,1570,1099.0,8635.0,0.0,4867.0,,0.0,0.0
12.39909,50.21117,0,4,1985,Kleijne1984,SEM,0,610,0.0,3050.0,0.0,2318.0,,0.0,0.0
12.41337,48.23584,0,5,1985,Kleijne1984,SEM,9,299,390.0,1500.0,0.0,,390.0,0.0,0.0
12.2419,46.19805,0,5,1985,Kleijne1984,SEM,0,330,363.0,1089.0,0.0,726.0,1089.0,0.0,0.0
12.24023,45.44319,0,5,1985,Kleijne1984,SEM,456,1014,424.0,1802.0,0.0,2332.0,4558.0,,0.0
12.19984,44.29458,0,6,1985,Kleijne1984,SEM,1155,2195,2310.0,8778.0,0.0,2310.0,3003.0,578.0,0.0
12.20231,43.51751,0,6,1985,Kleijne1984,SEM,0,890,623.0,4895.0,0.0,1513.0,1513.0,303.0,0.0
12.44085,43.1882,0,6,1985,Kleijne1984,SEM,0,3070,1535.0,27630.0,0.0,1535.0,0.0,0.0,0.0
13.24757,43.04219,0,6,1985,Kleijne1984,SEM,0,1350,0.0,6345.0,0.0,675.0,,0.0,0.0
14.2905,42.26289,0,6,1985,Kleijne1984,SEM,0,1340,0.0,12596.0,0.0,0.0,,0.0,0.0
15.01842,42.03736,0,7,1985,Kleijne1984,SEM,400,280,,2016.0,0.0,0.0,,0.0,0.0
16.03703,41.16911,0,7,1985,Kleijne1984,SEM,2844,2126,0.0,6266.0,0.0,2169.0,9158.0,0.0,0.0
17.10546,40.32776,0,7,1985,Kleijne1984,SEM,1958,3884,,8568.0,0.0,15096.0,13056.0,,0.0
17.43801,40.12038,0,7,1985,Kleijne1984,SEM,526,2867,3212.0,8760.0,0.0,12264.0,2628.0,1022.0,0.0
18.01886,40.00924,0,8,1985,Kleijne1984,SEM,2520,2458,813.0,3794.0,0.0,14905.0,2439.0,840.0,0.0
18.50143,39.32077,0,8,1985,Kleijne1984,SEM,3213,3459,4158.0,8694.0,0.0,12096.0,5670.0,907.0,0.0
19.23557,39.12206,0,8,1985,Kleijne1984,SEM,818,1658,2436.0,1392.0,0.0,10092.0,1392.0,539.0,0.0
19.56462,38.52094,0,8,1985,Kleijne1984,SEM,1303,2900,1212.0,303.0,0.0,21210.0,2727.0,879.0,0.0
20.29,38.3,0,8,1985,Kleijne1984,SEM,37,3726,2611.0,2238.0,0.0,31332.0,746.0,0.0,0.0
21.04909,38.07903,0,8,1985,Kleijne1984,SEM,36,3576,3222.0,1432.0,0.0,29356.0,1074.0,0.0,0.0
22.58143,37.01154,0,9,1985,Kleijne1984,SEM,877,2282,948.0,1659.0,0.0,17064.0,1422.0,,0.0
24.10902,36.14154,0,9,1985,Kleijne1984,SEM,3062,3254,712.0,2136.0,0.0,25632.0,1424.0,1317.0,0.0
25.27823,35.26259,0,10,1985,Kleijne1984,SEM,836,796,,,0.0,5896.0,1672.0,,0.0
26.40748,34.4372,0,10,1985,Kleijne1984,SEM,433,1097,3990.0,2166.0,0.0,2622.0,1368.0,,0.0
27.4159,33.53286,0,10,1985,Kleijne1984,SEM,7,739,2664.0,,0.0,2590.0,2368.0,,0.0
28.1304,33.1886,0,10,1985,Kleijne1984,SEM,469,9323,86204.0,2811.0,0.0,,0.0,,0.0
28.45029,32.58263,0,11,1985,Kleijne1984,SEM,3879,4122,30217.0,902.0,0.0,,,5322.0,0.0
29.22336,32.39432,0,11,1985,Kleijne1984,SEM,240,1976,6200.0,600.0,0.0,0.0,1600.0,0.0,0.0
32.16512,30.11989,0,7,1985,Kleijne1984,SEM,449,1995,10608.0,,0.0,0.0,2856.0,1673.0,0.0
32.43058,28.22841,0,7,1985,Kleijne1984,SEM,4617,2238,16470.0,0.0,0.0,0.0,1890.0,2646.0,0.0
33.39486,25.0676,0,7,1985,Kleijne1984,SEM,3182,1722,14688.0,0.0,0.0,,1020.0,959.0,0.0
34.31909,21.27961,0,7,1985,Kleijne1984,SEM,1221,1598,13588.0,0.0,0.0,0.0,,2460.0,0.0
35.3,17.25,0,7,1985,Kleijne1984,SEM,934,47,462.0,0.0,0.0,0.0,,0.0,0.0
35.58195,15.53342,0,7,1985,Kleijne1984,SEM,2750,2395,19224.0,0.0,0.0,0.0,1335.0,294.0,0.0
36.245,14.116,0,7,1985,Kleijne1984,SEM,2774,1063,938.0,,0.0,,3752.0,,0.0
37.56,12.16,0,7,1985,Kleijne1984,SEM,0,20,,0.0,0.0,0.0,200.0,0.0,0.0
37.30667,10.2155,0,7,1985,Kleijne1984,SEM,1432,287,1419.0,,0.0,0.0,,288.0,0.0
37.34359,8.23473,0,7,1985,Kleijne1984,SEM,1288,1031,7540.0,0.0,0.0,0.0,1276.0,186.0,0.0
37.21,6.173,0,7,1985,Kleijne1984,SEM,6406,719,2040.0,1224.0,0.0,0.0,,802.0,0.0
37.09005,4.12312,0,7,1985,Kleijne1984,SEM,7711,709,2516.0,0.0,0.0,0.0,,1850.0,0.0
36.53554,2.11202,0,7,1985,Kleijne1984,SEM,4058,1464,7667.0,0.0,374.0,,187.0,1346.0,0.0
36.41314,0.1049,0,7,1985,Kleijne1984,SEM,1492,671,3116.0,0.0,,0.0,492.0,1492.0,0.0
36.26689,-1.44764,0,7,1985,Kleijne1984,SEM,1119,298,1845.0,205.0,205.0,0.0,369.0,185.0,0.0
35.57493,-7.06632,0,7,1985,Kleijne1984,SEM,9828,4057,6048.0,2016.0,2016.0,0.0,25704.0,605.0,0.0
39.02584,-10.27739,0,7,1985,Kleijne1984,SEM,2112,4189,32560.0,0.0,2640.0,0.0,2640.0,1408.0,0.0
40.29357,-10.26267,0,7,1985,Kleijne1984,SEM,4150,1245,2988.0,0.0,,0.0,830.0,2772.0,0.0
41.59776,-10.26482,0,7,1985,Kleijne1984,SEM,608,2279,11700.0,,4914.0,0.0,702.0,1240.0,0.0
44.43735,-8.35783,0,7,1985,Kleijne1984,SEM,6322,10268,90470.0,0.0,2180.0,0.0,,6322.0,0.0
46.05827,-7.19067,0,7,1985,Kleijne1984,SEM,13530,9647,77000.0,0.0,8800.0,0.0,,5500.0,0.0
47.42215,-6.01315,0,7,1985,Kleijne1984,SEM,4233,3687,27537.0,0.0,0.0,0.0,0.0,5672.0,0.0
48.48211,-5.20445,0,7,1985,Kleijne1984,SEM,16,1608,14973.0,0.0,,0.0,0.0,0.0,0.0
