Latitude,Longitude,Depth,Day,Month,Year,Reference,Method,A. acanthifera,A. acanthos,A. biscayensis,A. maxima,A. quattrospina,A. quattrospina (COMB),A. quattrospina (HOL),Acanthoica spp.,A. robusta (Algirosphaera cf. robusta),A. cucullata,A. robusta,A. robusta (HOL),Algirosphaera spp.,A. capulata,A. extenta,A. gaudii,A. gaudii (COMB),A. gaudii (POL),A. ordinata,A. pinnigera,A. quadrilatera,Alisphaera spp.,A. unicornis,A. unicornis (COMB),A. unicornis (POL),A. lafourcadii,A. periperforata,Anthosphaera spp.,Anthosphaera spp. (Type A),Anthosphaera spp. (Type C),B. virgulosa,B. bigelowii,C. leptoporus,C. leptoporus (HOL),Calcidiscus spp.,C. caudatus,Calciopappus spp.,C. brasiliensis,C. murrayi,Calciosolenia spp.,Calciosoleniaceae spp.,C. blokii,C. concava,C. diconstricta,C. multipora,C. cialdii,C. dentata,C. heimdalae,C. sphaeroidea,C. sphaeroidea (HOL),Canistrolithus spp.,Canistrolithus spp. (POL),C. valliformis,C. cristatus,C. cristatus (CER),Ceratolithus spp.,C. carterae,C. roscoffensis,C. pelagicus,C. pelagicus (HOL),C. gracilis (Corisphaera cf. Gracilis),C. gracilis,Corisphaera spp.,C. tyrrheniensis,C. maxima,C. mediterranea,C. mediterranea (COMB),C. mediterranea (HOL),Coronosphaera spp.,C. aculeata,C. cidaris,Cyrtosphaera spp.,D. tubifera,E. huxleyi,Ericiolus sp. (Ericiolus?),F. profunda,F. calceolariopsis,F. pyramidosa,G. ericsonii,G. muellerae,G. oceanica,G. ornata,Gephyrocapsa spp.,G. flabellatus,G. amitakareniae,H. cornifera (Including H. spinosa),H. perplexus,Helicosphaera spp. (HOL),Helicosphaera spp. (HOL catilliferus type),Helicosphaera spp. (HOL confusus type),Helicosphaera spp. (HOL dalmaticus type),H. carteri,H. carteri (HOL),H. hyalina,H. pavimentum,Helicosphaera spp.,H. wallichii,H. wallichii (HOL),H. cornifera,H. pienaarii,H. vavilovii,Heterococcolithophores,H. kastriensis,Holococcolithophore spp.,H. spinosa,Homozygosphaera spp.,H. triarcha,H. vercelli,H. youngii,H. lacuna,H. roseola,Hymenomonas spp.,Jomonlithus spp.,M. adriaticus,M. elegans,Michaelsarsia spp.,O. neapolitana,O. antillarum,O. fragilis,Oolithotus spp.,O. formosus,O. hydroideus,O. minimus,O. reductus,Ophiaster spp.,Cocco oth,Palusphaera sp. (Palusphaera sp. 1),Palusphaera spp.,P. vandelii,P. borealis,P. flabellifera,Pappomonas sp. (Including Papposphaera sp.),Pappomonas sp. (Type 3),Pappomonas sp. (Type 4),Pappomonas sp. (Type 5),Pappomonas spp.,P. arctica,P. lepida,P. sagittifera,Papposphaera sp. (Type 1),Papposphaera sp. (Type 2),Papposphaera sp. (Type 4),Papposphaera spp.,P. thomsenii,P. margalefii,P. ziveriae,Polycrater sp. (Ladle-like),Polycrater spp.,P. discopora,P. japonica,P. multipora,Pontosphaera spp.,P. syracusana,P. aurisinae,P. isselii,P. magnaghii,P. poritectum (Poritectolithus cf. Poritectus),P. maximus,P. poritectum,P. scenozonion,Reticulofenestra spp.,R. parvula,R. sessilis,Reticulofenestra sp.,R. clavigera,Rhabdosphaera spp.,R. xiphos,R. xiphos (COMB),S. apsteinii,S. apsteinii (HOL),Scyphosphaera spp.,S. helianthiformis,Solisphaera spp.,S. adenensis,S. adenensis (Sphaerocalyptra cf. Adenensis),S. dermitzakii,S. quadridentata,Sphaerocalyptra sp. (Sphaerocalyptra sp.1),Sphaerocalyptra sp. (Sphaerocalyptra sp.3),Sphaerocalyptra spp.,S. bicorium,S. schilleri (Syracolithus cf. Schilleri),S. quadriperforatus,Syracolithus sp. (Syracolithus sp. A),Syracolithus spp.,S. amoena (HOL),S. ampliora,S. anthos,S. anthos (HOL),S. arethusae,S. arethusae (COMB),S. arethusae (HOL),S. bannockii,S. bannockii (COMB),S. bannockii (HOL),S. borealis,S. castellata,S. anthos (Syracosphaera cf. Anthos),S. epigrosa (Syracosphaera cf. Epigrosa),S. nana (Syracosphaera cf. Nana),S. nodosa (Syracosphaera cf. Nodosa),S. noroitica (Syracosphaera cf. Noroitica),S. tumularis (Syracosphaera cf. tumularis),S. corolla,S. delicata,S. delicata (HOL),S. dilatata,S. epigrosa,S. exigua,S. florida,S. gaarderae,S. halldalii,S. halldalii (Syracosphaera halldalii + Syr...),S. halldalii (HOL),S. hastata,S. histrica,S. histrica (HOL),S. lamina,S. leptolepis,S. marginiporata,S. marginiporata (HOL),S. molischii,S. molischii (HOL),S. nana,S. nana (HOL),S. nodosa,S. noroitica,S. orbiculus,S. ossa,S. ossa (Type 2),S. prolongata,S. protrudens,S. pulchra,S. pulchra (COMB),S. pulchra (HOL),S. reniformis,S. rotula,Syracosphaera sp. (Type D),Syracosphaera sp. (Type K),Syracosphaera sp. (Type L),Syracosphaera spp.,Syracosphaera spp..1,S. squamosa,S. strigilis (COMB),S. strigilis,S. strigilis (HOL),S. tumularis,T. adriatica,T. quadrilaminata,T. latericioides,Turrisphaera spp.,Umbellosphaera spp. (Umbellocosphaera (?)),U. irregularis,Umbellosphaera spp.,U. tenuis,U. anulus,U. foliosa,U. hulburtiana,U. sibogae,Umbilicosphaera spp.,W. antarctica,Wigwamma spp.,W. triradiata,Z. amoena,Z. amoena (HOL),Z. marsilii
-29.5,-26.9,13.0,22,5,2003,Poulton2017,SEM,0,0,0,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,1094,1762,0,0,0,0,1397,61,547,122,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,122,0,61,0,0,243,425,0,61,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,2066,972,0,0,3341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,1580,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,365,0,61,122,122,0,182,0,0,365,0,61,0,243,0,243,0,0,0,0,0,0,1154,0,0,0,0,0,0,0,0,0,0,486,0,1883,0,0,0,0,0,0,0,0,0,0,0
-29.5,-26.9,116.0,22,5,2003,Poulton2017,SEM,0,0,0,0,59,0,0,0,0,0,353,0,0,0,0,0,0,0,0,59,0,59,118,0,0,0,0,0,0,0,0,0,177,0,0,0,648,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,353,0,6832,0,59,1060,118,294,59,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,294,0,0,0,0,0,0,0,0,0,1178,530,471,0,353,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,1355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,59,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,59,0,59,0,0,0,0,0,0,177,0,59,0,0,0,0,648,0,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,412,0,0,59,0,0,0,0,0,0,0,0
-21.6,-25.0,22.0,24,5,2003,Poulton2017,SEM,0,0,0,0,285,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,1140,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,71,0,0,356,998,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,143,71,0,0,0,927,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1711,356,0,0,2495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,499,0,71,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,356,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,71,0,0,0,0,0,0,0,143,0,143,0,285,0,0,0,0,428,0,1069,0,214,0,143,0,0,0,0,0,0,855,0,0,0,0,0,0,0,0,0,0,5631,0,356,0,0,1782,0,0,0,0,0,0,0,0
-21.6,-25.0,34.0,24,5,2003,Poulton2017,SEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,448,0,0,0,0,0,112,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,224,0,0,673,1682,0,336,0,0,224,0,0,0,0,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,1121,897,0,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1233,561,0,0,3587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,112,0,0,112,0,0,0,0,0,0,561,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,0,0,673,0,0,0,0,336,0,112,1457,0,0,785,0,0,448,0,673,0,448,0,0,112,336,0,0,0,0,448,0,0,0,0,0,0,0,0,0,0,10762,0,897,0,0,2130,0,0,0,0,0,0,0,0
-21.6,-25.0,60.0,24,5,2003,Poulton2017,SEM,0,0,0,0,512,0,0,102,0,0,0,0,0,102,0,0,0,0,0,0,0,0,102,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,512,0,0,0,0,0,102,0,0,0,0,0,205,0,0,0,0,307,1434,0,0,0,0,2357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,102,0,0,717,922,0,410,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,1742,1639,0,0,2971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,205,205,0,0,0,0,0,0,0,0,0,512,0,307,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,102,820,0,0,0,0,205,0,0,717,102,0,102,0,0,615,0,615,0,410,0,102,102,307,0,0,0,0,922,0,0,0,0,0,0,0,0,0,0,6455,0,2254,0,0,1025,0,0,0,0,0,205,0,0
-21.6,-25.0,140.0,24,5,2003,Poulton2017,SEM,0,0,0,0,336,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,37,0,0,112,187,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,75,149,0,149,0,0,299,37,410,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,112,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,1866,224,0,0,1530,0,0,0,187,37,0,0,0,0,0,0,0,0,0,0,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,112,0,187,0,0,0,0,37,0,112,37,75,0,0,0,37,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,373,0,224,0,0,112,0,0,0,0,0,0,0,0
-21.6,-25.0,200.0,24,5,2003,Poulton2017,SEM,0,0,0,0,32,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,258,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,2294,0,0,65,129,258,0,0,1131,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,194,0,0,162,32,0,0,65,65,0,32,0,32,0,0,0,0,0,0,32,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,388,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,32,32,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,32,0,32,0,0,0,32,0,32,0,0,65,0,0,0,0,0,0,0,0
-6.5,-25.0,10.0,28,5,2003,Poulton2017,SEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,177,88,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,441,0,0,0,0,0,0,0,0,0,0,88,0,706,0,0,0,265,0,88,0,0,88,794,0,0,0,88,0,0,706,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,706,0,88,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6178,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1059,0,0,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,883,177,0,441,0,88,0,2207,0,1412,0,0,530,0,0,1147,0,0,1147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,0,1236,0,0,0,0,0,0,0,0,0,0,0
8.5,-30.1,7.0,1,6,2003,Poulton2017,SEM,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,705,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,78,0,470,157,0,0,0,78,627,0,157,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489,313,0,0,4701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,470,0,0,0,0,627,0,313,0,0,0,78,0,235,0,0,0,0,627,0,0,0,0,0,0,0,0,0,0,784,0,784,0,0,0,0,0,0,0,0,0,0,0
8.5,-30.1,15.0,1,6,2003,Poulton2017,SEM,0,0,0,0,272,0,0,68,0,0,0,0,0,136,136,0,0,0,0,68,0,0,0,0,0,136,612,0,0,0,0,0,0,0,0,0,340,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,68,0,68,0,0,0,0,340,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,68,0,0,136,0,612,68,0,0,0,1360,476,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,816,0,0,3671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,68,0,0,0,0,0,0,0,340,0,0,680,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,476,0,0,68,0,136,0,0,136,0,204,884,0,0,0,0,0,272,0,0,0,0,0,204,0,340,0,0,0,0,816,0,0,0,0,0,0,0,0,0,0,1292,0,816,0,0,0,0,0,0,0,0,0,0,0
