Latitude,Longitude,Depth,Day,Month,Year,Reference,Method,Calciosolenia murrayi,Oolithotus antillarum,Umbilicosphaera hulburtiana,Emiliania huxleyi,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Gephyrocapsa spp.,Reticulofenestra parvula,Reticulofenestra sessilis,Acanthoica acanthifera,Acanthoica quattrospina,Algirosphaera oryza,Algirosphaera robsta,Discosphaera tubifera,Rhabdosphaera clavigera var. clavigera,Rhabdosphaera clavigera var. stylifera,Rhabdosphaera xiphos,Michaelsarsia adriaticus,Coronosphaera mediterranea,Syracosphaera spp.,Florisphaera profunda,Gladiolithus flabellatus,Turrilithus latericioides,Umbellosphaera irregularis,Umbellosphaera tenuis,holococcolithophores,miscellaneous
-29.6683,113.6842,0,22,2,1996,Takahashi2000,SEM,,,250.0,3375.0,125.0,,,,,312.0,,,,2250.0,,188.0,875.0,,,1938.0,,,,875.0,2375.0,1250.0,188.0
-29.3468,113.2168,0,22,2,1996,Takahashi2000,SEM,,,58.0,3148.0,117.0,,,,,117.0,,,,1166.0,117.0,583.0,583.0,,58.0,1865.0,,,,991.0,3323.0,816.0,58.0
-29.3468,113.2168,26,22,2,1996,Takahashi2000,SEM,,,290.0,3527.0,435.0,,48.0,,,,,,,386.0,97.0,242.0,,,,483.0,,,,1063.0,2995.0,338.0,97.0
-29.3468,113.2168,41,22,2,1996,Takahashi2000,SEM,,,66.0,5573.0,995.0,66.0,265.0,,,66.0,66.0,,,199.0,265.0,265.0,,,,1460.0,,,,398.0,3981.0,265.0,66.0
-29.3468,113.2168,75,22,2,1996,Takahashi2000,SEM,53.0,,,3543.0,4125.0,,106.0,,,,,,,688.0,212.0,106.0,,,,688.0,,,,53.0,1111.0,106.0,212.0
-29.3468,113.2168,121,22,2,1996,Takahashi2000,SEM,347.0,174.0,,4343.0,2432.0,695.0,,,,,,1911.0,347.0,,,,,174.0,,1042.0,24840.0,,347.0,,174.0,,174.0
-29.3468,113.2168,200,22,2,1996,Takahashi2000,SEM,,64.0,,551.0,64.0,339.0,,,,,,275.0,85.0,21.0,,,,,,42.0,2563.0,212.0,,,42.0,,42.0
-29.3312,112.9478,0,22,2,1996,Takahashi2000,SEM,,,64.0,2569.0,128.0,,128.0,,,642.0,64.0,,,1284.0,,450.0,578.0,,,1477.0,,,,1220.0,4431.0,835.0,128.0
-29.3312,112.9478,23,22,2,1996,Takahashi2000,SEM,,,146.0,2922.0,292.0,,,,,365.0,,,,1826.0,292.0,292.0,,,,1096.0,,,,1534.0,6648.0,584.0,
-29.3312,112.9478,40,22,2,1996,Takahashi2000,SEM,,,269.0,4392.0,179.0,,,,,90.0,,,,1524.0,90.0,448.0,,,,448.0,,,,2868.0,8335.0,269.0,90.0
-29.3312,112.9478,75,22,2,1996,Takahashi2000,SEM,,,,3097.0,1742.0,,348.0,,,116.0,,,,581.0,116.0,,,,,735.0,,,,194.0,1355.0,39.0,77.0
-29.3312,112.9478,119,22,2,1996,Takahashi2000,SEM,500.0,188.0,62.0,4375.0,1312.0,62.0,,,,,,500.0,62.0,62.0,,,188.0,,,812.0,4062.0,312.0,,,438.0,,62.0
-28.7137,113.388,0,22,2,1996,Takahashi2000,SEM,,,18.0,2049.0,431.0,234.0,36.0,,,36.0,,,,72.0,,162.0,,,,234.0,,,,521.0,108.0,,
-28.7137,113.388,60,22,2,1996,Takahashi2000,SEM,247.0,62.0,,6969.0,3022.0,2837.0,,,62.0,,,62.0,,62.0,,,,,,123.0,555.0,,,,,,
-28.7137,113.388,85,22,2,1996,Takahashi2000,SEM,,,,1291.0,76.0,2887.0,,,,,,38.0,,,,,,,,38.0,3494.0,,,,,38.0,38.0
-28.4145,112.2822,0,23,2,1996,Takahashi2000,SEM,327.0,109.0,,11218.0,3921.0,871.0,,,,109.0,,,,327.0,,327.0,,,109.0,1089.0,109.0,,,2723.0,436.0,327.0,
-28.4145,112.2822,18,23,2,1996,Takahashi2000,SEM,140.0,210.0,,7640.0,2103.0,1121.0,,,,70.0,,,,561.0,,491.0,,,,701.0,,,,1402.0,210.0,210.0,140.0
-28.4145,112.2822,55,23,2,1996,Takahashi2000,SEM,498.0,1742.0,,19412.0,3982.0,15928.0,,,498.0,,,498.0,747.0,,,,,249.0,,995.0,8710.0,,1244.0,,,,498.0
-28.4145,112.2822,170,23,2,1996,Takahashi2000,SEM,13.0,214.0,,735.0,107.0,187.0,,,,13.0,,227.0,,,,,,,,80.0,989.0,40.0,,,40.0,13.0,40.0
-28.4145,112.2822,199,23,2,1996,Takahashi2000,SEM,23.0,126.0,,641.0,46.0,92.0,,,,,,160.0,34.0,,,,,,,80.0,1030.0,34.0,,,,,34.0
-26.9567,111.3327,0,23,2,1996,Takahashi2000,SEM,,,9.0,183.0,13.0,,,,,,27.0,,,138.0,,94.0,,,4.0,76.0,,,,200.0,116.0,36.0,4.0
-26.9567,111.3327,26,23,2,1996,Takahashi2000,SEM,36.0,36.0,36.0,1953.0,426.0,106.0,,,,249.0,,,,604.0,,568.0,,,,1384.0,,,,1242.0,213.0,249.0,
-26.9567,111.3327,51,23,2,1996,Takahashi2000,SEM,,,,4748.0,1720.0,,,,,,,,,1032.0,69.0,1032.0,,69.0,,1376.0,,,,894.0,3028.0,826.0,206.0
-26.9567,111.3327,101,23,2,1996,Takahashi2000,SEM,123.0,981.0,491.0,6868.0,368.0,1104.0,,,1472.0,123.0,,1472.0,736.0,,,,,,,981.0,10425.0,123.0,245.0,,123.0,,368.0
-26.9567,111.3327,152,23,2,1996,Takahashi2000,SEM,,270.0,54.0,863.0,54.0,108.0,,,,,,917.0,54.0,,,,,,,324.0,6740.0,1510.0,,,,,108.0
