Reference,Method,Day,Month,Year,Latitude,Longitude,Depth,A. acanthifera,A. acanthos,A. quattrospina,A. quattrospina (COMB),A. quattrospina (HOL),Acanthoica sp.,A. biscayensis,A. cucullata,A. robusta (Algirosphaera cf. robusta),A. robusta,A. robusta (HOL),A. capulata,A. extenta,A. gaudii,A. gaudii (POL),A. gaudii (HOL),A. ordinata,A. quadrilatera,Alisphaera sp.,A. unicornis,A. unicornis (COMB),A. unicornis (POL),A. lafourcadii (HOL),A. periperforata (HOL),A. periperforata type 2 (HOL),B. bigelowii,C. leptoporus,C. leptoporus quadriperforatus,C. leptoporus (HOL),C. leptoporus ssp. leptoporus (HOL),C. leptoporus ssp. quadriperforatus (HOL),C. brasiliensis,C. corselli,C. murrayi,C. rigidus,Calciopappus sp.,C. caudatus,Calciosolenia sp.,C. blokii (HOL),C. concava (HOL),C. multipora (HOL),C. cialdii (HOL),C. dentata,C. heimdalae,C. sphaeroidea,C. sphaeroidea (HOL),Canistrolithus sp. (POL),Canistrolithus valliformis,C. cristatus,C. cristatus HET nishidae type,C. cristatus CER cristatus type,Ceratolithus spp.,C. pelagicus,C. pelagicus ssp. braarudii (HOL),C. gracilis (Corisphaera cf. Gracilis),C. gracilis,Corisphaera sp. Type A (from Kleijne 1991),Corisphaera strigilis,C. tyrrheniensis,Calyptrolithina divergens,Calyptrosphaera sp.,Calyptrosphaera heimdalae,Calyptrosphaera sphaeroidea HOL,Calyptrosphaera dentata HOL,C. maxima,C. binodata [#l],C. mediterranea,C. mediterranea (COMB),C. mediterranea (HOL),C. mediterranea (HOL hellenica type),C. mediterranea (HOL gracillima type = Calyptr...),C. mediterranea (HOL wettsteinii type),Calyptrolithina multipora,Coronosphaera sp.,Cyrtosphaera aculeata,Chrysotila sp.,Cyrtosphaera sp.,C. lecaliae,D. tubifera,E. huxleyi,E. huxleyi (Type B/C),Ericiolus sp.,F. profunda,F. profunda var. elongata,F. profunda var. profunda,F. profunda var rhinocera,F. pyramidosa,Flosculosphaera calceolariopsis,G. ericsonii,G. muellerae,G. oceanica,G. ornata,Gephyrocapsa sp.,Gladiolithus flabellatus,Gliscolithus amitakareniae,H. perplexus,H. cornifera (Including H. spinosa),Helicosphaera sp.,Helicosphaera spp. (HOL),Helicosphaera spp. (HOL catilliferus type),Helicosphaera spp. (HOL confusus type),Helicosphaera spp. (HOL dalmaticus type),Helicosphaera ponticuliferus HOL,H. carteri,H. carteri (HOL),H. carteri (HOL perforate),H. carteri (HOL solid),H. cornifera (HOL),H. cornifera (including H. spinosa) (HOL),H. hyalina,H. pavimentum,H. wallichii,H. wallichii (HOL),H. pienaarii,H. kastriensis,H. spinosa (HOL),H. triarcha,H. vercelli (HOL),Hughesius youngii,Hymenomonas roseola,Hymenomonas sp.,Kataspiniferaÿbaumannii,M. adriaticus,M. elegans,Michaelsarsia sp.,Navilithus altivelum,Ochrosphaera neapolitana,Oolithotus fragilis,Ophiaster formosus,O. hydroideus,O. minimus,Ophiaster spp.,Palusphaera sp. (Palusphaera sp. 1),Palusphaera sp.,P. vandelii,Pappomonas sp. (Including Papposphaera sp.),Pappomonas sp. (type 1),Pappomonas sp. (type 2),Pappomonas sp. (type 3),Pappomonas sp. (Type 5),Pappomonas sp.,P. lepida,Papposphaera sp.,Papposphaera sp. Type 1,Papposphaera sp. Type 3,Papposphaera thomsenii,Pleurochrysis sp.,Pleurochrysis carterae,P. margalefii,Polycrater sp.,P. japonica,P. japonica (HOL),Pontosphaera sp.,P. syracusana,P. aurisinae (HOL),P. isselii,Poricalyptra gaarderae,P. poritectum (Poritectolithus cf. Poritectus),P. maximus,Reticulofenestra sp.,R. parvula,Rhabdosphaera sp.,R. clavigera,R. clavigera var stylifera,R. clavigera var clavigera,R. stylifera,R. xiphos,R. xiphos (COMB),Scyphosphaera sp.,S. apsteinii,S. apsteinii (HOL) (Syracolithus cf. Schilleri),S. adenensis (HOL),S. adenensis (Sphaerocalyptra cf. Adenensis),S. dermitzakii,S. quadridentata (HOL),Sphaerocalyptra spp. (HOL),Sphaerocalyptra sp. (sp. 1 ( from Cros and Fortuno...),Sphaerocalyptra sp. (sp. 3 ( from Cros and Fortuno...),Sphaerocalyptra sp. (sp. 6 ( from Cros and Fortuno...),S. bicorium,S. porosa,Syracolithus spp. (HOL),Syracolithus sp. (Type A) (HOL),S. amoena (HOL),S. ampliora,S. anthos,S. anthos (HOL),S. anthosphaera (HOL) (Anthospheara type),S. arethusae,S. arethusae (COMB),S. arethusae (HOL) (Homozygosphaera arethusae),S. azureaplaneta,S. bannockii,S. bannockii (COMB),S. bannockii (HOL),S. borealis,S. anthos (Syracosphaera cf. Anthos),S. nana (Syracosphaera cf. Nana),S. nana (HOL),S. tumularis (Syracosphaera cf. tumularis),S. corolla,S. delicata,S. delicata (HOL),S. dilatata,S. epigrosa,S. gaarderae,S. halldalii,S. halldalii (Syracosphaera halldalii + Syr...),S. halldalii (HOL),S. hastata,S. hirsuta,S. histrica,S. histrica (COMB),S. histrica (HOL),S. lamina,S. leptolepis,S. marginiporata,S. marginiporata (HOL),S. molischii,S. molischii (type 1),S. molischii type 3 or 4,S. molischii (COMB),S. molischii (HOL),S. molischii (HOL = Anthosphaera fragaria),S. nana,S. nana (HOL).1,S. nodosa,S. noroitica,S. orbiculus (including S. delicata),S. origami (former Anthosphaera sp. Type ...) (HOL),S. ossa,S. ossa (Type 1),S. ossa (Type 2),S. pirus,S. prolongata,S. prolongata (type 1) (sensu Throndsen),S. protrudens,S. pulchra,S. pulchra (COMB),S. pulchra (HOL),S. pulchra (HOL oblonga type),S. pulchra (HOL pirus type),S. rotula,Syracosphaera sp. (Type K),Syracosphaera sp. (Type L),Syracosphaera sp.,S. squamosa,S. strigilis (COMB),S. strigilis,S. strigilis (HOL),S. tumularis,T. adriatica,T. latericioides,T. heimii,Turrisphaera sp.,Umbilicosphaera sp.,U. tenuis,U. foliosa,U. irregularis,U. hulburtiana,U. sibogae,U. sibogae var siboage,Umbilicosphaera sibogae var. foliosa,Vexillarius sp.,V. cancellifer,V. iaculifer,Z. amoena,Z. marsilii,small placoliths,Placoliths,HET others,HOL others
Triantaphyllou2018,SEM,1,9,2011,37.34,23.2,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triantaphyllou2018,SEM,1,9,2011,37.34,23.2,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triantaphyllou2018,SEM,1,9,2016,37.34,23.2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triantaphyllou2018,SEM,1,9,2016,37.34,23.2,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triantaphyllou2018,SEM,1,9,2016,37.34,23.2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triantaphyllou2018,SEM,1,9,2016,37.34,23.2,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triantaphyllou2018,SEM,1,9,2016,37.34,23.2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triantaphyllou2018,SEM,1,9,2016,37.34,23.2,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triantaphyllou2018,SEM,1,9,2016,37.34,23.2,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triantaphyllou2018,SEM,1,9,2016,37.34,23.2,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
