species,volume,pg pic,phase
Acanthoica quattrospina,146.77,2.15,HET
Acanthoica quattrospina,141.69,6.87,HET
Acanthoica acanthifera,168.4,1.91,HET
Acanthoica quattrospina,169.23,5.68,HET
Acanthoica quattrospina,306.54,8.34,HET
Acanthoica quattrospina,147.37,3.16,HET
Acanthoica quattrospina,118.57,2.98,HET
Acanthoica quattrospina,283.98,4.51,HET
Algirosphaera robusta,1393.48,10.76,HET
Algirosphaera robusta,1388.96,24.6,HET
Algirosphaera robusta,981.9,19.05,HET
Algirosphaera robusta,547.19,15.75,HET
Algirosphaera robusta,616.0,17.81,HET
Alisphaera capulata,80.16,2.14,HET
Calcidiscus leptoporus,2307.1,430.68,HET
Calcidiscus leptoporus,1384.59,212.1,HET
Calcidiscus leptoporus,1384.12,148.23,HET
Calcidiscus leptoporus,2692.28,440.6,HET
Calcidiscus leptoporus,1648.75,205.48,HET
Calcidiscus leptoporus,2091.23,284.5,HET
Calcidiscus leptoporus,2806.64,371.86,HET
Calcidiscus leptoporus,1172.5,184.6,HET
Calcidiscus leptoporus,1152.23,181.11,HET
Calcidiscus leptoporus,1502.83,296.49,HET
Calcidiscus leptoporus,1920.34,251.26,HET
Calcidiscus leptoporus,1646.65,165.36,HET
Calcidiscus leptoporus,1935.51,269.35,HET
Calcidiscus leptoporus,1647.11,234.91,HET
Calcidiscus leptoporus,1705.67,162.88,HET
Calcidiscus leptoporus,1499.17,336.25,HET
Calcidiscus leptoporus,1209.9,237.38,HET
Calcidiscus leptoporus,730.59,104.56,HET
Calciosolenia murrayi,102.69,4.54,HET
Calciosolenia murrayi,109.58,3.26,HET
Calciosolenia murrayi,98.2,3.3,HET
Calciosolenia murrayi,165.62,3.72,HET
Calciosolenia murrayi,73.86,3.44,HET
Calciosolenia murrayi,124.79,3.52,HET
Calciosolenia murrayi,69.37,0.67,HET
Calciosolenia murrayi,136.4,3.25,HET
Calciosolenia murrayi,180.36,4.67,HET
Calciosolenia murrayi,133.61,3.51,HET
Calciosolenia murrayi,136.26,2.75,HET
Calciosolenia murrayi,117.37,3.56,HET
Calyptrolithina multipora,4282.61,56.64,HET
Calyptrolithina multipora,3788.89,49.7,HET
Corisphaera gracilis,118.17,1.46,HOL
Corisphaera tyrrheniensis,166.95,3.42,HOL
Corisphaera tyrrheniensis,140.6,2.94,HOL
Corisphaera gracilis,129.61,1.68,HOL
Corisphaera gracilis,118.71,1.62,HOL
Corisphaera tyrrheniensis,80.78,1.19,HOL
Corisphaera tyrrheniensis,229.13,1.87,HOL
Discosphaera tubifera,29.67,3.11,HET
Discosphaera tubifera,132.97,17.21,HET
Discosphaera tubifera,151.49,12.22,HET
Discosphaera tubifera,143.13,71.07,HET
Discosphaera tubifera,50.14,3.69,HET
Discosphaera tubifera,62.38,9.78,HET
Discosphaera tubifera,38.9,23.52,HET
Discosphaera tubifera,47.73,10.84,HET
Discosphaera tubifera,74.69,16.15,HET
Discosphaera tubifera,87.35,1.01,HET
Discosphaera tubifera,3048.62,46.72,HET
Discosphaera tubifera,22.45,8.37,HET
Discosphaera tubifera,304.48,13.34,HET
Discosphaera tubifera,187.48,8.41,HET
Discosphaera tubifera,172.01,61.96,HET
Discosphaera tubifera,93.19,26.85,HET
Discosphaera tubifera,147.54,49.35,HET
Discosphaera tubifera,68.84,39.01,HET
Discosphaera tubifera,272.45,16.12,HET
Discosphaera tubifera,129.25,24.31,HET
Emiliania huxleyi,45.61,1.36,HET
Emiliania huxleyi,56.08,2.24,HET
Emiliania huxleyi,52.88,2.48,HET
Emiliania huxleyi,125.15,1.73,HET
Emiliania huxleyi,90.58,1.71,HET
Emiliania huxleyi,172.83,2.35,HET
Emiliania huxleyi,64.78,0.84,HET
Emiliania huxleyi,88.74,1.07,HET
Emiliania huxleyi,50.6,1.79,HET
Emiliania huxleyi,55.59,1.14,HET
Emiliania huxleyi,52.07,1.04,HET
Emiliania huxleyi,58.71,0.78,HET
Emiliania huxleyi,94.61,2.88,HET
Emiliania huxleyi,46.3,2.16,HET
Emiliania huxleyi,44.33,1.19,HET
Emiliania huxleyi,93.04,1.85,HET
Emiliania huxleyi,174.86,3.73,HET
Emiliania huxleyi,107.48,1.92,HET
Emiliania huxleyi,62.99,1.81,HET
Emiliania huxleyi,46.39,1.79,HET
Emiliania huxleyi,61.11,5.9,HET
Emiliania huxleyi,85.13,3.04,HET
Emiliania huxleyi,39.27,1.24,HET
Emiliania huxleyi,50.97,0.87,HET
Emiliania huxleyi,46.3,1.12,HET
Emiliania huxleyi,40.88,0.98,HET
Emiliania huxleyi,48.64,0.6,HET
Emiliania huxleyi,63.66,1.73,HET
Emiliania huxleyi,160.75,3.12,HET
Emiliania huxleyi,47.65,1.32,HET
Emiliania huxleyi,44.91,1.3,HET
Emiliania huxleyi,57.94,2.02,HET
Emiliania huxleyi,57.36,1.14,HET
Emiliania huxleyi,42.98,1.03,HET
Emiliania huxleyi,221.78,5.8,HET
Emiliania huxleyi,114.57,2.51,HET
Emiliania huxleyi,52.14,1.71,HET
Emiliania huxleyi,73.71,0.77,HET
Emiliania huxleyi,106.99,3.63,HET
Emiliania huxleyi,60.85,1.14,HET
Emiliania huxleyi,93.99,1.83,HET
Emiliania huxleyi,33.54,0.93,HET
Emiliania huxleyi,37.02,0.53,HET
Emiliania huxleyi,79.77,2.77,HET
Emiliania huxleyi,51.63,0.96,HET
Emiliania huxleyi,83.78,1.21,HET
Emiliania huxleyi,56.58,1.76,HET
Emiliania huxleyi,40.45,1.01,HET
Emiliania huxleyi,39.63,1.43,HET
Emiliania huxleyi,60.14,1.21,HET
Emiliania huxleyi,121.08,3.89,HET
Emiliania huxleyi,45.55,1.67,HET
Emiliania huxleyi,48.26,1.34,HET
Emiliania huxleyi,73.58,1.75,HET
Emiliania huxleyi,181.91,7.06,HET
Emiliania huxleyi,55.94,1.43,HET
Emiliania huxleyi,54.85,2.03,HET
Emiliania huxleyi,76.59,1.65,HET
Emiliania huxleyi,83.78,1.53,HET
Emiliania huxleyi,53.5,2.1,HET
Emiliania huxleyi,68.32,2.64,HET
Emiliania huxleyi,57.76,1.58,HET
Emiliania huxleyi,80.81,2.35,HET
Emiliania huxleyi,62.36,1.72,HET
Emiliania huxleyi,41.34,0.72,HET
Emiliania huxleyi,44.3,0.76,HET
Emiliania huxleyi,59.96,1.14,HET
Emiliania huxleyi,50.3,0.93,HET
Emiliania huxleyi,52.54,0.65,HET
Emiliania huxleyi,67.39,1.65,HET
Emiliania huxleyi,40.28,0.75,HET
Emiliania huxleyi,42.48,1.38,HET
Emiliania huxleyi,42.92,0.77,HET
Emiliania huxleyi,110.91,2.3,HET
Emiliania huxleyi,99.23,2.76,HET
Emiliania huxleyi,95.19,1.65,HET
Emiliania huxleyi,168.88,4.78,HET
Emiliania huxleyi,121.79,4.37,HET
Emiliania huxleyi,46.42,0.96,HET
Emiliania huxleyi,40.99,0.65,HET
Emiliania huxleyi,266.78,5.95,HET
Emiliania huxleyi,313.12,6.63,HET
Emiliania huxleyi,49.58,0.93,HET
Emiliania huxleyi,31.71,0.7,HET
Emiliania huxleyi,71.73,1.65,HET
Emiliania huxleyi,261.01,6.36,HET
Emiliania huxleyi,71.81,1.47,HET
Emiliania huxleyi,205.2,4.98,HET
Emiliania huxleyi,93.89,1.82,HET
Emiliania huxleyi,62.24,1.75,HET
Emiliania huxleyi,63.12,1.21,HET
Emiliania huxleyi,58.93,3.71,HET
Emiliania huxleyi,491.75,6.67,HET
Emiliania huxleyi,56.83,1.84,HET
Emiliania huxleyi,48.54,1.57,HET
Emiliania huxleyi,35.96,1.08,HET
Emiliania huxleyi,46.99,1.32,HET
Emiliania huxleyi,305.05,6.03,HET
Emiliania huxleyi,41.98,0.95,HET
Emiliania huxleyi,39.07,1.61,HET
Emiliania huxleyi,55.34,1.67,HET
Emiliania huxleyi,46.99,1.06,HET
Emiliania huxleyi,74.9,2.21,HET
Emiliania huxleyi,49.58,1.09,HET
Emiliania huxleyi,112.76,2.92,HET
Emiliania huxleyi,75.9,1.09,HET
Emiliania huxleyi,52.68,1.5,HET
Emiliania huxleyi,46.99,1.1,HET
Emiliania huxleyi,52.54,1.51,HET
Emiliania huxleyi,50.07,0.7,HET
