species,mean,sd,method,reference
Acanthoica acanthifera,25.5,7.0,literature coccosphere,obrien2013b
Acanthoica ornata,224.0,17.25,literature coccosphere,obrien2013b
Acanthoica quattrospina,65.0,33.25,literature coccosphere,obrien2013b
Acanthoica sp.,85.0,16.25,literature coccosphere,obrien2013b
Algirosphaera cucullata,97.0,23.25,literature coccosphere,obrien2013b
Algirosphaera robusta,161.0,108.0,literature coccosphere,obrien2013b
Alisphaera extenta,64.0,20.5,literature coccosphere,obrien2013b
Alisphaera gaudii,172.0,11.0,literature coccosphere,obrien2013b
Alisphaera ordinata,151.0,20.5,literature coccosphere,obrien2013b
Alisphaera pinnigera,113.0,52.25,literature coccosphere,obrien2013b
Alisphaera sp.,125.0,34.0,literature coccosphere,obrien2013b
Alisphaera spatula,151.0,60.25,literature coccosphere,obrien2013b
Alisphaera unicornis,102.0,37.75,literature coccosphere,obrien2013b
Alisphaera unicornis POL,237.0,85.0,literature coccosphere,obrien2013b
Anacanthoica acanthos,57.0,6.25,literature coccosphere,obrien2013b
Anacanthoica cidaris,248.0,99.5,literature coccosphere,obrien2013b
Anthosphaera sp.,122.0,113.25,literature coccosphere,obrien2013b
Braarudosphaera bigelowii,131.0,112.25,literature coccosphere,obrien2013b
Braarudosphaera sp.,131.0,112.25,literature coccosphere,obrien2013b
Calcidiscus leptoporus,364.5,342.25,literature coccosphere,obrien2013b
Calcidiscus sp.,364.0,342.0,literature coccosphere,obrien2013b
Calcioconus sp.,113.0,15.5,literature coccosphere,obrien2013b
Calcioconus vitreus,113.0,15.5,literature coccosphere,obrien2013b
Calciopappus caudatus,25.0,3.75,literature coccosphere,obrien2013b
Calciopappus rigidus,33.0,9.25,literature coccosphere,obrien2013b
Calciosolenia brasiliensis,135.0,83.0,literature coccosphere,obrien2013b
Calciosolenia murrayi,344.0,310.0,literature coccosphere,obrien2013b
Calicasphaera blokii,40.0,5.25,literature coccosphere,obrien2013b
Calicasphaera concava,82.0,28.0,literature coccosphere,obrien2013b
Calicasphaera diconstricta,45.0,10.5,literature coccosphere,obrien2013b
Calyptrolithina divergens,25.0,3.5,literature coccosphere,obrien2013b
Calyptrolithina multipora,682.0,246.0,literature coccosphere,obrien2013b
Calyptrosphaera globosa,716.0,87.25,literature coccosphere,obrien2013b
Calyptrosphaera incisa,113.0,45.25,literature coccosphere,obrien2013b
Calyptrosphaera insignis,221.0,39.75,literature coccosphere,obrien2013b
Calyptrosphaera sp.,350.0,57.5,literature coccosphere,obrien2013b
Calyptrosphaera sphaeroidea,82.0,42.75,literature coccosphere,obrien2013b
Caneosphaera sp.,161.0,162.5,literature coccosphere,obrien2013b
Canistrolithus sp.,776.0,297.0,literature coccosphere,obrien2013b
Ceratolithus cristatus,246.0,181.25,literature coccosphere,obrien2013b
Ceratolithus sp.,246.0,181.25,literature coccosphere,obrien2013b
Chrysotila carterae,345.0,90.25,literature coccosphere,obrien2013b
Chrysotila roscoffensis,463.0,177.5,literature coccosphere,obrien2013b
Coccolithus pelagicus,382.0,286.5,literature coccosphere,obrien2013b
Coccolithus pelagicus HOL,248.0,150.5,literature coccosphere,obrien2013b
Coccolithus sp.,382.0,286.5,literature coccosphere,obrien2013b
Corisphaera gracilis,31.0,12.25,literature coccosphere,obrien2013b
Coronosphaera sp.,345.0,71.75,literature coccosphere,obrien2013b
Cribrosphaera ehrenbergii,65.0,26.0,literature coccosphere,obrien2013b
Cribrosphaera sp.,65.0,26.0,literature coccosphere,obrien2013b
Crystallolithus sp.,310.0,211.75,literature coccosphere,obrien2013b
Cyrtosphaera aculeata,60.5,24.25,literature coccosphere,obrien2013b
Discosphaera sp.,113.0,75.0,literature coccosphere,obrien2013b
Discosphaera tubifera,113.0,75.0,literature coccosphere,obrien2013b
Emiliania huxleyi,90.0,94.25,literature coccosphere,obrien2013b
Florisphaera profunda,126.5,62.5,literature coccosphere,obrien2013b
Gephyrocapsa ericsonii,7.0,2.75,literature coccosphere,obrien2013b
Gephyrocapsa muellerae,48.0,4.75,literature coccosphere,obrien2013b
Gephyrocapsa oceanica,113.0,92.0,literature coccosphere,obrien2013b
Gephyrocapsa ornata,31.0,0.0,literature coccosphere,obrien2013b
Gephyrocapsa parvula,4.0,0.75,literature coccosphere,obrien2013b
Gephyrocapsa sp.,50.0,24.75,literature coccosphere,obrien2013b
Gephyrocapsids,56.0,36.5,literature coccosphere,obrien2013b
Gladiolithus flabellatus,113.0,34.25,literature coccosphere,obrien2013b
Halopappus quadribrachiatus,31.0,11.0,literature coccosphere,obrien2013b
Halopappus sp.,132.0,52.0,literature coccosphere,obrien2013b
Halopappus vahseli,233.0,93.25,literature coccosphere,obrien2013b
Heimiella excentrica,1047.0,225.75,literature coccosphere,obrien2013b
Helicosphaera HOL ponticuliferus type,234.0,77.0,literature coccosphere,obrien2013b
Helicosphaera carteri,585.0,269.0,literature coccosphere,obrien2013b
