species,value,variable
Helladosphaera pienaarii,10.545840031953206,diameter
Helladosphaera pienaarii,10.522038485460389,diameter
Helladosphaera pienaarii,10.577514447319441,diameter
Helladosphaera pienaarii,10.517245689250455,diameter
Helladosphaera pienaarii,10.550582546291526,diameter
Helladosphaera pienaarii,10.583448041127623,diameter
Helladosphaera pienaarii,10.55511523043776,diameter
Helladosphaera pienaarii,10.565733568613874,diameter
Helladosphaera pienaarii,10.545544597145673,diameter
Helladosphaera pienaarii,10.553448312128877,diameter
Helladosphaera pienaarii,10.55345043386407,diameter
Helladosphaera pienaarii,10.57979058740732,diameter
Helladosphaera pienaarii,10.549309692997777,diameter
Helladosphaera pienaarii,10.556632130129644,diameter
Helladosphaera pienaarii,10.604274084572012,diameter
Helladosphaera pienaarii,10.602983256445185,diameter
Helladosphaera pienaarii,10.51983617144036,diameter
Helladosphaera pienaarii,10.562551631189304,diameter
Helladosphaera pienaarii,10.535640418414197,diameter
Helladosphaera pienaarii,10.611207004915235,diameter
Helladosphaera pienaarii,10.545804605219951,diameter
Helladosphaera pienaarii,10.55294179316927,diameter
Helladosphaera pienaarii,10.534790940172943,diameter
Helladosphaera pienaarii,10.55088556503011,diameter
Helladosphaera pienaarii,10.554028739591656,diameter
Helladosphaera pienaarii,10.531268949959184,diameter
Helladosphaera pienaarii,10.602660785381632,diameter
Helladosphaera pienaarii,10.557164752814895,diameter
Helladosphaera pienaarii,10.511841038801471,diameter
Helladosphaera pienaarii,10.508403516180042,diameter
Helladosphaera pienaarii,10.578868235582016,diameter
Helladosphaera pienaarii,10.55383109541667,diameter
Helladosphaera pienaarii,10.57006502282588,diameter
Helladosphaera pienaarii,10.567310496182193,diameter
Helladosphaera pienaarii,10.634399701078037,diameter
Helladosphaera pienaarii,10.593396929974727,diameter
Helladosphaera pienaarii,10.567305190474867,diameter
Helladosphaera pienaarii,10.592373275584421,diameter
Helladosphaera pienaarii,10.621037244646715,diameter
Helladosphaera pienaarii,10.59011397384739,diameter
Helladosphaera pienaarii,10.58807805101387,diameter
Helladosphaera pienaarii,10.527453463156375,diameter
Helladosphaera pienaarii,10.557680752388025,diameter
Helladosphaera pienaarii,10.53165081243755,diameter
Helladosphaera pienaarii,10.509741681477172,diameter
Helladosphaera pienaarii,10.561062675198416,diameter
Helladosphaera pienaarii,10.585808559490951,diameter
Helladosphaera pienaarii,10.52483198622221,diameter
Helladosphaera pienaarii,10.534529294382793,diameter
Helladosphaera pienaarii,10.549789607985018,diameter
Helladosphaera pienaarii,10.645464073571752,diameter
Helladosphaera pienaarii,10.550920555485236,diameter
Helladosphaera pienaarii,10.529931135660924,diameter
Helladosphaera pienaarii,10.464387964088441,diameter
Helladosphaera pienaarii,10.585782208576164,diameter
Helladosphaera pienaarii,10.547808880021039,diameter
Helladosphaera pienaarii,10.582509299838307,diameter
Helladosphaera pienaarii,10.589791931166125,diameter
Helladosphaera pienaarii,10.640206056313675,diameter
Helladosphaera pienaarii,10.558033572702392,diameter
Helladosphaera pienaarii,10.575252168402972,diameter
Helladosphaera pienaarii,10.571171675595961,diameter
Helladosphaera pienaarii,10.548364178889859,diameter
Helladosphaera pienaarii,10.520849330702783,diameter
Helladosphaera pienaarii,10.605605026234672,diameter
Helladosphaera pienaarii,10.531107577041576,diameter
Helladosphaera pienaarii,10.581066712490784,diameter
Helladosphaera pienaarii,10.546337693805551,diameter
Helladosphaera pienaarii,10.521514118348014,diameter
Helladosphaera pienaarii,10.535909867698681,diameter
Helladosphaera pienaarii,10.570191177895428,diameter
Helladosphaera pienaarii,10.571146290244942,diameter
Helladosphaera pienaarii,10.51161483679431,diameter
Helladosphaera pienaarii,10.596043915834546,diameter
Helladosphaera pienaarii,10.569862399963755,diameter
Helladosphaera pienaarii,10.550495545784756,diameter
Helladosphaera pienaarii,10.587318069489701,diameter
Helladosphaera pienaarii,10.556776108489196,diameter
Helladosphaera pienaarii,10.55710486636427,diameter
Helladosphaera pienaarii,10.560136111635112,diameter
Helladosphaera pienaarii,10.54655039474037,diameter
Helladosphaera pienaarii,10.543383090870638,diameter
Helladosphaera pienaarii,10.575575553955378,diameter
Helladosphaera pienaarii,10.581268892182408,diameter
Helladosphaera pienaarii,10.505066549082969,diameter
Helladosphaera pienaarii,10.593880066845363,diameter
Helladosphaera pienaarii,10.530957281547488,diameter
Helladosphaera pienaarii,10.467094580907432,diameter
Helladosphaera pienaarii,10.51899301289994,diameter
Helladosphaera pienaarii,10.531435894294637,diameter
Helladosphaera pienaarii,10.541590380635375,diameter
Helladosphaera pienaarii,10.522578865124,diameter
Helladosphaera pienaarii,10.531068753923323,diameter
Helladosphaera pienaarii,10.54923647106675,diameter
Helladosphaera pienaarii,10.593390830976821,diameter
Helladosphaera pienaarii,10.588574059128252,diameter
Helladosphaera pienaarii,10.505984757647635,diameter
Helladosphaera pienaarii,10.530836842051091,diameter
Helladosphaera pienaarii,10.531000833574433,diameter
Helladosphaera pienaarii,10.630909950561524,diameter
Helladosphaera pienaarii,10.58300026897374,diameter
Helladosphaera pienaarii,10.557026970806715,diameter
Helladosphaera pienaarii,10.574359136752799,diameter
Helladosphaera pienaarii,10.495971215819939,diameter
Helladosphaera pienaarii,10.56441097574664,diameter
Helladosphaera pienaarii,10.532168201853679,diameter
