count,species
3133,Emiliania huxleyi
1242,Rhabdosphaera clavigera
1216,Syracosphaera pulchra
964,Umbellosphaera tenuis
937,Discosphaera tubifera
922,Gephyrocapsa ericsonii
875,Umbellosphaera irregularis
869,Algirosphaera robusta
740,Gephyrocapsa oceanica
739,Acanthoica quattrospina
657,Syracosphaera molischii
615,Calcidiscus leptoporus
609,Calciosolenia brasiliensis
603,Syracosphaera pulchra HOL
592,Helicosphaera carteri
570,Florisphaera profunda
546,Umbilicosphaera sibogae
545,Ophiaster hydroideus
501,Syracosphaera mediterranea
498,Syracosphaera ossa
479,Calciosolenia murrayi
419,Syracosphaera mediterranea HOL
415,Syracosphaera histrica
361,Palusphaera vandelii
355,Rhabdosphaera xiphos
340,Helicosphaera HOL type
305,Coccolithus pelagicus
301,Syracosphaera anthos
298,Michaelsarsia elegans
295,Syracosphaera nodosa
293,Gephyrocapsa muellerae
292,Helladosphaera cornifera
288,Oolithotus antillarum
284,Syracosphaera prolongata
273,Michaelsarsia adriaticus
261,Umbilicosphaera hulburtiana
248,Syracosphaera halldalii
237,Syracosphaera corolla
232,Syracosphaera arethusae HOL
230,Syracosphaera histrica HOL
229,Gladiolithus flabellatus
219,Corisphaera gracilis
216,Calcidiscus leptoporus HOL
187,Ophiaster formosus
185,Alisphaera unicornis POL
177,Calciopappus caudatus
171,Cyrtosphaera aculeata
161,Syracosphaera molischii HOL
158,Ceratolithus cristatus HET
153,Calciopappus rigidus
146,Syracosphaera marginiporata
142,Sphaerocalyptra quadridentata
141,Syracosphaera anthos HOL
140,Calyptrolithina divergens
138,Syracosphaera neapolitana
127,Syracosphaera bannockii HOL
127,Syracosphaera protrudens
125,Alisphaera unicornis
122,Oolithotus fragilis
121,Papposphaera lepida
120,Acanthoica acanthifera
118,Zygosphaera amoena
114,Syracosphaera dilatata
112,Syracosphaera hastata
106,Syracosphaera strigilis HOL
105,Homozygosphaera spinosa
104,Syracosphaera rotula
101,Umbilicosphaera anulus
95,Calyptrosphaera heimdaliae
93,Syracosphaera periperforata HOL
89,Syracosphaera aurisinae
87,Syracosphaera orbiculus
84,Alisphaera gaudii
84,Helicosphaera pavimentum HOL
83,Syracosphaera epigrosa
81,Calyptrosphaera sphaeroidea HOL
81,Scyphosphaera apsteinii
78,Syracosphaera aurisinae HOL
72,Gephyrocapsa ornata
72,Helicosphaera pavimentum
71,Syracosphaera bannockii
70,Alisphaera extenta
69,Helicosphaera wallichii
67,Syracosphaera magnaghii HOL
61,Picarola margalefii
60,Syracosphaera arethusae
57,Homozygosphaera vercelli
55,Reticulofenestra sessilis
53,Homozygosphaera triarcha
53,Syracosphaera ampliora
53,Syracosphaera tumularis
51,Gephyrocapsa parvula
50,Helicosphaera hyalina
49,Corisphaera tyrrheniensis
48,Syracosphaera squamosa
45,Ceratolithus cristatus CER
45,Syracosphaera borealis
45,Syracosphaera noroitica
45,Zygosphaera marsilii
44,Pontosphaera syracusana
44,Syracosphaera gaarderae
42,Syracosphaera isselii HOL
42,Umbilicosphaera foliosa
41,Acanthoica quattrospina HOL
41,Wigwamma antarctica
40,Sphaerocalyptra adenensis
39,Alisphaera pinnigera
39,Syracosphaera reniformis
36,Syracosphaera gaarderae HOL
32,Calicasphaera blokii
31,Acanthoica acanthos
31,Pappomonas sp. type 5
30,Calyptrolithina multipora
29,Syracosphaera nana HOL
28,Formonsella pyramidosa
28,Pappomonas sp. type 3
27,Calicasphaera concava
27,Hayaster perplexus
26,Alisphaera gaudii POL
26,Gliscolithus amitakareniae
25,Alisphaera capulata
25,Calicasphaera diconstricta
25,Helladosphaera pienaarii
24,Coccolithus pelagicus HOL
24,Syracosphaera exigua
24,Syracosphaera strigilis
24,Turrilithus latericioides
20,Syracosphaera lafourcadii HOL
