count,species
3133,Emiliania huxleyi
1242,Rhabdosphaera clavigera
1219,undefined
1216,Syracosphaera pulchra
1125,undefined Syracosphaera
964,Umbellosphaera tenuis
937,Discosphaera tubifera
922,Gephyrocapsa ericsonii
875,Umbellosphaera irregularis
869,Algirosphaera robusta
740,Gephyrocapsa oceanica
739,Acanthoica quattrospina
672,undefined holo
657,Syracosphaera molischii
615,Calcidiscus leptoporus
609,Calciosolenia brasiliensis
603,Syracosphaera pulchra HOL
592,Helicosphaera carteri
570,Florisphaera profunda
546,Umbilicosphaera sibogae
545,Ophiaster hydroideus
501,Syracosphaera mediterranea
498,Syracosphaera ossa
479,Calciosolenia murrayi
419,Syracosphaera mediterranea HOL
415,Syracosphaera histrica
361,Palusphaera vandelii
355,Rhabdosphaera xiphos
340,Helicosphaera HOL type
305,Coccolithus pelagicus
301,Syracosphaera anthos
298,Michaelsarsia elegans
295,Syracosphaera nodosa
293,Gephyrocapsa muellerae
292,Helladosphaera cornifera
288,Oolithotus antillarum
287,undefined Ophiaster
284,Syracosphaera prolongata
273,Michaelsarsia adriaticus
261,Umbilicosphaera hulburtiana
248,Syracosphaera halldalii
241,undefined Calciopappus
237,Syracosphaera corolla
232,Syracosphaera arethusae HOL
230,Syracosphaera histrica HOL
229,Gladiolithus flabellatus
219,Corisphaera gracilis
216,Calcidiscus leptoporus HOL
187,Ophiaster formosus
185,Alisphaera unicornis POL
182,undefined hetero
177,Calciopappus caudatus
171,Cyrtosphaera aculeata
161,Syracosphaera molischii HOL
158,Ceratolithus cristatus HET
156,undefined Syracosphaera molischii type
153,Calciopappus rigidus
147,undefined Acanthoica
146,Syracosphaera marginiporata
143,undefined Pappomonas
142,Sphaerocalyptra quadridentata
141,Syracosphaera anthos HOL
140,Calyptrolithina divergens
139,undefined Calciosolenia
138,Syracosphaera neapolitana
127,Syracosphaera bannockii HOL
127,Syracosphaera protrudens
125,Alisphaera unicornis
122,Oolithotus fragilis
121,Papposphaera lepida
120,Acanthoica acanthifera
118,Zygosphaera amoena
114,Syracosphaera dilatata
114,undefined Gephyrocapsa
112,Syracosphaera hastata
106,Syracosphaera strigilis HOL
105,Homozygosphaera spinosa
104,Syracosphaera rotula
101,Umbilicosphaera anulus
95,Calyptrosphaera heimdaliae
95,undefined Corisphaera
93,Syracosphaera periperforata HOL
89,Syracosphaera aurisinae
87,Syracosphaera orbiculus
86,undefined Papposphaera
84,Alisphaera gaudii
84,Helicosphaera pavimentum HOL
83,Syracosphaera epigrosa
81,Calyptrosphaera sphaeroidea HOL
81,Scyphosphaera apsteinii
78,Syracosphaera aurisinae HOL
72,Gephyrocapsa ornata
72,Helicosphaera pavimentum
71,Syracosphaera bannockii
70,Alisphaera extenta
70,undefined Calciosoleniaceae
69,Helicosphaera wallichii
69,undefined Umbellosphaera
67,Syracosphaera magnaghii HOL
62,undefined Oolithotus
61,Picarola margalefii
61,undefined Alisphaera
60,Syracosphaera arethusae
58,undefined Palusphaera
57,Homozygosphaera vercelli
55,Reticulofenestra sessilis
54,undefined Papposphaeracea
54,undefined Polycrater
54,undefined Sphaerocalyptra
53,Homozygosphaera triarcha
53,Syracosphaera ampliora
53,Syracosphaera tumularis
52,undefined Ceratolithus
51,Gephyrocapsa parvula
51,undefined Solisphaera
50,Helicosphaera hyalina
49,Corisphaera tyrrheniensis
49,undefined Syracosphaera rotula type
48,Syracosphaera squamosa
45,Ceratolithus cristatus CER
45,Syracosphaera borealis
45,Syracosphaera noroitica
45,Zygosphaera marsilii
44,Pontosphaera syracusana
44,Syracosphaera gaarderae
42,Syracosphaera isselii HOL
42,Umbilicosphaera foliosa
41,Acanthoica quattrospina HOL
41,Wigwamma antarctica
40,Sphaerocalyptra adenensis
39,Alisphaera pinnigera
39,Syracosphaera reniformis
36,Syracosphaera gaarderae HOL
36,undefined Syracosphaera anthos type
33,undefined Rhabdosphaera
32,Calicasphaera blokii
31,Acanthoica acanthos
31,Pappomonas sp. type 5
30,Calyptrolithina multipora
30,undefined Syracolithus
29,Syracosphaera nana HOL
28,Formonsella pyramidosa
28,Pappomonas sp. type 3
27,Calicasphaera concava
27,Hayaster perplexus
27,undefined Anthosphaera
26,Alisphaera gaudii POL
26,Gliscolithus amitakareniae
25,Alisphaera capulata
25,Calicasphaera diconstricta
25,Helladosphaera pienaarii
24,Coccolithus pelagicus HOL
24,Syracosphaera exigua
24,Syracosphaera strigilis
24,Turrilithus latericioides
23,undefined Umbilicosphaera
22,undefined Michaelsarsia
20,Syracosphaera lafourcadii HOL
20,undefined Syracosphaera halldalii type
19,Syracolithus sp. type A
19,Syracosphaera leptolepsis
18,Braarudosphaera bigelowii
18,Holococcolithophora dentata
18,Ophiaster minimus
18,Scyphosphaera apsteinii HOL
17,undefined Reticulofenestra
15,Ophiaster macrospinus
15,Tetralithoides quadrilaminata
15,undefined Syracosphaeraceae
14,Alisphaera ordinata
14,Ophiaster reductus
14,Pappomonas vexillata
14,Papposphaera sp. type 3
