count,species
19,Syracolithus sp. type A
19,Syracosphaera leptolepsis
18,Braarudosphaera bigelowii
18,Holococcolithophora dentata
18,Ophiaster minimus
18,Scyphosphaera apsteinii HOL
15,Ophiaster macrospinus
15,Tetralithoides quadrilaminata
14,Alisphaera ordinata
14,Ophiaster reductus
14,Pappomonas vexillata
14,Papposphaera sp. type 3
12,Polycrater sp. ladle-like
12,Syracosphaera castellata
10,Algirosphaera cucullata
10,Calyptrosphaera sphaeroidea
10,Kataspinifera baumannii
10,Poritectolithus maximus
10,Syracosphaera andruleitii
10,Syracosphaera marginiporata HOL
9,Chrysotila carterae
9,Pileolosphaera longistirpes
8,Cyrtosphaera cidaris
8,Pappomonas borealis
7,Alisphaera quadrilatera
7,Papposphaera arctica
7,Poritectolithus poritectus
7,Sphaerocalyptra sp. 1
7,Syracosphaera nana
6,Flosculosphaera calceolariopsis
6,Helladosphaera vavilovii
6,Papposphaera sp. type 4
6,Pontosphaera japonica
6,Sphaerocalyptra youngii
