species,mean,sd,method,reference,n
Algirosphaera robusta,78.0,,light microscopy,obrien2013a,3
Calcidiscus leptoporus,576.0,,light microscopy,obrien2013a,3
Coccolithus pelagicus,1468.0,,light microscopy,obrien2013a,3
Discosphaera tubifera,54.0,,light microscopy,obrien2013a,3
Emiliania huxleyi,22.0,,light microscopy,obrien2013a,3
Florisphaera profunda,31.0,,light microscopy,obrien2013a,3
Gephyrocapsa oceanica,65.0,,light microscopy,obrien2013a,3
Oolithotus antillarum,54.0,,light microscopy,obrien2013a,3
Oolithotus fragilis,1376.0,,light microscopy,obrien2013a,3
Rhabdosphaera clavigera,131.0,,light microscopy,obrien2013a,3
Syracosphaera tumularis,2026.0,,light microscopy,obrien2013a,3
Umbellosphaera irregularis,131.0,,light microscopy,obrien2013a,3
Umbellosphaera tenuis,97.0,,light microscopy,obrien2013a,3
Umbilicosphaera foliosa,395.0,,light microscopy,obrien2013a,3
Umbilicosphaera sibogae,3315.0,,light microscopy,obrien2013a,3
