species,mean,sd,method,reference
Acanthoica acanthos,180.0,,literature morphometrics,villiot2021b
Acanthoica maxima,2572.0,,literature morphometrics,villiot2021b
Acanthoica quattrospina,95.0,,literature morphometrics,villiot2021b
Acanthoica quattrospina HOL,903.0,,literature morphometrics,villiot2021b
Algirosphaera cucullata,53.0,,literature morphometrics,villiot2021b
Algirosphaera robusta,78.0,,literature morphometrics,villiot2021b
Alisphaera capulata,186.0,,literature morphometrics,villiot2021b
Alisphaera extenta,190.0,,literature morphometrics,villiot2021b
Alisphaera gaudii,167.0,,literature morphometrics,villiot2021b
Alisphaera ordinata,162.0,,literature morphometrics,villiot2021b
Alisphaera pinnigera,485.0,,literature morphometrics,villiot2021b
Alisphaera quadrilatera,284.0,,literature morphometrics,villiot2021b
Alisphaera unicornis,596.0,,literature morphometrics,villiot2021b
Alisphaera unicornis POL,1468.0,,literature morphometrics,villiot2021b
Calcidiscus leptoporus,598.0,,literature morphometrics,villiot2021b
Calcidiscus leptoporus HOL,858.0,,literature morphometrics,villiot2021b
Calciopappus rigidus,65.0,,literature morphometrics,villiot2021b
Calciosolenia brasiliensis,462.0,,literature morphometrics,villiot2021b
Calciosolenia murrayi,67.0,,literature morphometrics,villiot2021b
Calicasphaera diconstricta,180.0,,literature morphometrics,villiot2021b
Calyptrolithina divergens,69.0,,literature morphometrics,villiot2021b
Calyptrolithina multipora,1653.0,,literature morphometrics,villiot2021b
Calyptrosphaera heimdaliae,144.0,,literature morphometrics,villiot2021b
Calyptrosphaera sphaeroidea,96.0,,literature morphometrics,villiot2021b
Chrysotila carterae,1499.0,,literature morphometrics,villiot2021b
Chrysotila roscoffensis,736.0,,literature morphometrics,villiot2021b
Coccolithus pelagicus,1468.0,,literature morphometrics,villiot2021b
Coccolithus pelagicus HOL,817.0,,literature morphometrics,villiot2021b
Corisphaera gracilis,155.0,,literature morphometrics,villiot2021b
Corisphaera tyrrheniensis,128.0,,literature morphometrics,villiot2021b
Cyrtosphaera aculeata,124.0,,literature morphometrics,villiot2021b
Discosphaera tubifera,108.0,,literature morphometrics,villiot2021b
Emiliania huxleyi,48.0,,literature morphometrics,villiot2021b
Florisphaera profunda,34.0,,literature morphometrics,villiot2021b
Formonsella pyramidosa,10.0,,literature morphometrics,villiot2021b
Gephyrocapsa ericsonii,10.0,,literature morphometrics,villiot2021b
Gephyrocapsa muellerae,41.0,,literature morphometrics,villiot2021b
Gephyrocapsa oceanica,58.0,,literature morphometrics,villiot2021b
Gephyrocapsa ornata,18.0,,literature morphometrics,villiot2021b
Gephyrocapsa parvula,19.0,,literature morphometrics,villiot2021b
Gladiolithus flabellatus,137.0,,literature morphometrics,villiot2021b
Gliscolithus amitakareniae,249.0,,literature morphometrics,villiot2021b
Helicosphaera HOL type,315.0,,literature morphometrics,villiot2021b
Helicosphaera carteri,190.0,,literature morphometrics,villiot2021b
Helicosphaera hyalina,754.0,,literature morphometrics,villiot2021b
Helicosphaera pavimentum,756.0,,literature morphometrics,villiot2021b
Helicosphaera wallichii,34.0,,literature morphometrics,villiot2021b
Helladosphaera cornifera,72.0,,literature morphometrics,villiot2021b
Helladosphaera vavilovii,52.0,,literature morphometrics,villiot2021b
Holococcolithophora dentata,1541.0,,literature morphometrics,villiot2021b
Homozygosphaera spinosa,31.0,,literature morphometrics,villiot2021b
Homozygosphaera triarcha,82.0,,literature morphometrics,villiot2021b
Hymenomonas lacuna,1767.0,,literature morphometrics,villiot2021b
Michaelsarsia adriaticus,894.0,,literature morphometrics,villiot2021b
Michaelsarsia elegans,180.0,,literature morphometrics,villiot2021b
Ochrosphaera neapolitana,450.0,,literature morphometrics,villiot2021b
Oolithotus antillarum,230.0,,literature morphometrics,villiot2021b
Oolithotus fragilis,1376.0,,literature morphometrics,villiot2021b
Palusphaera vandelii,523.0,,literature morphometrics,villiot2021b
Pappomonas borealis,113.0,,literature morphometrics,villiot2021b
Pappomonas sp. type 3,410.0,,literature morphometrics,villiot2021b
Papposphaera arctica,180.0,,literature morphometrics,villiot2021b
Papposphaera lepida,100.0,,literature morphometrics,villiot2021b
Papposphaera sp. type 1,22.0,,literature morphometrics,villiot2021b
Papposphaera sp. type 2,22.0,,literature morphometrics,villiot2021b
Papposphaera sp. type 4,36.0,,literature morphometrics,villiot2021b
