species,mean,sd,method,reference
Florisphaera profunda,50.1,37.6,light microscopy,young2024
Umbellosphaera tenuis,93.7,52.0,light microscopy,young2024
Oolithotus antillarum,88.8,44.7,light microscopy,young2024
Rhabdosphaera stylifera,86.8,42.9,light microscopy,young2024
Helicosphaera pavimentum,394.8,159.3,light microscopy,young2024
Discosphaera tubifera,61.6,24.8,light microscopy,young2024
Algirosphaera robusta,227.0,175.0,light microscopy,young2024
Helicosphaera carteri,1092.4,403.3,light microscopy,young2024
Syracosphaera mediterranea HOL wettsteinii type,1159.6,713.7,light microscopy,young2024
Umbellosphaera irregularis,85.1,37.2,light microscopy,young2024
Acanthoica,113.3,90.9,light microscopy,young2024
Calcidiscus sp.,610.8,234.4,light microscopy,young2024
Alisphaera sp.,242.3,105.5,light microscopy,young2024
Umbilicosphaera hulburtiana,206.9,88.7,light microscopy,young2024
Syracosphaera pulchra,1181.0,420.0,light microscopy,young2024
Gladiolithus flabellatus,30.6,16.6,light microscopy,young2024
Thoracosphaera heimii,514.0,180.2,light microscopy,young2024
Gephyrocapsa oceanica,73.8,49.8,light microscopy,young2024
Syracosphaera anthos HOL,204.8,91.9,light microscopy,young2024
Syracosphaera mediterranea HET,852.0,288.1,light microscopy,young2024
Michaelsarsia elegans,276.5,152.6,light microscopy,young2024
Oolithotus fragilis,712.2,179.6,light microscopy,young2024
Syracosphaera anthos,236.2,95.6,light microscopy,young2024
Rhabdosphaera clavigera,467.4,160.0,light microscopy,young2024
Umbilicosphaera foliosa,172.3,50.5,light microscopy,young2024
Syracosphaera mediterranea,1380.0,473.5,light microscopy,young2024
Coccolithus pelagicus,408.2,163.4,light microscopy,young2024
Gephyrocapsa muellerae,35.8,11.0,light microscopy,young2024
Braarudosphaera bigelowii,478.4,123.5,light microscopy,young2024
Ceratolithus vidalii HET,76.5,19.9,light microscopy,young2024
Heleicosphaera HOL catilliferus type,724.4,101.7,light microscopy,young2024
Algirosphaera meteora,3122.6,139.2,light microscopy,young2024
Calciosolenia murrayi,190.6,102.5,light microscopy,young2024
Scyphosphaera apsteinii,3048.7,863.6,light microscopy,young2024
Calcidiscus quadriperforatus HOL,655.7,0.0,light microscopy,young2024
Calcidiscus quardiperforatus HOL,407.7,0.0,light microscopy,young2024
Calyptrolithina multipora,708.4,0.0,light microscopy,young2024
Calyptrolithophora multipora,796.3,0.0,light microscopy,young2024
Ceratolithus cristatus HET,580.5,0.0,light microscopy,young2024
Hayaster perplexa,6370.6,0.0,light microscopy,young2024
Michaelsarsia adriatica,585.3,0.0,light microscopy,young2024
Pontosphaera japonica,2394.8,0.0,light microscopy,young2024
Pontosphaera sp,2687.6,0.0,light microscopy,young2024
Syracosphaera lamina,1445.3,0.0,light microscopy,young2024
Syracosphaera marginiporata,89.2,0.0,light microscopy,young2024
Syracosphaera pulchra HOL oblonga type,1605.4,0.0,light microscopy,young2024
Syracosphaera tumularis,2185.1,0.0,light microscopy,young2024
Umbilicosphaera sibogae,6370.6,0.0,light microscopy,young2024
