Latitude,Longitude,Date,Depth,Emiliania huxleyi Types A and C,Emiliania huxleyi Type A,Emiliania huxleyi Type C,Emiliania huxleyi malformed specimens,Emiliania huxleyi var. corona ,Calcidiscus leptoporus s.l.,Calcidiscus leptoporus large,Calcidiscus leptoporus intermediate,Calcidiscus leptoporus small,Umbilicosphaera foliosa,Umbilicosphaera sibogae,Umbellosphaera irregularis s.l.,Umbellosphaera irregularis s.s.,Umbellosphaera irregularis Type 0,Umbellosphaera tenuis s.l.,Umbellosphaera tenuis Type I,Umbellosphaera tenuis Type III,Umbellosphaera tenuis Types IV
-16˚40’S,-78.09,01/02/1964,0,-0,4995 ,727 ,-0,0 ,-0,0 ,0 ,91 ,0 ,0 ,-0,0 ,0 ,-0,0 ,3996 ,12897 
-17˚58’S,-79˚10’W,01/02/1964,0,-0,4536 ,794 ,-0,0 ,-0,0 ,0 ,0 ,38 ,0 ,-0,0 ,0 ,-0,38 ,1587 ,3326 
-19˚37’S,-80˚20’W,02/02/1964,0,-0,1591 ,239 ,-0,0 ,-0,0 ,0 ,0 ,0 ,0 ,-0,0 ,0 ,-0,0 ,15672 ,5250 
-17˚47’S,-76˚58’W,03/02/1964,0,-0,11821 ,1446 ,-0,0 ,-0,0 ,0 ,0 ,0 ,0 ,-0,0 ,0 ,-0,0 ,1761 ,3081 
-16˚49’S,-73˚42’W,04/02/1964,0,-0,33186 ,1281 ,-0,0 ,-0,0 ,0 ,0 ,0 ,0 ,-0,0 ,0 ,-0,0 ,233 ,0 
-16˚49’S,-73˚42’W,04/02/1964,0,-0,18926 ,1542 ,-0,0 ,-0,0 ,0 ,0 ,0 ,0 ,-0,0 ,0 ,-0,0 ,70 ,140 
-17˚33’S,-73˚09’W,05/02/1964,0,-0,845 ,356 ,-0,0 ,-0,0 ,0 ,0 ,0 ,0 ,-0,0 ,0 ,-0,0 ,845 ,3623 
16˚39’N,-110˚15’W,28/02/1966,0,-0,1051 ,88 ,-0,0 ,-0,0 ,0 ,0 ,0 ,643 ,-0,1168 ,1227 ,-0,701 ,0 ,0 
13˚46’N,-116˚38’W,02/03/1966,0,-0,551 ,110 ,-0,0 ,-0,0 ,0 ,0 ,496 ,3969 ,-0,358 ,193 ,-0,28 ,0 ,0 
7˚18’N,-125˚21’W,05/03/1966,0,-0,107 ,96 ,-0,0 ,-0,0 ,0 ,160 ,75 ,0 ,-0,11 ,0 ,-0,0 ,0 ,0 
5˚40’N,-127˚20’W,06/03/1966,0,-0,198 ,103 ,-0,0 ,-0,0 ,0 ,32 ,0 ,0 ,-0,0 ,0 ,-0,0 ,0 ,0 
3˚31’N,-129˚43’W,07/03/1966,0,-0,954 ,163 ,-0,0 ,-0,0 ,0 ,191 ,27 ,163 ,-0,354 ,0 ,-0,0 ,0 ,0 
7˚06’N,-79˚58’W,22/02/1967,0,-0,0 ,262 ,-0,0 ,-0,0 ,0 ,0 ,0 ,0 ,-0,0 ,0 ,-0,0 ,0 ,0 
6˚15’N,-90˚40’W,25/02/1967,0,-0,348 ,13 ,-0,0 ,-0,0 ,0 ,0 ,0 ,27 ,-0,389 ,27 ,-0,1662 ,0 ,0 
3˚04’N,-97˚08’W,27/02/1967,0,-0,266 ,832 ,-0,0 ,-0,0 ,0 ,0 ,0 ,366 ,-0,2030 ,33 ,-0,67 ,0 ,0 
1˚25’N,-100˚18’W,28/02/1967,0,-0,2701 ,583 ,-0,0 ,-0,0 ,0 ,31 ,0 ,0 ,-0,2640 ,61 ,-0,0 ,0 ,0 
1˚38’N,-103˚56’W,01/03/1967,0,-0,799 ,2819 ,-0,0 ,-0,0 ,0 ,126 ,0 ,42 ,-0,3660 ,0 ,-0,0 ,0 ,0 
1˚43’N,-106˚54’W,02/03/1967,0,-0,8572 ,2449 ,-0,0 ,-0,0 ,0 ,0 ,0 ,153 ,-0,14695 ,0 ,-0,0 ,0 ,0 
1˚49’N,-112˚44’W,04/03/1967,0,-0,7985 ,853 ,-0,0 ,-0,0 ,0 ,233 ,0 ,0 ,-0,3799 ,310 ,-0,0 ,0 ,0 
1˚46’N,-117˚12’W,05/03/1967,0,-0,1222 ,1882 ,-0,0 ,-0,0 ,0 ,0 ,0 ,0 ,-0,1189 ,0 ,-0,0 ,0 ,0 
1˚40’N,-120˚20’W,06/03/1967,0,-0,11538 ,648 ,-0,0 ,-0,0 ,0 ,389 ,0 ,0 ,-0,4019 ,259 ,-0,0 ,0 ,0 
1˚54’N,-124˚29’W,07/03/1967,0,-0,19807 ,4630 ,-0,0 ,-0,0 ,0 ,514 ,0 ,0 ,-0,19549 ,1801 ,-0,0 ,0 ,0 
1˚51’N,-129˚01’W,08/03/1967,0,-0,7400 ,1139 ,-0,0 ,-0,0 ,0 ,569 ,0 ,0 ,-0,81 ,3985 ,-0,0 ,0 ,0 
2˚05’N,-134˚43’W,10/03/1967,0,-0,10120 ,2344 ,-0,0 ,-0,0 ,0 ,2557 ,0 ,0 ,-0,8949 ,1065 ,-0,0 ,0 ,0 
2˚15’N,-138˚49’W,11/03/1967,0,-0,420 ,78 ,-0,0 ,-0,0 ,0 ,67 ,0 ,0 ,-0,62 ,10 ,-0,5 ,0 ,0 
2˚50’N,-149˚52’W,14/03/1967,0,-0,5014 ,2137 ,-0,0 ,-0,0 ,0 ,3041 ,82 ,82 ,-0,5753 ,82 ,-0,0 ,0 ,0 
3˚04’N,-155˚35’W,15/03/1967,0,-0,2056 ,630 ,-0,0 ,-0,0 ,0 ,630 ,0 ,0 ,-0,2089 ,0 ,-0,0 ,0 ,0 
3˚45’N,-157˚07’W,16/03/1967,0,-0,2219 ,341 ,-0,0 ,-0,0 ,0 ,614 ,68 ,0 ,-0,410 ,34 ,-0,0 ,0 ,0 
10˚13’N,-155˚01’W,19/03/1967,0,-0,131 ,0 ,-0,33 ,-0,0 ,0 ,0 ,0 ,16 ,-0,2100 ,1345 ,-0,82 ,0 ,115 
13˚08’N,-154˚32’W,20/03/1967,0,-0,1735 ,208 ,-0,208 ,-0,0 ,0 ,0 ,0 ,0 ,-0,3989 ,486 ,-0,0 ,0 ,1284 
16˚47’N,-156˚09’W,21/03/1967,0,-0,509 ,0 ,-0,107 ,-0,0 ,0 ,0 ,0 ,0 ,-0,2545 ,750 ,-0,0 ,27 ,830 
19˚18’N,-161˚19’W,28/03/1967,0,-0,1481 ,118 ,-0,326 ,-0,0 ,0 ,0 ,0 ,0 ,-0,1955 ,1214 ,-0,89 ,0 ,1303 
17˚31’N,-164˚41’W,29/03/1967,0,-0,691 ,24 ,-0,262 ,-0,0 ,0 ,0 ,0 ,0 ,-0,1691 ,1000 ,-0,0 ,0 ,881 
16˚25’N,-166˚58’W,30/03/1967,0,-0,392 ,87 ,-0,196 ,-0,0 ,0 ,0 ,0 ,0 ,-0,2725 ,828 ,-0,0 ,0 ,828 
13˚12’N,-173˚07’W,01/04/1967,0,-0,502 ,32 ,-0,65 ,-0,0 ,0 ,0 ,0 ,0 ,-0,1134 ,1474 ,-0,0 ,0 ,97 
12˚11’N,-175˚19’W,02/04/1967,0,-0,182 ,21 ,-0,0 ,-0,0 ,0 ,0 ,0 ,11 ,-0,2033 ,481 ,-0,0 ,0 ,11 
11˚51’N,169˚41’E,08/04/1967,0,-0,188 ,45 ,-0,0 ,-0,0 ,0 ,0 ,0 ,26 ,-0,564 ,642 ,-0,0 ,0 ,58 
14˚08’N,166˚46’E,09/04/1967,0,-0,229 ,242 ,-0,64 ,-0,0 ,0 ,0 ,0 ,0 ,-0,572 ,76 ,-0,0 ,0 ,127 
15˚23’N,164˚16’E,10/04/1967,0,-0,1309 ,0 ,-0,300 ,-0,0 ,0 ,0 ,0 ,0 ,-0,2427 ,600 ,-0,0 ,0 ,982 
19˚03’N,161˚19’E,12/04/1967,0,-0,257 ,71 ,-0,186 ,-0,0 ,0 ,0 ,0 ,0 ,-0,329 ,57 ,-0,0 ,0 ,1328 
18˚32’N,179˚30’E,28/04/1967,0,-0,762 ,213 ,-0,142 ,-0,0 ,0 ,0 ,0 ,0 ,-0,1028 ,142 ,-0,0 ,0 ,1471 
8˚14’N,176˚16’E,03/05/1967,0,-0,129 ,43 ,-0,7 ,-0,0 ,0 ,0 ,0 ,208 ,-0,740 ,625 ,-0,36 ,0 ,0 
6˚34’N,173˚30’E,04/05/1967,0,-0,249 ,32 ,-0,0 ,-0,0 ,0 ,0 ,0 ,64 ,-0,345 ,260 ,-0,37 ,0 ,0 
4˚51’N,170˚55’E,07/05/1967,0,-0,397 ,0 ,-0,28 ,-0,0 ,0 ,0 ,0 ,46 ,-0,739 ,729 ,-0,111 ,0 ,0 
1˚02’N,161˚29’E,09/05/1967,0,-0,0 ,0 ,-0,0 ,-0,0 ,0 ,0 ,0 ,81 ,-0,2486 ,578 ,-0,591 ,0 ,0 
11˚20’N,152˚05’E,14/05/1967,0,-0,820 ,0 ,-0,52 ,-0,0 ,0 ,0 ,0 ,35 ,-0,1325 ,1238 ,-0,17 ,0 ,0 
17˚55’N,149˚09’E,16/05/1967,0,-0,100 ,0 ,-0,56 ,-0,0 ,0 ,0 ,0 ,0 ,-0,517 ,293 ,-0,0 ,0 ,37 
18˚30’N,128˚23’E,21/05/1967,0,-0,262 ,31 ,-0,154 ,-0,0 ,0 ,0 ,0 ,0 ,-0,1773 ,1634 ,-0,0 ,0 ,0 
18˚18’N,119˚48’E,08/06/1967,0,-0,1461 ,43 ,-0,21 ,-0,0 ,0 ,0 ,0 ,21 ,-0,946 ,1075 ,-0,1096 ,0 ,0 
7˚21’N,120˚31’E,20/06/1967,0,-0,0 ,18 ,-0,0 ,-0,0 ,0 ,0 ,0 ,0 ,-0,4242 ,0 ,-0,0 ,0 ,0 
2˚40’N,124˚33’E,23/06/1967,0,-0,194 ,0 ,-0,0 ,-0,0 ,0 ,0 ,0 ,0 ,-0,4953 ,111 ,-0,0 ,0 ,28 
2˚30’N,139˚58’E,28/06/1967,0,-0,24 ,0 ,-0,0 ,-0,0 ,0 ,0 ,0 ,0 ,-0,361 ,0 ,-0,0 ,0 ,0 
1˚53’N,142˚23’E,29/06/1967,0,-0,48 ,0 ,-0,0 ,-0,0 ,0 ,0 ,0 ,0 ,-0,2373 ,38 ,-0,0 ,0 ,0 
1˚50’N,144˚53’E,30/06/1967,0,-0,14 ,0 ,-0,0 ,-0,0 ,0 ,0 ,0 ,0 ,-0,3435 ,42 ,-0,0 ,0 ,0 
1˚40’N,151˚25’E,02/07/1967,0,-0,13 ,0 ,-0,0 ,-0,0 ,0 ,0 ,0 ,127 ,-0,2617 ,38 ,-0,0 ,0 ,0 
-14˚57’S,147˚55’E,11/07/1967,0,-0,562 ,48 ,-0,0 ,-0,0 ,0 ,0 ,0 ,32 ,-0,2072 ,16 ,-0,0 ,16 ,209 
-16˚33’S,146˚24’E,12/07/1967,0,-0,3723 ,260 ,-0,0 ,-0,0 ,0 ,0 ,0 ,58 ,-0,924 ,0 ,-0,0 ,0 ,144 
-18˚07’S,147˚36’E,18/07/1967,0,-0,4617 ,380 ,-0,0 ,-0,0 ,0 ,0 ,0 ,109 ,-0,597 ,0 ,-0,0 ,0 ,81 
-15˚29’S,153˚34’E,21/07/1967,0,-0,1316 ,292 ,-0,0 ,-0,0 ,0 ,0 ,0 ,63 ,-0,2173 ,21 ,-0,21 ,0 ,42 
-13˚52’S,153˚58’E,22/07/1967,0,-0,1197 ,0 ,-0,0 ,-0,0 ,0 ,0 ,0 ,0 ,-0,4407 ,109 ,-0,0 ,0 ,27 
-15˚21’S,152˚21’E,23/07/1967,0,-0,660 ,262 ,-0,0 ,-0,0 ,0 ,0 ,25 ,12 ,-0,286 ,0 ,-0,0 ,0 ,0 
-16˚31’S,150˚47’E,24/07/1967,0,-0,483 ,15 ,-0,0 ,-0,0 ,0 ,0 ,0 ,8 ,-0,1124 ,30 ,-0,8 ,0 ,0 
-16˚20’S,146˚52’E,26/07/1967,0,-0,6345 ,363 ,-0,0 ,-0,0 ,0 ,0 ,0 ,0 ,-0,1768 ,408 ,-0,0 ,45 ,363 
-14˚18’S,145˚51’E,29/07/1967,0,-0,1595 ,71 ,-0,0 ,-0,0 ,0 ,0 ,0 ,35 ,-0,543 ,106 ,-0,35 ,0 ,71 
-11˚46’S,148˚06’E,31/07/1967,0,-0,6904 ,345 ,-0,43 ,-0,0 ,0 ,0 ,216 ,129 ,-0,216 ,43 ,-0,0 ,0 ,0 
-11˚25’S,150˚18’E,01/08/1967,0,-0,1555 ,0 ,59 ,0 ,-0,0 ,0 ,0 ,0 ,29 ,-0,0 ,0 ,-0,0 ,0 ,0 
-12˚14’S,150˚49’E,02/08/1967,0,-0,592 ,0 ,24 ,16 ,-0,0 ,0 ,0 ,8 ,0 ,-0,368 ,192 ,-0,32 ,0 ,0 
-17˚39’S,149˚39’E,06/08/1967,0,-0,11287 ,0 ,485 ,0 ,-0,0 ,0 ,0 ,208 ,277 ,-0,277 ,138 ,-0,0 ,0 ,0 
-16˚51’S,146˚05’E,08/08/1967,0,-0,5052 ,79 ,-0,0 ,-0,0 ,0 ,0 ,0 ,79 ,-0,236 ,26 ,-0,0 ,0 ,26 
-12˚52’S,146˚12’E,15/08/1967,0,-0,2169 ,0 ,-0,79 ,-0,0 ,0 ,0 ,39 ,59 ,-0,769 ,99 ,-0,0 ,0 ,20 
-10˚37’S,141˚17’E,17/08/1967,0,-0,3096 ,0 ,74 ,0 ,-0,0 ,0 ,0 ,0 ,59 ,-0,89 ,0 ,-0,0 ,0 ,0 
-12˚19’S,-136˚57’W,12/09/1967,0,-0,843 ,422 ,-0,0 ,-0,0 ,422 ,5762 ,0 ,843 ,-0,4357 ,2108 ,-0,0 ,0 ,0 
-10˚23’S,-134˚55’W,24/09/1967,0,-0,219 ,73 ,-0,0 ,-0,0 ,0 ,3724 ,0 ,365 ,-0,1606 ,876 ,-0,0 ,0 ,0 
-6˚60’S,-122˚30’W,26/09/1967,0,-0,1646 ,1986 ,-0,0 ,-0,0 ,0 ,2100 ,0 ,567 ,-0,3688 ,624 ,-0,170 ,0 ,0 
-3˚22’S,-122˚06’W,28/09/1967,0,-0,11824 ,23337 ,-0,0 ,-0,0 ,0 ,778 ,0 ,0 ,-0,311 ,0 ,-0,0 ,0 ,0 
-4˚00’S,-117˚53’W,30/09/1967,0,-0,49127 ,20469 ,-0,0 ,-0,0 ,0 ,1365 ,0 ,0 ,-0,0 ,0 ,-0,0 ,0 ,0 
-5˚59’S,-115˚37’W,01/10/1967,0,-0,3196 ,1031 ,-0,0 ,-0,0 ,309 ,8247 ,0 ,1856 ,-0,3196 ,0 ,-0,722 ,0 ,0 
-9˚09’S,-113˚00’W,02/10/1967,0,-0,2445 ,2751 ,-0,0 ,-0,0 ,611 ,10085 ,0 ,2751 ,-0,11766 ,306 ,-0,917 ,0 ,0 
-8˚48’S,-110˚48’W,03/10/1967,0,-0,1658 ,0 ,-0,0 ,-0,0 ,179 ,2689 ,45 ,1569 ,-0,1031 ,224 ,-0,359 ,0 ,0 
-11˚26’S,-106˚50’W,05/10/1967,0,-0,17090 ,3770 ,-0,0 ,-0,0 ,0 ,8293 ,0 ,251 ,-0,1257 ,0 ,-0,251 ,0 ,0 
-13˚19’S,-100˚57’W,07/10/1967,0,-0,2910 ,2238 ,-0,0 ,-0,0 ,149 ,597 ,0 ,149 ,-0,298 ,0 ,-0,0 ,0 ,0 
-11˚36’S,-95˚38’W,09/10/1967,0,-0,4312 ,1984 ,-0,0 ,-0,0 ,345 ,1207 ,0 ,862 ,-0,172 ,0 ,-0,0 ,0 ,0 
-8˚17’S,-87˚46’W,12/10/1967,0,-0,12088 ,30989 ,-0,0 ,-0,0 ,220 ,440 ,0 ,0 ,-0,0 ,0 ,-0,0 ,0 ,0 
-4˚51’S,-86˚50’W,13/10/1967,0,-0,-0,-0,59665 ,0 ,-0,0 ,0 ,0 ,0 ,0 ,-0,0 ,0 ,-0,0 ,0 ,0 
-1˚32’S,-85˚49’W,14/10/1967,0,-0,12932 ,211759 ,-0,0 ,-0,0 ,0 ,808 ,808 ,0 ,-0,0 ,0 ,-0,0 ,0 ,0 
2˚02’N,-80˚45’W,16/10/1967,0,-0,3606 ,385 ,-0,0 ,-0,0 ,0 ,0 ,0 ,48 ,-0,481 ,0 ,-0,0 ,0 ,0 
7˚45’N,-83˚58’W,11/02/1968,0,-0,178 ,0 ,-0,0 ,-0,0 ,0 ,0 ,0 ,55 ,-0,1012 ,752 ,-0,424 ,0 ,0 
15˚43’N,-95˚57’W,15/02/1968,0,-0,119 ,0 ,-0,0 ,-0,0 ,239 ,0 ,597 ,0 ,-0,0 ,0 ,-0,0 ,0 ,0 
19˚20’N,-105˚53’W,23/02/1968,0,-0,1259 ,287 ,-0,0 ,-0,0 ,0 ,0 ,0 ,0 ,-0,1458 ,0 ,-0,442 ,0 ,0 
8˚59’N,-137˚41’W,07/03/1968,0,-0,180 ,475 ,-0,0 ,-0,0 ,0 ,0 ,0 ,328 ,-0,2851 ,0 ,-0,0 ,0 ,0 
2˚37’N,-148˚12’W,11/03/1968,0,-0,4692 ,9246 ,-0,0 ,-0,0 ,276 ,2484 ,0 ,138 ,-0,966 ,690 ,-0,0 ,0 ,0 
