Reference,Depth,Latitude,Longitude,Date,undefined holo,undefined hetero,Emiliania huxleyi,Gephyrocapsa oceanica,Gephyrocapsa muellerae,Umbellosphaera irregularis,Umbellosphaera tenuis,undefined Rhabdosphaeraceae,Algirosphaera robusta
Kleijne1984,0,-2.47455,99.48846,17/06/85,0,2540,0,18288,0,1016,0,0,0
Kleijne1984,0,-1.53057,98.57054,17/06/85,16,1608,,12880,0,1449,0,467,467
Kleijne1984,0,-1.8881,97.51745,18/06/85,0,2170,0,18879,0,434,0,0,0
Kleijne1984,0,0.54352,96.32682,18/06/85,31,3137,,21038,0,4396,,628,0
Kleijne1984,0,1.23974,94.471,19/06/85,373,2033,,3726,0,9522,3312,,0
Kleijne1984,0,1.51949,93.1623,19/06/85,616,2308,3318,9006,0,6873,0,616,0
Kleijne1984,0,2.1955,91.52619,20/06/85,14,1439,1584,5472,0,3312,288,302,
Kleijne1984,0,2.41434,90.37568,20/06/85,0,5050,4545,35855,0,505,0,,0
Kleijne1984,0,2.48318,90.08047,21/06/85,322,3998,5239,21762,0,3224,0,685,
Kleijne1984,0,3.03445,89.15807,21/06/85,307,3039,6140,18420,0,0,0,614,0
Kleijne1984,0,3.22467,88.02137,21/06/85,0,3300,5610,23100,0,330,0,0,0
Kleijne1984,0,3.2891,87.3227,22/06/85,285,5662,11949,36985,0,1138,0,,0
Kleijne1984,0,3.44963,86.3747,22/06/85,480,4752,4320,35040,0,480,0,480,0
Kleijne1984,0,4.03352,85.46552,22/06/85,0,6130,6743,42910,0,0,0,490,0
Kleijne1984,0,4.43118,84.09274,23/06/85,0,4520,10848,28476,0,0,,,
Kleijne1984,0,5.06907,83.07847,23/06/85,0,3930,6681,28689,0,0,,629,629
Kleijne1984,0,5.13705,82.2575,24/06/85,0,8550,9405,70965,0,0,0,2480,2480
Kleijne1984,0,5.16162,82.01703,24/06/85,69,6863,10992,53586,0,0,0,481,481
Kleijne1984,0,5.3203,81.15314,24/06/85,0,8740,12236,66424,0,0,0,961,961
Kleijne1984,0,5.50747,80.22485,25/06/85,0,510,,5100,0,0,0,0,0
Kleijne1984,0,6.13029,79.52199,25/06/85,1535,1337,0,7450,0,0,,1535,1535
Kleijne1984,0,6.28867,79.20584,25/06/85,0,690,,4140,0,0,0,,
Kleijne1984,0,6.46266,78.469,25/06/85,0,780,,3198,0,0,0,,
Kleijne1984,0,7.09802,78.2211,25/06/85,0,2550,510,11985,0,0,0,,0
Kleijne1984,0,7.29231,77.50826,25/06/85,0,1330,0,1729,0,0,0,0,0
Kleijne1984,0,8.12412,76.01772,26/06/85,0,2010,0,19296,0,0,0,0,0
Kleijne1984,0,8.36797,74.38465,26/06/85,465,3274,332,22244,0,1328,0,930,465
Kleijne1984,0,9.02075,73.08215,27/06/85,0,1650,330,7590,0,330,,330,
Kleijne1984,0,9.19621,71.40588,27/06/85,0,2530,1771,17710,0,2530,759,,
Kleijne1984,0,9.40531,70.02325,28/06/85,12,1169,2106,5850,0,,,304,304
Kleijne1984,0,10.06286,68.19382,28/06/85,0,3040,11552,12160,0,912,0,,
Kleijne1984,0,10.26186,66.40665,29/06/85,20,1948,2925,9945,0,780,,800,527
Kleijne1984,0,10.44246,65.27534,29/06/85,0,480,2064,672,0,1152,240,,0
Kleijne1984,0,10.56668,64.28112,30/06/85,234,1777,11700,2700,0,180,,918,
Kleijne1984,0,11.1148,63.30521,30/06/85,312,1169,9240,1200,0,,,612,312
Kleijne1984,0,11.26312,62.26369,30/06/85,0,250,1875,625,0,0,0,0,0
Kleijne1984,0,11.33774,61.55623,01/07/85,0,1560,10764,2340,0,0,0,,
Kleijne1984,0,11.38701,61.31325,01/07/85,920,3908,19600,10000,0,0,0,600,320
Kleijne1984,0,11.45033,61.00026,01/07/85,0,3340,15698,8350,0,0,0,1303,
Kleijne1984,0,12.023,59.34,01/07/85,0,3620,14118,15566,0,,0,2643,2317
Kleijne1984,0,12.10898,58.31358,02/07/85,3237,7976,29880,22410,0,,0,8300,6889
