Reference,Date,Latitude,Longitude,Station,Depth,Acanthoica quattrospina,Algirosphaera robusta,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calciosolenia brasiliensis,Calciosolenia murrayi,Calciopappus rigidus ,Ceratolithus cristatus,Discosphaera tubifera,Helicosphaera carteri,Helicosphaera sp.1suave,Michaelsarsia adriaticus (Halolappus),Michaelsarsia elegans,Oolithotus spp.,Ophiaster hydroideus,Palusphaera spp.,Papposphaera sp.,Poricalyptra aurisinae,Pontosphaera syracusana,Reticulofenestra sessilis(sobre Thalassiosira),Rhabdosphaera clavigera,Scisphosphaera apsteinii,Syracosphaera pulchra HET,S. pulchra HOL,Syracosphaera pirus,Syracosphaera prolongata,Syracosphaera sp.(petita rodona),Syracosphaera spp.,Umbellosphaera irregularis,Umbilicosphaera anulus ,Umbilicosphaera sibogae,Coco sp1(med-large oval coccolths) Simil Coronosphaera,Coco sp2 (mediana cocos transparentes),Coco sp4 (dark 11-15um),Coco sp5 (reticulate16um),Coco sp6 (dark bipolar 14um),Coco sp8 (possible Gladiolithus),Coco sp9 (oval coccoliths 36um),Coco sp10 (25um SF),Coco sp11 (12-18um SF) simil Hayaster,Coco sp12 (bipolar HOL SF),Coco sp13 (elongated 19x6um SF),Coco sp15 (13x8um bipolar SF),Coco sp16 SF pointed,Coco sp17 SF tail (oval coccoliths),Coco sp18 SF triang,Coco sp19 SF Clear central area,Unidentified coccolithophores large,Unidentified coccolithophores small <10um
Estrada2016,16-12-2010,35.0812,-9.3099,1,3,0,0,,260,10,10,0,10,190,30,,0,0,0,0,0,0,,0,0,40,30,90,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,30,0,0,0,,100,4932
Estrada2016,16-12-2010,35.0812,-9.3099,1,20,0,10,,140,0,0,0,0,190,40,,0,0,0,0,0,0,,0,0,50,10,40,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,120,5343
Estrada2016,16-12-2010,35.0812,-9.3099,1,80,0,0,,210,10,10,0,0,210,20,,0,10,0,0,0,0,,0,0,10,20,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,90,5206
Estrada2016,19-12-2010,29.41,-17.1728,3,3,0,0,,0,10,0,0,0,250,10,,0,10,0,0,0,0,,10,0,20,0,20,10,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,110,3425
Estrada2016,19-12-2010,29.41,-17.1728,3,28,0,0,,40,10,20,0,0,310,30,,0,10,0,0,10,0,,10,0,20,10,80,30,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,220,3288
Estrada2016,19-12-2010,29.41,-17.1728,3,98,0,0,,70,0,0,0,0,330,30,,0,0,0,0,0,0,,0,0,30,20,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,,80,2740
Estrada2016,22-12-2010,23.1644,-22.1333,6,3,10,0,,0,0,0,20,0,640,0,,0,10,0,0,0,0,,0,0,30,0,90,10,20,20,0,0,150,10,660,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,,130,7672
Estrada2016,22-12-2010,23.1644,-22.1333,6,33,0,0,,0,0,10,20,0,490,10,,0,20,0,10,0,0,,0,0,60,0,130,50,0,10,0,0,959,0,540,10,0,20,0,0,0,0,0,0,0,0,0,0,0,0,,110,7398
Estrada2016,22-12-2010,23.1644,-22.1333,6,88,0,10,,10,0,20,10,0,380,0,,0,0,0,10,0,0,,0,0,30,10,60,20,0,10,0,20,685,0,510,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,,90,8357
Estrada2016,23-12-2010,21.2701,-23.2727,7,3,10,0,,40,10,0,10,0,330,30,,0,0,0,10,0,0,,0,0,40,0,60,20,10,10,0,0,130,0,170,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,,90,4932
