Latitude,Longitude,Depth,sampling date,sampling month,Month,Year,Reference,Acanthoica acanthifera,Acanthoica quattrospina,Algirosphaera robusta,Alisphaera unicornis,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus leptoporus HOL,Calciopappus caudatus,Calciosolenia bimurata,Calciosolenia brasiliensis,Calyptrolithina divergens,Calyptrosphaera heimdaliae,Calyptrosphaera spp.,Ceratolithus cristatus,Ceratolithus nishidae CER,Coccolithus pelagicus,Coccolithus spp.,Coronosphaera mediterranea HOL,Cyclolihus sp.,Cyclolithus sp.,Cyrtosphaera aculeata,Discosphaera tubifera,Emiliania huxleyi var. corona,Emiliania sp.A,Florisphaera profunda,Gephyrocapsa crassipons,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Gephyrocapsa ornata,Gladiolithus flabellatus,Helicosphaera HOL catilliferus type,Helicosphaera carteri,Helicosphaera carteri HOL,Helicosphaera pavimentum,Helicosphaera pavimentum HOL,Helladosphaera cornifera,Helladosphaera fastigata,Homozygosphaera spp.,Homozygosphaera triarcha,Michaelsarsia adriaticus,Michaelsarsia elegans,Ohiaster hydroideus,Oolithotus antillarum,Oolithotus fragilis,Ophiaster spp.,P. vandelii + R. xiphos,Palusphaera vandelii,Poricalyptra magnaghii,Reticulofenestra parvula,Rhabdosphaera clavigera,Syracolithus catilliferus,Syracosphaera anthos,Syracosphaera anthos HOL,Syracosphaera arethusae HOL,Syracosphaera aurisinae,Syracosphaera corolla,Syracosphaera exigua,Syracosphaera gaarderae,Syracosphaera histrica,Syracosphaera histrica HOL,Syracosphaera lamina,Syracosphaera mediterranea,Syracosphaera molischii,Syracosphaera nana,Syracosphaera nodosa,Syracosphaera orbiculus,Syracosphaera pulchra,Syracosphaera pulchra HOL,Syracosphaera sp.,Syracosphaera spp.,Syracosphaera strigilis HOL,Tetralithoides quadrilaminata,Umbellosphaera irregularis,Umbellosphaera spp.,Umbellosphaera tenuis,Umbilicosphaera angustiforamen,Umbilicosphaera foliosa,Umbilicosphaera hulburtiana,Umbilicosphaera sibogae
32.44,129.74,0,16,11,11,1968,Okada1973,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,15840,0,0,600,6480,0,0,0,120,0,0,0,0,0,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0
31.56,129.4,0,16,11,11,1968,Okada1973,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16800,120,0,2520,2880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,840,0,0
25.3,141.27,0,11,1,1,1969,Okada1973,0,0,452.2613065327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.7537688442,0,6180.9045226131,0,0,1809.0452261307,1055.2763819096,0,0,0,50.2512562814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.2512562814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.5025125628,0,0,0,0,0,0,0,0,0,100.5025125628,50.2512562814,0
25.39,141.3,0,12,1,1,1969,Okada1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5740,0,0,1886,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,82,0,0,0,0,164,41
28.25,141.18,0,12,1,1,1969,Okada1973,0,0,120,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,8280,0,0,1380,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,120,960,0
29.33,140.54,0,12,1,1,1969,Okada1973,0,0,390,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14170,0,0,5460,2080,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,2340,520
31.2,140.33,0,13,1,1,1969,Okada1973,0,0,0,0,0,361.8090452261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15557.7889447236,0,0,1326.6331658292,3618.0904522613,0,0,0,120.6030150754,0,0,0,0,0,0,0,120.6030150754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.6030150754,120.6030150754,0,0,0,120.6030150754,0,0,0,0,0,0,0,0,0,361.8090452261,2050.2512562814,120.6030150754
32.37,140.11,0,13,1,1,1969,Okada1973,0,0,495,0,0,55,0,55,0,0,0,0,0,0,0,0,0,55,0,0,0,110,0,7810,0,0,825,715,0,0,0,0,0,0,0,0,0,0,0,110,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,55,0,0,0,0,55,0,0,0,0,0,0,0,0,0,110,275,55
34.2,139.5,0,13,1,1,1969,Okada1973,0,0,150,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,11625,0,0,1650,1275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.58,140.1,0,7,11,11,1968,Okada1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10260,0,0,95,8265,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
