Latitude,Longitude,Date/Time,Depth,total,counts,Calciosolenia murrayi,Oolithotus antillarum,Umbilicosphaera hulburtiana,Emiliania huxleyi,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Gephyrocapsa spp.,Reticulofenestra parvula,Reticulofenestra sessilis,Acanthoica acanthifera,Acanthoica quattrospina,Algirosphaera oryza,Algirosphaera robsta,Discosphaera tubifera,Rhabdosphaera clavigera var. clavigera,Rhabdosphaera clavigera var. stylifera,Rhabdosphaera xiphos,Michaelsarsia adriaticus,Coronosphaera mediterranea,Syracosphaera spp.,Florisphaera profunda,Gladiolithus flabellatus,Turrilithus latericioides,Umbellosphaera irregularis,Umbellosphaera tenuis,holococcolithophores,miscellaneous
-29.6683,113.6842,1996-02-22,0,14000,224,,,4,54,2,,,,,5,,,,36,,3,14,,,31,,,,14,38,20,3
-29.3468,113.2168,1996-02-22,0,13000,223,,,1,54,2,,,,,2,,,,20,2,10,10,,1,32,,,,17,57,14,1
-29.3468,113.2168,1996-02-22,26,10000,207,,,6,73,9,,1,,,,,,,8,2,5,,,,10,,,,22,62,7,2
-29.3468,113.2168,1996-02-22,41,14000,211,,,1,84,15,1,4,,,1,1,,,3,4,4,,,,22,,,,6,60,4,1
-29.3468,113.2168,1996-02-22,75,11000,208,1,,,67,78,,2,,,,,,,13,4,2,,,,13,,,,1,21,2,4
-29.3468,113.2168,1996-02-22,121,37000,213,2,1,,25,14,4,,,,,,11,2,,,,,1,,6,143,,2,,1,,1
-29.3468,113.2168,1996-02-22,200,4300,203,,3,,26,3,16,,,,,,13,4,1,,,,,,2,121,10,,,2,,2
-29.3312,112.9478,1996-02-22,0,14000,218,,,1,40,2,,2,,,10,1,,,20,,7,9,,,23,,,,19,69,13,2
-29.3312,112.9478,1996-02-22,23,16000,219,,,2,40,4,,,,,5,,,,25,4,4,,,,15,,,,21,91,8,
-29.3312,112.9478,1996-02-22,40,19000,212,,,3,49,2,,,,,1,,,,17,1,5,,,,5,,,,32,93,3,1
-29.3312,112.9478,1996-02-22,75,8400,217,,,,80,45,,9,,,3,,,,15,3,,,,,19,,,,5,35,1,2
-29.3312,112.9478,1996-02-22,119,13000,208,8,3,1,70,21,1,,,,,,8,1,1,,,3,,,13,65,5,,,7,,1
-28.7137,113.388,1996-02-22,0,3900,217,,,1,114,24,13,2,,,2,,,,4,,9,,,,13,,,,29,6,,
-28.7137,113.388,1996-02-22,60,14000,227,4,1,,113,49,46,,,1,,,1,,1,,,,,,2,9,,,,,,
-28.7137,113.388,1996-02-22,85,7900,208,,,,34,2,76,,,,,,1,,,,,,,,1,92,,,,,1,1
-28.4145,112.2822,1996-02-23,0,22000,202,3,1,,103,36,8,,,,1,,,,3,,3,,,1,10,1,,,25,4,3,
-28.4145,112.2822,1996-02-23,18,15000,214,2,3,,109,30,16,,,,1,,,,8,,7,,,,10,,,,20,3,3,2
-28.4145,112.2822,1996-02-23,55,55000,221,2,7,,78,16,64,,,2,,,2,3,,,,,1,,4,35,,5,,,,2
-28.4145,112.2822,1996-02-23,170,2700,202,1,16,,55,8,14,,,,1,,17,,,,,,,,6,74,3,,,3,1,3
-28.4145,112.2822,1996-02-23,199,2300,201,2,11,,56,4,8,,,,,,14,3,,,,,,,7,90,3,,,,,3
-26.9567,111.3327,1996-02-23,0,900,202,,,2,41,3,,,,,,6,,,31,,21,,,1,17,,,,45,26,8,1
