Reference,Date,Latitude,Longitude,Depth,Emiliania huxleyi,Gephyrocapsa ericsonii,Florisphaera profunda,Umbellosphaera irregularis,Umbellosphaera tenuis
Cortes2001,18/01/94,22.345,-158.3,5,1050,78,0,467,350
Cortes2001,18/01/94,22.345,-158.3,10,233,39,0,233,272
Cortes2001,18/01/94,22.345,-158.3,25,1287,0,0,390,663
Cortes2001,18/01/94,22.345,-158.3,50,0,0,0,0,78
Cortes2001,18/01/94,22.345,-158.3,75,272,39,0,78,194
Cortes2001,18/01/94,22.345,-158.3,100,595,0,2658,0,0
Cortes2001,18/01/94,22.345,-158.3,150,0,0,962,0,0
Cortes2001,18/01/94,22.345,-158.3,200,0,0,0,0,0
Cortes2001,15/02/94,22.345,-158.3,5,1847,665,0,226,213
Cortes2001,15/02/94,22.345,-158.3,10,2557,2216,0,1619,724
Cortes2001,15/02/94,22.345,-158.3,25,4586,3958,63,1571,691
Cortes2001,15/02/94,22.345,-158.3,50,7048,7493,223,1335,742
Cortes2001,15/02/94,22.345,-158.3,75,4934,7018,0,1807,3057
Cortes2001,15/02/94,22.345,-158.3,100,5927,1648,0,380,222
Cortes2001,15/02/94,22.345,-158.3,150,1906,0,3369,0,19
Cortes2001,15/02/94,22.345,-158.3,200,126,0,502,0,0
Cortes2001,07/03/94,22.345,-158.3,5,477,358,0,119,895
Cortes2001,07/03/94,22.345,-158.3,10,503,377,0,377,1822
Cortes2001,07/03/94,22.345,-158.3,25,2801,1844,0,1666,3155
Cortes2001,07/03/94,22.345,-158.3,50,4650,2087,0,2623,5783
Cortes2001,07/03/94,22.345,-158.3,75,4082,7932,0,4549,6998
Cortes2001,07/03/94,22.345,-158.3,100,8002,6524,0,2609,3914
Cortes2001,07/03/94,22.345,-158.3,150,3518,0,3967,0,150
Cortes2001,07/03/94,22.345,-158.3,200,1313,77,3501,0,0
Cortes2001,17/06/94,22.345,-158.3,5,218,31,16,421,452
Cortes2001,17/06/94,22.345,-158.3,10,118,0,0,207,59
Cortes2001,17/06/94,22.345,-158.3,25,80,0,0,0,80
Cortes2001,17/06/94,22.345,-158.3,50,264,198,33,1486,2873
Cortes2001,17/06/94,22.345,-158.3,75,521,1203,0,1483,3408
Cortes2001,17/06/94,22.345,-158.3,100,854,1630,0,1708,6947
Cortes2001,17/06/94,22.345,-158.3,150,1150,278,14321,238,198
Cortes2001,17/06/94,22.345,-158.3,200,155,0,621,0,0
Cortes2001,28/08/94,22.345,-158.3,5,78,0,0,12175,1089
Cortes2001,28/08/94,22.345,-158.3,10,239,40,0,16123,1433
Cortes2001,28/08/94,22.345,-158.3,25,155,0,0,8344,466
Cortes2001,28/08/94,22.345,-158.3,50,79,0,0,7696,1150
Cortes2001,28/08/94,22.345,-158.3,75,0,0,0,,233
Cortes2001,28/08/94,22.345,-158.3,150,4665,196,4351,39,510
Cortes2001,28/08/94,22.345,-158.3,200,1321,240,1402,120,360
Cortes2001,21/09/94,22.345,-158.3,5,390,39,0,11384,585
Cortes2001,21/09/94,22.345,-158.3,10,392,39,0,11201,274
Cortes2001,21/09/94,22.345,-158.3,25,841,0,0,10011,1121
Cortes2001,21/09/94,22.345,-158.3,50,621,0,0,10012,582
Cortes2001,21/09/94,22.345,-158.3,75,1764,1924,0,19885,13070
Cortes2001,21/09/94,22.345,-158.3,100,3260,10633,0,2018,1242
Cortes2001,21/09/94,22.345,-158.3,150,79,516,11940,1190,40
Cortes2001,21/09/94,22.345,-158.3,200,0,0,1035,259,0
Cortes2001,13/10/94,22.345,-158.3,5,311,39,0,7313,778
Cortes2001,13/10/94,22.345,-158.3,10,555,0,0,7726,951
Cortes2001,13/10/94,22.345,-158.3,25,349,0,0,7102,815
Cortes2001,13/10/94,22.345,-158.3,50,436,0,0,4205,595
Cortes2001,13/10/94,22.345,-158.3,75,1319,12884,0,7141,5511
Cortes2001,13/10/94,22.345,-158.3,100,722,4891,0,11787,16357
Cortes2001,13/10/94,22.345,-158.3,150,466,194,3570,388,505
Cortes2001,13/10/94,22.345,-158.3,200,0,0,0,0,0
Cortes2001,17/11/94,22.345,-158.3,5,0,0,0,0,0
Cortes2001,17/11/94,22.345,-158.3,10,0,0,0,1075,112
Cortes2001,17/11/94,22.345,-158.3,25,22,0,0,502,175
Cortes2001,17/11/94,22.345,-158.3,75,131,0,0,873,218
Cortes2001,17/11/94,22.345,-158.3,100,113,90,677,496,271
Cortes2001,17/11/94,22.345,-158.3,150,65,109,1834,196,65
Cortes2001,17/11/94,22.345,-158.3,200,0,0,135,0,0
Cortes2001,04/02/95,22.345,-158.3,5,10090,2639,0,5472,4230
Cortes2001,04/02/95,22.345,-158.3,25,8291,3412,0,7180,1904
Cortes2001,04/02/95,22.345,-158.3,75,1002,40,0,762,1243
Cortes2001,04/02/95,22.345,-158.3,100,5744,1242,0,3687,1863
Cortes2001,04/02/95,22.345,-158.3,150,862,0,3094,39,117
Cortes2001,02/03/95,22.345,-158.3,5,3816,893,0,1502,2151
Cortes2001,02/03/95,22.345,-158.3,10,3816,122,0,1015,1908
Cortes2001,02/03/95,22.345,-158.3,25,3183,314,0,1218,1650
Cortes2001,02/03/95,22.345,-158.3,50,19016,1630,0,2755,3764
Cortes2001,02/03/95,22.345,-158.3,75,19909,1436,116,1940,2600
Cortes2001,02/03/95,22.345,-158.3,100,3842,310,14126,0,0
Cortes2001,02/03/95,22.345,-158.3,150,392,157,783,0,0
Cortes2001,02/03/95,22.345,-158.3,200,157,0,274,117,0
Cortes2001,04/04/95,22.345,-158.3,5,1673,311,0,778,194
Cortes2001,04/04/95,22.345,-158.3,10,2787,159,0,995,478
Cortes2001,04/04/95,22.345,-158.3,25,3299,543,0,2949,1940
Cortes2001,04/04/95,22.345,-158.3,50,4760,595,0,3332,2142
Cortes2001,04/04/95,22.345,-158.3,75,2678,1281,0,5278,6326
Cortes2001,04/04/95,22.345,-158.3,100,3568,1042,0,3328,5813
Cortes2001,04/04/95,22.345,-158.3,150,4347,427,931,39,310
Cortes2001,04/04/95,22.345,-158.3,200,681,0,681,0,40
Cortes2001,05/05/95,22.345,-158.3,5,1595,583,0,1167,1245
Cortes2001,05/05/95,22.345,-158.3,10,1154,318,0,637,677
Cortes2001,05/05/95,22.345,-158.3,25,1397,272,0,699,1009
Cortes2001,05/05/95,22.345,-158.3,50,6664,1983,238,1349,2698
Cortes2001,05/05/95,22.345,-158.3,75,1940,1940,0,1203,2173
Cortes2001,05/05/95,22.345,-158.3,100,1123,3207,0,1443,2205
Cortes2001,05/05/95,22.345,-158.3,150,2406,427,1824,0,39
Cortes2001,05/05/95,22.345,-158.3,200,1482,160,1161,0,0
Cortes2001,28/07/95,22.345,-158.3,5,335,0,0,1933,706
Cortes2001,28/07/95,22.345,-158.3,10,490,82,0,3960,980
Cortes2001,28/07/95,22.345,-158.3,25,382,0,38,5660,994
Cortes2001,28/07/95,22.345,-158.3,50,403,242,0,8696,6200
Cortes2001,28/07/95,22.345,-158.3,75,1226,2988,0,3295,5555
Cortes2001,28/07/95,22.345,-158.3,100,1486,1084,0,80,321
Cortes2001,28/07/95,22.345,-158.3,150,275,0,2829,0,0
Cortes2001,28/07/95,22.345,-158.3,200,1368,241,603,0,161
Cortes2001,27/08/95,22.345,-158.3,5,39,0,0,394,39
Cortes2001,27/08/95,22.345,-158.3,25,79,0,0,157,
Cortes2001,27/08/95,22.345,-158.3,50,120,0,0,1125,281
Cortes2001,27/08/95,22.345,-158.3,75,118,0,0,1650,825
Cortes2001,27/08/95,22.345,-158.3,100,934,41,41,0,122
Cortes2001,27/08/95,22.345,-158.3,200,0,0,487,0,0
Cortes2001,24/09/95,22.345,-158.3,5,0,39,0,6630,39
Cortes2001,24/09/95,22.345,-158.3,10,40,0,0,9355,239
Cortes2001,24/09/95,22.345,-158.3,25,116,0,0,9159,194
Cortes2001,24/09/95,22.345,-158.3,50,476,1745,0,4721,4165
Cortes2001,24/09/95,22.345,-158.3,75,3571,5240,0,1708,3494
Cortes2001,24/09/95,22.345,-158.3,100,4691,5893,0,2486,4450
Cortes2001,24/09/95,22.345,-158.3,150,776,194,1552,155,39
Cortes2001,24/09/95,22.345,-158.3,200,360,40,1682,120,
Cortes2001,25/10/95,22.345,-158.3,5,354,0,0,4884,394
Cortes2001,25/10/95,22.345,-158.3,10,81,0,0,1653,121
Cortes2001,25/10/95,22.345,-158.3,50,80,0,0,2048,80
Cortes2001,25/10/95,22.345,-158.3,75,2593,550,0,9037,5658
Cortes2001,25/10/95,22.345,-158.3,100,3978,3410,0,3085,2923
Cortes2001,25/10/95,22.345,-158.3,150,275,39,3497,0,79
Cortes2001,25/10/95,22.345,-158.3,200,122,0,527,0,162
Cortes2001,15/11/95,22.345,-158.3,5,158,0,0,866,118
Cortes2001,15/11/95,22.345,-158.3,10,161,0,0,1330,242
Cortes2001,15/11/95,22.345,-158.3,25,236,0,0,786,
Cortes2001,15/11/95,22.345,-158.3,50,201,0,0,602,80
Cortes2001,15/11/95,22.345,-158.3,75,275,432,0,1375,589
Cortes2001,15/11/95,22.345,-158.3,100,1886,2207,8467,40,40
Cortes2001,15/11/95,22.345,-158.3,200,41,41,122,0,0
Cortes2001,15/01/96,22.345,-158.3,5,1323,529,0,5367,1020
Cortes2001,15/01/96,22.345,-158.3,10,822,176,0,3936,470
Cortes2001,15/01/96,22.345,-158.3,25,ND,ND,ND,ND,ND
Cortes2001,15/01/96,22.345,-158.3,50,ND,ND,ND,ND,ND
Cortes2001,15/01/96,22.345,-158.3,75,ND,ND,ND,ND,ND
Cortes2001,15/01/96,22.345,-158.3,100,ND,ND,ND,ND,ND
Cortes2001,15/01/96,22.345,-158.3,150,ND,ND,ND,ND,ND
