Latitude,Longitude,Temperature,Day,Month,Year,Depth,Total,Coccolithus pelagicus,Reticulofenestra parvula complex,Oolithotus antillarum,Oolithotus fragilis,Calcidiscus leptoporus var. A,Calcidiscus quadriperforatus,Calcidiscus leptoporus,Emiliania huxleyi,Emiliania huxleyi var. corona,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Geophyrocapsa oceanica(deformed),Gephyrocapsa crassipons,Gephyrocapsa ornata,Helicosphaera carteri,Helicosphaera pavimentum,Umbilicosphaera hulburtiana,Umbilicosphaera foliosa,Umbilicosphaera sibogae,Acanthoica acanthifera,Acanthoica aculeata,Acanthoica quattrospina,Algirosphaera robusta,Calciosolenia brasiliensis,Braarudosphaera bigelowii,Ceratolithus cristatus,Neosphaera coccolithomorpha,Cyclolithus sp.,Umbilicosphaera angustiforamen,Discosphaera tubifera,Florisphaera profunda,Florisphaera profunda var. elongata,Calciopappus caudatus,Halopappus adriaticus,Ophiaster sp.,P. vandelii + R. xiphos,Rhabdosphaera clavigera,Thorosphaera flabellata,Umbellosphaera irregularis,Umbellosphaera tenuis,Syracosphaera corolla,Syracosphaera histrica,Syracosphaera molischii group,Syracosphaera molischii,Syracosphaera nana,Syracosphaera pirus,Syracosphaera pulchra,Syracosphaera mediterranea,Syracosphaera anthos,Syracosphaera nodosa,Syracosphaera orbiculus,Syracosphaera lamina,Syracosphaera exigua,Alisphaera unicornis,Syracosphaera sp. H,Alveosphaera bimurata,Syracosphaera sp. K,Syracosphaera sp.,Calyptrolithophora gracillima,Calyptrosphaera oblonga,Calyptrolithophora papillifera,Calyptrolithophora papillifera.1,Homozygosphaera arethusae,Helladosphaera cornifera,Helladosphaera aurisinae,Homozygosphaera dalmatica,Syracolithus quadriperforatus,Calyptrosphaera heimdaliae,Homozygosphaera triarcha,Calyptrolithina wettsteinii,Syracolithus catilliferus,Syracolithus catilliferus.1,Helladosphaera fastigata,Homozygosphaera sp. E,Periphyllophora mirabilis,Zygosphaera divergens,Calyptrosphaera pirus
32.44,129.74,19,16,11,1968,0,24000,,,4,,,,,132,,5,54,,,,1,,,1,,,,,0,1,,,,,,,0,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,
31.56,129.4,20.4,16,11,1968,0,24000,,,5,,,,,140,,21,24,,,,0,,,7,,,,,1,0,,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,
25.3,141.27,20.7,11,1,1969,0,10000,,,0,,0,,,123,,36,21,,,,1,,1,2,0,,,,9,,,,,,,3,,,0,0,,,1,,0,,,0,,0,,,2,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
25.39,141.3,20.6,12,1,1969,0,8200,,,1,,0,,,140,,46,5,,,,0,,4,0,1,,,,0,,,,,,,0,,,0,0,,,0,,2,,,0,,0,,,1,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
28.25,141.18,19.6,12,1,1969,0,12000,,,2,,3,,,138,,23,12,,,,0,,16,2,0,,,,2,,,,,,,1,,,0,0,,,0,,0,,,0,,0,,,1,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
29.33,140.54,19,12,1,1969,0,26000,,,0,,2,,,109,,42,16,,,,1,,18,5,4,,,,3,,,,,,,0,,,0,0,,,0,,0,,,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
31.2,140.33,18,13,1,1969,0,24000,,,0,,3,,,129,,11,30,,,,1,,17,3,1,,,,0,,,,,,,0,,,0,1,,,0,,0,,,0,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
32.37,140.11,19.8,13,1,1969,0,11000,,,3,,1,,,142,,15,13,,,,0,,5,2,1,,,,9,,,,,,,2,,,1,2,,,0,,0,,,1,,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
34.2,139.5,19.4,13,1,1969,0,15000,,,2,,1,,,155,,22,17,,,,0,,0,0,0,,,,2,,,,,,,1,,,0,0,,,0,,0,,,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
34.58,140.1,19.5,7,11,1968,0,19000,,,0,,,,,108,,1,87,,,,2,,0,0,,,,,0,0,,,,,,,,,,0,,,0,,,,0,0,0,0,0,,0,2,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
35.5,141.2,20,7,11,1968,0,18000,,,1,,,,,119,,11,60,,,,1,,0,1,,,,,5,0,,,,,,,,,,0,,,0,,,,0,0,0,0,0,,0,2,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
37.2,141.16,20.8,6,11,1968,0,23000,,,3,,,,,103,,9,49,,,,1,,5,5,,,,,5,3,,,,,,,,,,4,,,0,,,,1,1,3,0,3,,1,4,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
38.54,141.54,17.5,6,11,1968,0,2000,,,0,,,,,129,,11,13,,,,0,,0,1,,,,,1,0,,,,,,,,,,1,,,3,,,,3,9,4,15,4,,1,2,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
-0.1,141.59,29.4,30,12,1968,0,15000,,,1,,,,,5,,118,,,,,0,,,3,,0,,,0,50,,,,,,0,,,15,0,,,,,1,,2,,,,,0,1,0,,0,,,,1,,,,2,1,,,,,,,,,,,0,,,,,,,
-0.1,141.59,29.2,30,12,1968,20,15000,,,4,,,,,3,,131,,,,,1,,,6,,1,,,0,19,,,,,,0,,,13,4,,,,,1,,0,,,,,2,1,0,,2,,,,2,,,,2,1,,,,,,,,,,,1,,,,,,,
-0.1,141.59,29.1,30,12,1968,30,11000,,,0,,,,,4,,131,,,,,0,,,0,,5,,,0,25,,,,,,2,,,15,0,,,,,4,,3,,,,,0,2,0,,0,,,,1,,,,4,3,,,,,,,,,,,1,,,,,,,
-0.1,141.59,28.4,30,12,1968,50,16000,,,2,,,,,0,,146,,,,,0,,,5,,1,,,0,12,,,,,,0,,,26,2,,,,,0,,2,,,,,0,0,0,,0,,,,2,,,,2,0,,,,,,,,,,,0,,,,,,,
-0.1,141.59,28.1,30,12,1968,75,12000,,,6,,,,,3,,136,,,,,0,,,14,,1,,,1,18,,,,,,0,,,10,3,,,,,0,,2,,,,,0,0,1,,0,,,,0,,,,5,0,,,,,,,,,,,0,,,,,,,
-0.1,141.59,26.2,30,12,1968,100,9900,,,2,,,,,4,,151,,,,,0,,,7,,4,,,0,21,,,,,,0,,,3,2,,,,,0,,0,,,,,0,0,0,,0,,,,0,,,,5,0,,,,,,,,,,,0,,,,,,,
