Sample,Depth,Latitude,Longitude,Date,Year,Month,Day,Total,Cyclococcolithina fragilis,Cyclococcolithina leptoporus var.A,Emiliania huxleyi,Geophyrocapsa ericsonii,Geophyrocapsa oceanica,Helicopontosphaera kamptneri,Umbilicosphaera hulburtiana,Umbilicosphaera sibogae var.A,Umbilicosphaera sibogae var.B,Anoplosolenia brasiliensis,Anthosphaera quadricornu,Calciopappus caudatus,Discosphaera tubifera,Michaelsarsia elegans,Florispahera profunda var.A,Rhabdospaera clavigera,Umbellosphaera irregularis,Umbellosphaera sp.A,Syracosphaera corolla,Syracosphaera histrica,Syracosphaera mediterranea,Syracosphaera molischi,Syracosphaera nana,Syracosphaera pulchra,Syracosphaera pulchroides,Syracosphaera spp.,Calyptrosphaera oblonga,Homozygosphaera wettsteini,Homozygosphaera sp.A
SP-13,0,32.44,129.47,16/11/68,1968,11,16,24000,4,,132,5,54,1,,1,,1,0,,,,0,,,,1,,,,,,,1,0,,
SP-14,0,51.56,129.4,16/11/68,1968,11,16,24000,5,,140,21,24,0,,7,,0,1,,,,1,,,,0,,,,,,,0,1,,
SP-74,0,25.03,129.45,11/01/69,1969,1,11,10000,0,0,123,36,21,1,1,2,0,,9,0,3,0,,1,0,1,,0,,0,,2,0,,,0,
SP-75,0,28.25,141.3,11/01/69,1969,1,11,8200,1,0,140,46,5,0,4,0,1,,0,0,0,0,,0,2,0,,0,,0,,1,0,,,0,
SP-76,0,29.33,141.18,12/01/69,1969,1,12,12000,2,3,138,23,12,0,16,2,0,,2,0,1,0,,0,0,0,,0,,0,,1,0,,,0,
SP-77,0,31.2,140.54,12/01/69,1969,1,12,26000,0,2,109,42,16,1,18,5,4,,3,0,0,0,,0,0,0,,0,,0,,0,0,,,0,
SP-78,0,32.37,140.33,13/01/69,1969,1,13,24000,0,3,129,11,30,1,17,3,1,,0,0,0,1,,0,0,1,,0,,1,,1,1,,,0,
SP-79,0,32.37,140.11,13/01/69,1969,1,13,11000,3,1,142,15,13,0,5,2,1,,9,1,2,2,,0,0,0,,1,,0,,1,1,,,1,
SP-80,0,34.02,139.5,13/01/69,1969,1,13,15000,2,1,155,22,17,0,0,0,0,,2,0,1,0,,0,0,0,,0,,0,,0,0,,,0,
SP-5,0,34.58,140.1,07/11/68,1968,11,7,5700,0,,108,1,87,2,0,0,,0,0,,,0,,0,,0,0,0,0,0,0,0,2,,,0,0
SP-4,0,35.5,141.02,07/11/68,1968,11,7,6300,1,,119,11,60,1,0,1,,0,5,,,0,,0,,0,0,0,0,0,0,0,2,,,0,0
SP-3,0,37.02,141.16,08/11/68,1968,11,8,7700,3,,103,9,49,1,5,5,,3,5,,,4,,0,,0,1,1,3,0,3,1,4,,,0,0
SP-2,0,33.54,141.54,08/11/68,1968,11,8,5100,0,,129,11,13,0,0,1,,0,1,,,1,,3,,1,3,9,4,15,4,1,2,,,1,1
