station,Latitude,Longitude,Date,Year,Month,Day,Depth,Total,Cyclococcolithina fragilis,Cyclococcolithina leptoporus var.B,Emiliania huxleyi,Geophyrocapsa ericsonii,Geophyrocapsa oceanica,Helicopontosphaera kamptneri,Umbilicosphaera hulburtiana,Umbilicosphaera sibogae var.A,Acanthoica acanthifera,Anoplosolenia brasiliensis,Anthosphaera robusta,Calciopappus caudatus,Discosphaera tubifera,Florispahera profunda var.A,Michaelsarsia elegans,Rhabdospaera clavigera,Thorosphaera flabellata,Umbellosphaera irregularis,Umbellosphaera sp.A,Syracosphaera corolla,Syracosphaera pirus,Syracosphaera pulchra,Syracosphaera pulchroides,Syracosphaera sp.A,Syracosphaera sp.G,Syracosphaera spp.,Calyptrosphaera catillifera,Homozygosphaera wettsteini
SP-61,-0.0166666667,141.9833333333,01/01/69,1969,1,1,0,15000,1,,5,118,,0,,3,0,50,0,15,0,,0,,,1,0,2,0,1,0,0,1,2,1,0
SP-61,-0.0166666667,141.9833333333,01/01/69,1969,1,1,20,15000,4,,3,131,,1,,6,1,19,0,13,0,,4,,,1,1,0,2,1,0,2,2,2,1,1
SP-61,-0.0166666667,141.9833333333,01/01/69,1969,1,1,30,11000,0,,4,131,,0,,0,5,25,0,15,2,,0,,,4,0,3,0,2,0,0,1,4,3,1
SP-61,-0.0166666667,141.9833333333,01/01/69,1969,1,1,50,16000,2,,0,146,,0,,5,1,12,0,26,0,,2,,,0,0,2,0,0,0,0,2,2,0,0
SP-61,-0.0166666667,141.9833333333,01/01/69,1969,1,1,75,12000,6,,3,136,,0,,14,1,18,1,10,0,,3,,,0,0,2,0,0,1,0,0,5,0,0
SP-61,-0.0166666667,141.9833333333,01/01/69,1969,1,1,100,9900,2,,4,151,,0,,7,4,21,0,3,0,,2,,,0,1,0,0,0,0,0,0,5,0,0
SP-63,2.7,141.8,03/01/69,1969,1,3,0,3800,47,0,3,6,11,0,1,19,1,1,1,,2,0,4,0,0,77,11,3,,0,6,0,0,5,1,1
SP-63,2.7,141.8,03/01/69,1969,1,3,17,9400,51,0,4,15,9,0,0,9,4,9,1,,6,0,3,0,0,58,14,6,,1,0,0,0,10,0,0
SP-63,2.7,141.8,03/01/69,1969,1,3,30,10000,50,0,6,7,10,0,0,8,5,9,0,,1,0,4,1,0,75,17,1,,1,2,0,0,2,0,1
SP-63,2.7,141.8,03/01/69,1969,1,3,56,5600,34,0,5,6,5,0,0,6,5,8,1,,3,0,3,0,0,116,4,2,,0,0,1,1,0,0,0
SP-63,2.7,141.8,03/01/69,1969,1,3,111,2800,71,1,2,0,6,1,0,4,0,1,11,,0,74,2,0,23,3,0,0,,0,0,0,0,1,0,0
