Latitude,Longitude,Depth,Sample,Date,Year,Month,Day,Total,Cocolithus sp.A,Cyclococcolithina fragilis,Cyclococcolithina fragilis var.A,Cyclococcolithina leptoporus var.B,Cyclococcolithina leptoporus var.C,Emiliania huxleyi,Emiliania sp.A,Geophyrocapsa ericsonii,Geophyrocapsa oceanica,Geophyrocapsa sp.A,Geophyrocapsa sp.B,Helicosphaera kamptneri,Umbilicosphaera hulburtiana,Umbilicosphaera sibogae var.B,Acanthoica acanthifera,Acanthoica aculeata,Acanthoica quattrospina,Anthosphaera quadricornu,Anoplosolenia brasiliensis,Brrarudosphaera bigerowi,Ceratolithus cristatus,Cyclolithella annulus,Cyclolihus sp.,Discosphaera tubifera,Florispahera profunda var.A,Florispahera profunda var.B,Calciopappus caudatus,Michaelsarsia elegans,Rhabdospaera clavigera,Thorosphaera flabellata,Umbellosphaera irregularis,Umbellosphaera tenuis,Umbellosphaera sp.A,Umbellosphaera sp.B,Syracosphaera corolla,Syracosphaera histrica,Syracosphaera mediterranea,Syracosphaera molischi,Syracosphaera nana,Syracosphaera pirus,Syracosphaera pulchra,Syracosphaera pulchroides,Syracosphaera variabilis,Syracosphaera sp.A,Syracosphaera sp.C,Syracosphaera sp.D,Syracosphaera sp.G,Syracosphaera sp.H,Syracosphaera sp.J,Syracosphaera sp.K,Syracosphaera spp.,Calyptrosphaera catillifera,Calyptrosphaera oblonga,Calyptrosphaera papillifera,Calyptrosphaera sp.A,Corisphaera strigilis,Helladosphaera aurisinae,Homozygosphaera dalmatica,Homozygosphaera triarcha,Homozygosphaera quadriperforata,Homozygosphaera wettsteini,Homozygosphaera sp.A,Homozygosphaera sp.B,Homozygosphaera sp.D,Periphyrophora mirabilis
21,-155.0166666667,0,KH-59-0,12/09/69,1969,9,12,1000,,0,,,,5,5,0,1,,,,1,,1,0,1,0,0,,0,1,,15,0,0,,0,19,0,127,8,8,0,0,0,0,0,0,0,4,0,0,,0,2,,,0,,,,2,,,0,0,,0,0,0,0,,0,0
21,-155.0166666667,10,KH-59-10,12/09/69,1969,9,12,1300,,0,,,,4,3,0,3,,,,3,,0,1,4,0,0,,0,0,,7,0,0,,0,15,0,142,4,0,0,0,0,0,0,0,0,2,0,0,,0,3,,,0,,,,6,,,2,0,,0,0,1,0,,0,0
21,-155.0166666667,20,KH-59-20,12/09/69,1969,9,12,1400,,1,,,,10,1,1,3,,,,0,,0,0,4,0,0,,1,0,,18,0,0,,0,35,0,107,7,2,0,0,0,3,0,0,0,1,0,1,,0,1,,,0,,,,3,,,0,0,,0,0,0,1,,0,0
21,-155.0166666667,30,KH-59-30,12/09/69,1969,9,12,1400,,0,,,,9,3,0,1,,,,2,,1,3,5,0,0,,0,0,,19,0,0,,0,10,0,121,2,7,0,0,0,3,0,0,1,2,1,0,,0,1,,,0,,,,6,,,0,0,,0,0,0,2,,1,0
21,-155.0166666667,50,KH-59-50,12/09/69,1969,9,12,1200,,0,,,,15,4,0,4,,,,2,,0,0,1,0,0,,0,0,,12,0,0,,0,22,0,122,10,2,0,0,0,0,0,0,0,2,1,0,,0,0,,,0,,,,1,,,0,0,,1,0,0,0,,1,0
21,-155.0166666667,75,KH-59-75,12/09/69,1969,9,12,7100,,0,,,,2,0,0,0,,,,1,,1,0,2,0,0,,0,0,,2,0,0,,0,5,0,106,67,0,0,0,1,3,0,0,0,6,0,1,,0,0,,,0,,,,0,,,0,2,,0,0,0,0,,0,1
21,-155.0166666667,100,KH-59-100,12/09/69,1969,9,12,3900,,0,,,,4,0,3,0,,,,0,,2,0,3,0,6,,0,0,,14,0,0,,4,7,0,18,129,0,0,1,0,1,5,0,0,0,1,0,,0,0,,,0,,,,0,,,1,0,,0,1,0,0,,0,0
21,-155.0166666667,125,KH-59-125,12/09/69,1969,9,12,4400,,4,,,,4,0,0,3,,,,0,,0,0,0,15,0,,0,0,,0,33,26,,3,0,81,0,0,0,1,0,0,0,0,4,0,0,0,17,,6,0,,,3,,,,0,,,0,0,,0,0,0,0,,0,0
21,-155.0166666667,150,KH-59-150,12/09/69,1969,9,12,2100,,0,,,,9,0,0,3,,,,0,,0,0,0,3,0,,0,0,,0,19,34,,1,0,114,1,2,0,1,0,0,0,0,4,0,1,0,5,,3,0,,,0,,,,0,,,0,0,,0,0,0,0,,0,0
21,-155.0166666667,200,KH-59-200,12/09/69,1969,9,12,990,,0,,,,3,0,0,0,,,,1,,0,0,0,2,0,,0,0,,1,25,34,,0,0,126,1,0,0,0,0,0,0,0,0,0,0,0,6,,1,0,,,0,,,,0,,,0,0,,0,0,0,0,,0,0
25,-154.9666666667,0,KH-55-0,10/09/69,1969,9,10,2800,,0,0,0,,2,11,0,0,0,0,0,1,0,0,,1,0,0,,,,0,44,0,0,,0,10,0,96,16,2,,,0,0,0,0,0,6,1,0,,0,1,,,0,,0,,7,,,,0,,,0,0,0,1,0,1
25,-154.9666666667,10,KH-55-10,10/09/69,1969,9,10,3500,,0,0,0,,0,9,0,0,0,0,0,2,0,0,,6,0,0,,,,0,37,0,0,,0,7,0,104,13,3,,,0,3,0,0,1,6,2,0,,0,0,,,0,,0,,5,,,,0,,,0,0,0,0,2,0
25,-154.9666666667,20,KH-55-20,10/09/69,1969,9,10,2900,,0,0,0,,0,5,0,0,0,0,0,0,0,2,,8,0,0,,,,0,33,0,0,,0,6,0,102,17,1,,,0,2,0,0,0,6,2,0,,0,0,,,0,,0,,8,,,,0,,,0,0,3,0,1,0
25,-154.9666666667,30,KH-55-30,10/09/69,1969,9,10,2800,,0,0,1,,2,7,0,0,0,0,0,0,0,0,,3,0,0,,,,0,45,0,0,,0,8,0,101,11,0,,,0,0,0,0,0,8,2,0,,0,0,,,0,,0,,11,,,,0,,,0,0,0,1,0,0
25,-154.9666666667,50,KH-55-50,10/09/69,1969,9,10,3100,,0,0,0,,3,21,0,0,0,0,3,1,0,0,,0,0,0,,,,0,20,0,0,,0,12,0,97,18,0,,,0,0,0,0,0,14,0,0,,0,0,,,0,,0,,4,,,,0,,,2,1,0,1,0,1
25,-154.9666666667,75,KH-55-75,10/09/69,1969,9,10,3000,,0,0,0,,2,0,3,0,0,0,1,0,0,0,,0,0,0,,,,0,15,0,0,,1,16,0,69,79,0,,,1,0,3,0,0,1,1,0,,0,1,,,0,,0,,0,,,,2,,,1,1,0,0,0,1
25,-154.9666666667,100,KH-55-100,10/09/69,1969,9,10,850,,0,0,0,,19,0,15,2,7,0,0,2,0,0,,0,2,1,,,,0,10,1,0,,5,2,0,80,29,1,,,0,2,6,0,0,8,3,2,,0,0,,,0,,3,,0,,,,0,,,0,0,0,0,0,0
25,-154.9666666667,125,KH-55-125,10/09/69,1969,9,10,3700,,3,4,0,,11,0,1,2,0,0,0,0,0,0,,0,26,0,,,,0,0,68,40,,2,1,23,0,3,0,,,0,0,0,2,0,0,0,4,,3,0,,,2,,4,,0,,,,0,,,0,0,1,0,0,0
25,-154.9666666667,150,KH-55-150,10/09/69,1969,9,10,1100,,6,4,0,,17,0,1,2,0,2,0,0,1,0,,0,11,0,,,,0,0,17,37,,1,0,80,0,3,0,,,1,0,1,3,0,0,0,8,,4,0,,,0,,0,,0,,,,0,,,0,0,0,0,0,1
25,-154.9666666667,200,KH-55-200,10/09/69,1969,9,10,370,,16,7,0,,11,0,0,2,0,0,0,0,0,0,,0,7,0,,,,3,0,7,34,,1,0,105,0,0,0,,,0,0,0,3,0,0,0,3,,0,0,,,1,,0,,0,,,,0,,,0,0,0,0,0,0
29.9833333333,-155.0166666667,0,KH-50-0,08/09/69,1969,9,8,310,0,0,0,0,,0,0,0,,,0,0,,0,0,0,3,0,0,0,,,,81,0,0,,0,50,0,28,17,,0,0,1,1,0,,0,6,0,0,0,0,0,1,,0,0,0,,9,0,0,0,0,0,,0,2,0,0,0,1
29.9833333333,-155.0166666667,10,KH-50-10,08/09/69,1969,9,8,1200,0,0,0,0,,2,2,0,,,0,0,,0,0,0,10,0,0,0,,,,41,0,0,,0,46,0,25,19,,0,1,4,8,0,,8,3,1,0,1,0,2,0,,0,0,3,,12,0,1,2,0,0,,1,0,3,0,3,1
29.9833333333,-155.0166666667,20,KH-50-20,08/09/69,1969,9,8,2700,0,0,0,0,,2,0,0,,,0,0,,0,0,0,10,2,0,0,,,,43,0,0,,0,36,0,12,5,,0,0,5,13,0,,3,9,0,0,2,0,1,2,,0,0,0,,24,0,2,2,1,0,,0,3,3,5,15,0
29.9833333333,-155.0166666667,30,KH-50-30,08/09/69,1969,9,8,2600,0,0,0,0,,3,0,0,,,0,0,,0,3,0,11,1,0,0,,,,25,0,0,,0,45,0,4,9,,0,0,2,9,0,,2,23,1,0,0,0,5,7,,0,0,0,,3,0,12,0,9,0,,0,1,5,5,15,0
29.9833333333,-155.0166666667,50,KH-50-50,08/09/69,1969,9,8,3100,0,0,0,0,,5,0,0,,,1,0,,0,0,1,11,0,0,0,,,,15,0,0,,0,41,0,4,23,,0,1,4,15,0,,2,19,0,2,0,0,0,1,,0,0,1,,3,1,5,2,8,0,,0,2,11,1,9,7
29.9833333333,-155.0166666667,75,KH-50-75,08/09/69,1969,9,8,6500,0,0,0,0,,5,0,1,,,2,2,,0,1,0,2,4,0,0,,,,8,0,0,,2,21,0,0,129,,0,0,1,0,0,,0,8,0,0,1,0,0,1,,0,0,0,,0,0,0,1,2,0,,1,1,1,3,0,3
29.9833333333,-155.0166666667,100,KH-50-100,08/09/69,1969,9,8,10000,0,0,0,0,,4,0,5,,,2,1,,0,2,0,0,4,0,0,,,,14,0,0,,3,6,0,1,135,,0,0,4,2,1,,0,5,1,2,0,0,3,1,,0,0,0,,0,0,2,1,0,1,,0,0,0,0,0,0
29.9833333333,-155.0166666667,125,KH-50-125,08/09/69,1969,9,8,5000,2,18,0,0,,62,0,2,,,25,2,,0,1,0,0,0,18,0,,,,4,0,1,,13,1,1,0,18,,0,0,2,0,5,,1,4,0,9,0,0,2,1,,0,7,0,,0,0,0,0,0,1,,0,0,0,0,0,0
29.9833333333,-155.0166666667,150,KH-50-150,08/09/69,1969,9,8,3600,0,42,0,0,,8,0,0,,,1,0,,1,0,0,0,0,16,1,,,,0,59,18,,0,0,40,0,0,,0,0,0,0,0,,0,0,0,6,0,1,0,1,,3,0,3,,0,0,0,0,0,0,,0,0,0,0,0,0
29.9833333333,-155.0166666667,200,KH-50-200,08/09/69,1969,9,8,640,0,43,3,1,,32,0,1,,,1,1,,0,0,0,0,0,34,0,,,,2,19,10,,0,0,32,0,1,,1,0,0,0,0,,0,0,0,7,0,11,0,0,,1,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0
35,-154.95,0,KH-45-0,06/09/69,1969,9,6,1600,0,0,0,0,0,1,,0,0,,0,,1,,0,,0,0,0,,,,,0,0,0,,0,192,0,,3,,,,1,2,,,,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,
35,-154.95,10,KH-45-10,06/09/69,1969,9,6,1800,1,0,0,0,0,31,,0,0,,4,,1,,5,,0,0,0,,,,,1,0,0,,0,87,0,,41,,,,8,5,,,,2,0,0,,0,0,0,0,,,0,5,1,1,0,1,,,1,1,1,0,3,0,
35,-154.95,20,KH-45-20,06/09/69,1969,9,6,1400,0,0,0,0,0,26,,0,0,,3,,0,,1,,1,0,0,,,,,0,0,0,,0,85,0,,40,,,,10,3,,,,2,1,0,,0,2,2,0,,,3,13,0,0,0,2,,,0,3,2,0,1,0,
35,-154.95,30,KH-45-30,06/09/69,1969,9,6,6300,0,0,0,1,0,44,,0,0,,2,,0,,0,,0,0,0,,,,,2,0,0,,0,13,0,,128,,,,1,4,,,,3,0,0,,0,0,0,0,,,0,1,0,0,0,1,,,0,0,0,0,0,0,
35,-154.95,50,KH-45-50,06/09/69,1969,9,6,15000,0,0,0,0,0,83,,2,0,,0,,0,,0,,0,1,0,,,,,1,0,0,,0,10,0,,84,,,,1,1,,,,2,1,1,,0,0,0,2,,,0,0,0,0,5,0,,,0,0,2,1,0,3,
35,-154.95,75,KH-45-75,06/09/69,1969,9,6,9300,0,0,0,1,0,141,,0,1,,0,,2,,0,,0,0,0,,,,,4,0,0,,0,10,0,,27,,,,1,1,,,,4,0,0,,0,0,1,0,,,0,1,0,1,0,1,,,0,3,0,0,1,0,
35,-154.95,100,KH-45-100,06/09/69,1969,9,6,9900,1,1,0,0,0,177,,0,0,,0,,0,,0,,0,1,0,,,,,0,0,0,,0,8,0,,0,,,,2,0,,,,2,1,1,,0,0,0,0,,,0,0,0,0,0,0,,,0,5,0,1,0,0,
35,-154.95,125,KH-45-125,06/09/69,1969,9,6,7500,0,125,1,0,7,56,,0,0,,0,,0,,0,,0,0,4,,,,,0,0,3,,1,0,0,,0,,,,0,0,,,,0,0,1,,2,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,
35,-154.95,150,KH-45-150,06/09/69,1969,9,6,4300,0,66,2,0,4,45,,0,0,,0,,0,,0,,0,0,3,,,,,0,63,11,,0,0,3,,0,,,,0,0,,,,0,0,1,,2,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,
35,-154.95,200,KH-45-200,06/09/69,1969,9,6,480,0,27,7,0,4,120,,0,2,,0,,1,,0,,0,0,5,,,,,0,4,6,,0,1,4,,0,,,,0,0,,,,0,0,5,,14,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,
40,-154.5,0,KH-40-0,01/09/69,1969,9,1,4400,,,,1,0,152,,0,1,,,,,,0,2,,,,,,,,0,,0,,,29,,,,,,0,3,,0,,,1,0,0,0,0,,0,,,,0,,4,,3,0,,,,,0,,4,,
40,-154.5,5,KH-40-5,01/09/69,1969,9,1,5300,,,,0,0,160,,0,1,,,,,,0,0,,,,,,,,0,,0,,,26,,,,,,0,1,,1,,,0,0,0,0,0,,0,,,,0,,0,,6,0,,,,,2,,3,,
40,-154.5,10,KH-40-10,01/09/69,1969,9,1,3900,,,,1,0,164,,0,2,,,,,,0,0,,,,,,,,0,,0,,,29,,,,,,0,1,,0,,,0,0,0,0,0,,0,,,,0,,0,,1,0,,,,,0,,2,,
40,-154.5,20,KH-40-20,01/09/69,1969,9,1,3600,,,,0,0,144,,0,3,,,,,,7,0,,,,,,,,0,,0,,,31,,,,,,0,1,,0,,,0,0,0,0,0,,0,,,,0,,0,,2,0,,,,,2,,10,,
40,-154.5,30,KH-40-30,01/09/69,1969,9,1,11000,,,,0,0,185,,0,2,,,,,,1,0,,,,,,,,1,,0,,,1,,,,,,0,4,,0,,,0,0,0,0,0,,0,,,,0,,1,,0,1,,,,,0,,4,,
40,-154.5,50,KH-40-50,01/09/69,1969,9,1,23000,,,,0,0,179,,0,1,,,,,,0,1,,,,,,,,3,,0,,,3,,,,,,7,1,,2,,,0,0,0,0,0,,0,,,,0,,3,,0,0,,,,,0,,0,,
40,-154.5,75,KH-40-75,01/09/69,1969,9,1,77000,,,,0,0,177,,4,0,,,,,,0,2,,,,,,,,0,,0,,,0,,,,,,1,2,,5,,,2,2,1,0,0,,2,,,,0,,0,,0,2,,,,,0,,0,,
40,-154.5,100,KH-40-100,01/09/69,1969,9,1,2900,,,,0,0,136,,7,0,,,,,,0,1,,,,,,,,0,,8,,,1,,,,,,0,2,,3,,,0,8,25,0,9,,0,,,,0,,0,,0,0,,,,,0,,0,,
40,-154.5,125,KH-40-125,01/09/69,1969,9,1,790,,,,0,0,171,,5,1,,,,,,0,0,,,,,,,,0,,0,,,1,,,,,,0,2,,1,,,2,5,12,0,0,,0,,,,0,,0,,0,0,,,,,0,,0,,
40,-154.5,150,KH-40-150,01/09/69,1969,9,1,610,,,,0,0,152,,2,2,,,,,,0,1,,,,,,,,0,,0,,,1,,,,,,0,3,,6,,,2,6,23,0,0,,0,,,,0,,0,,2,0,,,,,0,,0,,
40,-154.5,200,KH-40-200,01/09/69,1969,9,1,260,,,,1,1,173,,1,4,,,,,,0,0,,,,,,,,0,,0,,,0,,,,,,0,1,,7,,,0,3,4,2,0,,0,,,,1,,0,,0,2,,,,,0,,0,,
45,-154.95,0,KH-35-0,29/08/69,1969,8,29,66000,,,,,,192,,,,,,,,,1,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,5,,1,,,0,,,,,1,,,,,,,,,,,,,,
45,-154.95,10,KH-35-10,29/08/69,1969,8,29,43000,,,,,,182,,,,,,,,,9,,,,,,,,,,,,0,0,,,,,,,1,3,,,,,2,,0,,,3,,,,,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,,,,,,,,,,
