Sample,Latitude,Longitude,Depth,Date,Year,Month,Day,Total,Cocoliths sp.A,Cyclococcolithina fragilis,Cyclococcolithina leptoporus var.B,Emiliania huxleyi,Emiliania sp.A,Geophyrocapsa ericsonii,Geophyrocapsa oceanica,Geophyrocapsa oceanica(deformed),Helicopontosphaera kamptneri,Helicopontosphaera sp.A,Umbilicosphaera hulburtiana,Umbilicosphaera sibogae var.B,Acanthoica acanthifera,Acanthoica aculeata,Acanthoica quattrospina,Anoplosolenia brasiliensis,Anthosphaera quadricornu,Calciopappus caudatus,Ceratolithus cristatus,Cyclolithella annulus,Florispahera profunda var.B,Descolithina sp.A,Discosphaera tubifera,Michaelsarsia elegans,Ohiaster hydroideus,Palusphaera vandeli,Rhabdospaera clavigera,Thorosphaera flabellata,Umbellosphaera irregularis,Umbellosphaera tunuis,Umbellosphaera sp.A,Syracosphaera corolla,Syracosphaera histrica,Syracosphaera mediterranea,Syracosphaera molischi,Syracosphaera nana,Syracosphaera pirus,Syracosphaera pulchra,Syracosphaera pulchroides,Syracosphaera valiabilis,Syracosphaera sp.A,Syracosphaera sp.B,Syracosphaera sp.C,Syracosphaera sp.D,Syracosphaera sp.G,Syracosphaera sp.H,Syracosphaera spp.,Calyptrosphaera catillifera,Calyptrosphaera oblonga,Corishaera arethusae,Corisphaera strigilis,Homozygosphaera dalmatica,Homozygosphaera quadriperforata,Homozygosphaera thorifera,Homozygosphaera triarcha,Homozygosphaera wettsteini,Homozygosphaera sp.A,Homozygosphaera sp.B,Homozygosphaera sp.D,Homozygosphaera sp.E,Periphyrophora mirabilis,Zygosphaera divergens
169,21,160.43,0,05/11/68,1968,11,5,5900,,0,,0,0,,0,,0,,0,0,0,0,0,0,,,0,0,,,15,,0,,0,,173,,0,,,0,,,0,3,7,,,,,0,1,0,0,,0,,0,0,,0,0,,0,0,0,1,,
170,22,159.29,0,06/11/68,1968,11,6,4500,,1,0,1,1,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,17,0,0,0,2,,175,0,0,0,0,0,,,0,2,1,,,,,0,0,0,0,0,0,0,0,,0,0,,0,,,0,,0,
171,23,158.21,0,06/11/68,1968,11,6,2800,,0,0,0,5,0,0,0,0,1,2,0,1,,8,1,,0,0,0,0,0,11,0,0,0,11,,147,2,1,0,0,0,,,0,3,0,,,,,0,0,0,0,0,3,3,0,,0,0,,0,,,0,,1,
172,24,157,0,06/11/68,1968,11,6,1700,,0,0,2,8,0,1,0,0,0,3,0,0,,5,0,,0,0,0,0,0,11,0,0,0,7,,140,10,0,0,0,0,,,3,3,2,,,,,1,2,0,0,0,1,0,0,,0,0,,1,,,0,,0,
173,25,155.4,0,06/11/68,1968,11,6,1800,,0,0,0,20,0,0,0,1,0,8,0,2,,6,0,,0,0,0,0,0,3,0,0,0,12,,124,7,0,0,0,0,,,0,10,1,,,,,1,0,0,0,0,1,1,0,,0,1,,1,,,1,,0,
174,26,154.09,0,07/11/68,1968,11,7,1600,,0,0,1,5,0,0,0,0,0,1,0,1,,7,0,,0,1,1,0,0,6,0,0,0,7,,148,4,0,0,0,1,,,0,3,3,,,,,0,1,0,2,1,2,0,2,,0,0,,1,,,2,,0,
175,27,152.17,0,07/11/68,1968,11,7,1300,,2,0,14,30,0,0,0,1,2,2,0,0,,5,0,,0,6,1,0,0,11,0,0,0,17,,64,30,0,0,0,0,,,0,8,1,,,,,0,1,0,1,0,2,0,1,,0,0,,1,,,0,,0,
176,28,150.34,0,07/11/68,1968,11,7,2400,,0,0,7,26,0,0,0,2,1,2,0,0,,6,0,,0,3,4,0,0,6,0,0,0,32,,66,23,0,0,0,4,,,2,2,2,,,,,0,0,2,1,0,1,0,4,,1,1,,0,,,2,,0,
177,29,149.02,0,07/11/68,1968,11,7,2900,,0,0,120,4,9,2,0,0,0,6,0,3,,0,3,,0,2,0,0,1,10,3,0,0,4,,10,0,11,0,4,2,,,0,5,0,,,,,0,0,0,0,0,1,0,0,,0,0,,0,,,0,,0,
178,30,147.38,0,08/11/68,1968,11,8,4200,,1,0,124,6,9,1,1,0,0,6,1,1,,0,0,,0,0,1,3,0,6,1,0,0,7,,11,1,6,0,0,0,,,0,6,1,,,,,6,0,0,0,0,1,0,0,,0,0,,0,,,0,,0,
179,31,146.01,0,08/11/68,1968,11,8,4700,,0,1,41,8,9,0,0,0,0,9,0,0,,2,1,,2,1,2,0,0,4,1,2,15,8,,39,31,2,3,2,2,,,0,9,2,,,,,3,0,0,0,0,0,0,1,,0,0,,0,,,0,,0,
180,32,144.26,0,09/11/68,1968,11,9,7200,1,,,82,,28,2,0,0,,6,0,0,1,,4,1,14,,,1,,6,4,0,7,4,0,13,10,0,1,0,3,2,3,1,2,2,1,0,0,0,0,0,,1,,0,,,0,,,0,,,,0,,,0
181,33,142.4,0,09/11/68,1968,11,9,30000,0,,,132,,12,16,0,1,,3,3,0,0,,6,3,7,,,1,,0,2,0,1,0,0,1,1,0,2,1,0,0,2,0,2,0,2,0,0,1,0,1,,0,,0,,,0,,,0,,,,0,,,0
182,34,141,0,09/11/68,1968,11,9,13000,0,,,77,,10,27,0,0,,2,4,7,2,,8,8,2,,,0,,0,6,2,0,0,0,0,2,0,0,0,3,0,1,1,0,0,3,2,8,0,3,1,,0,,0,,,0,,,0,,,,1,,,0
183,34,140.05,0,09/11/68,1968,11,9,12000,0,,,72,,13,24,2,0,,2,5,3,0,,6,8,23,,,0,,0,5,6,2,2,1,4,0,2,0,0,1,0,0,2,0,0,1,2,8,0,0,0,,0,,1,,,1,,,1,,,,2,,,1
