Latitude,Longitude,Date,Depth,Reference,Acanthoica quattrospina,Algirosphaera robusta,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calciopappus caudatus,Calciopappus rigidus,Calciosolenia brasiliensis,Calciosolenia murrayi,Caneosphaera molischii,Ceratolithus cristatus,Coccolithus pelagicus,Coronosphaera mediterranea,Cyrtosphaera aculeata,Discosphaera tubifera,Emiliana huxleyi,Emiliania huxleyi,Florisphaera profunda,Gephyrocapsa oceanica,Gephyrocapsa ornata,Gladiolithus flabellatus,Helicosphaera carterii,Helicosphaera hyalina,Michaelsarsia elegans,Ophiaster hydroideus,Phaeocystis pouchetii,Pontosphaera syracusana,Rhabdosphaera clavigera,Scyphosphaera apsteinii,Syracosphaera anthos type,Syracosphaera borealis,Syracosphaera prolongata,Syracosphaera prolongata type,Syracosphaera pulchra,Syracosphaera rotula type,Umbilicosphaera hulburtiana,Umbilicosphaera sibogae
48.9313,-9.1461,25-09-1995,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0
48.9313,-9.1461,25-09-1995,50,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0
47.9217,-14.8529,26-09-1995,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0
47.9217,-14.8529,26-09-1995,40,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,2.88,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0
47.0132,-19.9849,27-09-1995,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,1.51,0,0,0.24,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0
47.0132,-19.9849,27-09-1995,50,Sal2013,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0.04,0,0.04,0,0,0,0.08,0,0,0,0,0,0,0,0,0
42.2547,-20.0313,28-09-1995,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42,0,0,0,0,0,0,0.08,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0
42.2547,-20.0313,28-09-1995,60,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.2,0.02,0,0,0,0,0,0,0,0
37.9107,-19.9905,29-09-1995,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0.04,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0
37.9107,-19.9905,29-09-1995,90,Sal2013,0,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.5972,-20.8778,30-09-1995,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.08,0,0,0.1,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0
33.5972,-20.8778,30-09-1995,110,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
27.3734,-21.8312,02-10-1995,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0
27.3734,-21.8312,02-10-1995,80,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0
23.2831,-21.1634,03-10-1995,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.2831,-21.1634,03-10-1995,80,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0
19.4997,-20.3942,04-10-1995,7,Sal2013,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0,0.02,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0
19.4997,-20.3942,04-10-1995,30,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0
13.0422,-20.4362,05-10-1995,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0
13.0422,-20.4362,05-10-1995,70,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.2381,-22.2151,06-10-1995,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
