"SampleID","Cruise","Date","Original_SampleNo","Original_StationNo","Depth","Lat","Lon","Daylength","Chl","QFChl","Temperature","QFTemp","SurfacePAR","QFPAR","Kd490","QFKd490","PARz","Nitrate","QFNO3","Nitrite","QFNO2","Ammonium","QFNH4","Phosphate","QFPO4","Silicate","QFSil","MLD","QFMLD"
"AMT1_1","AMT1","25-09-1995",9216,1,7,48.9313,-9.1461,12.0517447927605,0.65,0,16.6515,0,27.4137828069747,0,0.0567900016903877,13,18.4214527766195,0.08,0,0.02,0,NA,NA,0.0413432835820896,0,0.76,0,207.912181884351,2
"AMT1_2","AMT1","25-09-1995",9219,1,50,48.9313,-9.1461,12.0517447927605,0.56,0,16.576,0,27.4137828069747,0,0.0567900016903877,13,1.60246941616443,2.12979591836735,0,0.174285714285714,0,NA,NA,0.096734693877551,0,1.28545454545455,0,207.912181884351,2
"AMT1_3","AMT1","26-09-1995",9229,2,7,47.9217,-14.8529,11.9941363068971,0.43,0,17.433,0,13.5407446652265,0,0.0613100007176399,13,8.81569149802574,0.09,0,0.01,0,NA,NA,0.212030456852792,0,0.861739130434783,0,234.690964702749,2
"AMT1_4","AMT1","26-09-1995",9231,2,40,47.9217,-14.8529,11.9941363068971,0.86,0,15.377,0,13.5407446652265,0,0.0613100007176399,13,1.16567839949281,0.09,0,0.01,0,NA,NA,0.422727272727273,0,0.6685,0,234.690964702749,2
"AMT1_5","AMT1","27-09-1995",9243,3,7,47.0132,-19.9849,11.9402165041062,0.18,0,18.034,0,13.5691914918811,0,0.0519100017845631,13,9.43505378158982,0.08,0,0.02,0,NA,NA,0.01,0,0.7925,0,249.934626188397,2
"AMT1_6","AMT1","27-09-1995",9245,3,50,47.0132,-19.9849,11.9402165041062,0.88,0,16.572,0,13.5691914918811,0,0.0519100017845631,13,1.0123777806968,3.7746875,0,0.429375,0,NA,NA,0.250625,0,2.239375,0,249.934626188397,2
"AMT1_7","AMT1","28-09-1995",9262,4,7,42.2547,-20.0313,11.9145712697399,0.12,0,19.4435,0,25.6063099001478,0,0.0368500016629696,13,19.7843019007784,0,0,0.02,0,NA,NA,0.05,0,0.91,0,152.708341095065,2
"AMT1_8","AMT1","28-09-1995",9265,4,60,42.2547,-20.0313,11.9145712697399,0.44,0,16.187,0,25.6063099001478,0,0.0368500016629696,13,2.80622089737997,1.1482,0,0.0802,0,NA,NA,0.1788,0,0.852105263157895,0,152.708341095065,2
"AMT1_9","AMT1","29-09-1995",9275,5,7,37.9107,-19.9905,11.8987514673136,0.09,0,21.7365,0,33.276109313346,0,0.0285999998450279,13,27.2387257772094,0.09,0,0.01,0,NA,NA,0.1,0,0.69125,0,113.917473278857,2
"AMT1_10","AMT1","29-09-1995",9278,5,90,37.9107,-19.9905,11.8987514673136,0.21,0,15.618,0,33.276109313346,0,0.0285999998450279,13,2.53663833786147,0.479898989898991,0,0.112424242424242,0,NA,NA,0.112828282828283,0,0.977070707070707,0,113.917473278857,2
"AMT1_11","AMT1","30-09-1995",9292,6,7,33.5972,-20.8778,11.8926291232222,0.12,0,23.329,0,38.7926721045049,0,0.0258499998599291,13,32.3715958333571,0.09,0,0.01,0,NA,NA,0.08,0,0.69125,0,111.831503449344,2
"AMT1_12","AMT1","30-09-1995",9293,6,110,33.5972,-20.8778,11.8926291232222,0.23,0,16.371,0,38.7926721045049,0,0.0258499998599291,13,2.25856889614531,0.500734177215191,0,0.0109113924050633,0,NA,NA,0.0854683544303798,0,0.93620253164557,0,111.831503449344,2
"AMT1_13","AMT1","02-10-1995",9303,7,7,27.3734,-21.8312,11.8842277047615,0.06,0,16.371,0,38.2266158436486,0,0.0264100003987551,13,31.7744345041491,0.09,0,0.01,0,NA,NA,0.05,0,0.74,0,101.384892253023,2
"AMT1_14","AMT1","02-10-1995",9305,7,80,27.3734,-21.8312,11.8842277047615,0.34,0,16.371,0,38.2266158436486,0,0.0264100003987551,13,4.62155852337562,1.61682119205298,0,0.0772185430463576,0,NA,NA,0.136423841059603,0,1.08666666666667,0,101.384892253023,2
"AMT1_15","AMT1","03-10-1995",9310,8,7,23.2831,-21.1634,11.8989257954082,0.09,0,25.159,0,38.0353053476615,0,0.0369100011885166,13,29.3750245488035,0.09,0,0.01,0,NA,NA,0.14,0,0.713333333333333,0,90.4860745419541,2
"AMT1_16","AMT1","03-10-1995",9312,8,80,23.2831,-21.1634,11.8989257954082,0.34,0,21.5475,0,38.0353053476615,0,0.0369100011885166,13,1.98519018653559,0.113076923076923,0,0.0170588235294117,0,NA,NA,0.145158371040724,0,1.08666666666667,0,90.4860745419541,2
