species,CN,CL
Coccolithus braarudii,14,14.3
Coccolithus braarudii,14,15.18
Coccolithus braarudii,9,16.79
Coccolithus braarudii,11,16.87
Coccolithus braarudii,6,15.48
Coccolithus braarudii,12,14.7
Coccolithus braarudii,13,14.11
Coccolithus braarudii,10,12.99
Coccolithus braarudii,10,15.02
Coccolithus braarudii,17,15.67
Coccolithus braarudii,14,14.66
Coccolithus braarudii,12,13.12
Coccolithus braarudii,19,12.51
Coccolithus braarudii,17,11.96
Coccolithus braarudii,13,15.52
Coccolithus braarudii,10,11.22
Coccolithus braarudii,8,9.72
Coccolithus braarudii,10,12.36
Coccolithus braarudii,12,12.44
Coccolithus braarudii,10,10.71
Coccolithus braarudii,19,16.87
Coccolithus braarudii,12,12
Coccolithus braarudii,12,15.71
Coccolithus braarudii,10,15.16
Coccolithus braarudii,15,9.91
Coccolithus braarudii,16,17.32
Coccolithus braarudii,9,16.68
Coccolithus braarudii,10,11.92
Coccolithus braarudii,8,13.77
Coccolithus braarudii,18,11.5
Coccolithus braarudii,17,12.86
Coccolithus braarudii,10,12.16
Coccolithus braarudii,19,14.09
Coccolithus braarudii,18,14.7
Coccolithus braarudii,18,13.62
Coccolithus braarudii,11,12.76
Coccolithus braarudii,12,12.95
Coccolithus braarudii,16,13.31
Coccolithus braarudii,12,13.48
Coccolithus braarudii,11,13.54
Coccolithus braarudii,12,10.9
Coccolithus braarudii,12,10.63
Coccolithus braarudii,14,10.4
Coccolithus braarudii,11,14.72
Coccolithus braarudii,15,13.73
Coccolithus braarudii,11,16.18
Coccolithus braarudii,14,9.93
Coccolithus braarudii,13,13.52
Coccolithus braarudii,15,16.24
Coccolithus braarudii,11,15.44
Coccolithus braarudii,14,10.78
Coccolithus braarudii,18,15.63
Coccolithus braarudii,18,13.12
Coccolithus braarudii,18,16.09
Coccolithus braarudii,16,12.44
Coccolithus braarudii,12,15.27
Coccolithus braarudii,21,12
Coccolithus braarudii,10,16.2
Coccolithus braarudii,16,11.35
Coccolithus braarudii,15,11.6
Coccolithus braarudii,9,25.77
Coccolithus braarudii,9,14.83
Coccolithus braarudii,16,12.32
Coccolithus braarudii,8,15.88
Coccolithus braarudii,14,12.78
Coccolithus braarudii,11,11.47
Coccolithus braarudii,7,12.7
Coccolithus braarudii,17,12.19
Coccolithus braarudii,11,14.68
Coccolithus braarudii,12,12.59
Coccolithus braarudii,19,13.9
Coccolithus braarudii,11,12.59
Coccolithus braarudii,10,12.38
Coccolithus braarudii,11,14.45
Coccolithus braarudii,16,13.6
Coccolithus braarudii,13,12.34
Coccolithus braarudii,11,11.79
Coccolithus braarudii,10,14.72
Coccolithus braarudii,9,9.7
Coccolithus braarudii,14,12.8
Coccolithus braarudii,10,15.27
Coccolithus braarudii,10,13.54
Coccolithus braarudii,7,17.32
Coccolithus braarudii,14,12.3
Coccolithus braarudii,9,12.63
Coccolithus braarudii,15,13.69
Coccolithus braarudii,13,12.82
Coccolithus braarudii,12,12
Coccolithus braarudii,9,14.21
Coccolithus braarudii,12,13.75
Coccolithus braarudii,12,15.33
Coccolithus braarudii,16,13.12
Coccolithus braarudii,17,14.32
Coccolithus braarudii,13,12.91
Coccolithus braarudii,12,14.13
Coccolithus braarudii,11,15.37
Coccolithus braarudii,10,12.46
Coccolithus braarudii,16,14.11
Coccolithus braarudii,14,10.9
Coccolithus braarudii,11,11.3
Coccolithus braarudii,13,12.78
Coccolithus braarudii,16,10.63
Coccolithus braarudii,11,14.07
Coccolithus braarudii,10,12.65
Coccolithus braarudii,11,12.99
Coccolithus braarudii,15,11.05
Coccolithus braarudii,14,12.72
Coccolithus braarudii,11,15.86
Coccolithus braarudii,13,12.67
Coccolithus braarudii,15,15.46
Coccolithus braarudii,11,10.88
Coccolithus braarudii,16,10.5
Coccolithus braarudii,17,12.76
Coccolithus braarudii,12,12.97
Coccolithus braarudii,19,13.41
Coccolithus braarudii,11,11.87
Coccolithus braarudii,12,11.58
Coccolithus braarudii,11,14.32
Coccolithus braarudii,11,11.22
Coccolithus braarudii,11,12.46
Coccolithus braarudii,11,14.49
Coccolithus braarudii,15,12.95
Coccolithus braarudii,14,12.55
Coccolithus braarudii,15,15.94
Coccolithus braarudii,13,12.55
Coccolithus braarudii,10,13.46
Coccolithus braarudii,9,12.78
Coccolithus braarudii,12,8.9
Coccolithus braarudii,11,14.02
Coccolithus braarudii,18,11.03
Coccolithus braarudii,16,13.37
Coccolithus braarudii,12,11.7
Coccolithus braarudii,14,12.78
