species,CN,CL
Helicosphaera carteri,16,8.63
Helicosphaera carteri,15,9.02
Helicosphaera carteri,11,9.27
Helicosphaera carteri,16,8.99
Helicosphaera carteri,15,9.64
Helicosphaera carteri,17,9.46
Helicosphaera carteri,16,9.52
Helicosphaera carteri,12,9.49
Helicosphaera carteri,17,8.42
Helicosphaera carteri,12,8.76
Helicosphaera carteri,18,10.01
Helicosphaera carteri,18,9.79
Helicosphaera carteri,16,9.00
Helicosphaera carteri,19,8.32
Helicosphaera carteri,15,9.27
Helicosphaera carteri,20,7.84
Helicosphaera carteri,14,8.05
Helicosphaera carteri,14,9.73
Helicosphaera carteri,12,8.93
Helicosphaera carteri,19,10.20
Helicosphaera carteri,13,8.33
Helicosphaera carteri,21,8.73
Helicosphaera carteri,18,8.65
Helicosphaera carteri,16,8.91
Helicosphaera carteri,18,9.49
Helicosphaera carteri,14,9.37
Helicosphaera carteri,15,10.07
Helicosphaera carteri,15,8.97
Helicosphaera carteri,21,9.82
Helicosphaera carteri,12,9.63
Helicosphaera carteri,15,8.85
Helicosphaera carteri,15,9.90
Helicosphaera carteri,18,7.84
Helicosphaera carteri,20,9.22
Helicosphaera carteri,14,9.73
Helicosphaera carteri,19,9.67
Helicosphaera carteri,15,8.48
Helicosphaera carteri,14,9.47
Helicosphaera carteri,19,9.18
Helicosphaera carteri,12,8.63
Helicosphaera carteri,24,9.59
Helicosphaera carteri,17,9.18
Helicosphaera carteri,13,7.39
Helicosphaera carteri,16,7.80
Helicosphaera carteri,13,8.26
Helicosphaera carteri,15,10.01
Helicosphaera carteri,17,9.53
Helicosphaera carteri,15,8.91
Helicosphaera carteri,22,9.49
Helicosphaera carteri,17,9.30
Helicosphaera carteri,12,9.46
Helicosphaera carteri,13,8.67
Helicosphaera carteri,14,8.69
Helicosphaera carteri,16,8.26
Helicosphaera carteri,13,9.56
Helicosphaera carteri,15,8.99
Helicosphaera carteri,16,8.60
Helicosphaera carteri,18,8.93
Helicosphaera carteri,12,8.95
Helicosphaera carteri,17,9.26
Helicosphaera carteri,13,7.87
Helicosphaera carteri,14,9.25
