species,CN,CL,CD
Calcidiscus leptoporus,21,6.10,13.01
Calcidiscus leptoporus,18,5.28,12.78
Calcidiscus leptoporus,20,7.75,12.94
Calcidiscus leptoporus,16,6.66,10.58
Calcidiscus leptoporus,19,7.45,14.36
Calcidiscus leptoporus,19,6.29,12.54
Calcidiscus leptoporus,17,6.65,12.94
Calcidiscus leptoporus,14,7.09,11.06
Calcidiscus leptoporus,19,6.25,12.72
Calcidiscus leptoporus,12,5.79,10.19
Calcidiscus leptoporus,20,7.88,12.53
Calcidiscus leptoporus,17,6.33,11.77
Calcidiscus leptoporus,15,5.94,10.67
Calcidiscus leptoporus,23,7.02,14.95
Calcidiscus leptoporus,17,5.72,11.21
Calcidiscus leptoporus,23,5.89,13.87
Calcidiscus leptoporus,19,5.89,11.48
Calcidiscus leptoporus,17,6.57,11.67
Calcidiscus leptoporus,16,6.26,12.25
Calcidiscus leptoporus,15,6.21,12.22
Calcidiscus leptoporus,18,6.60,11.19
Calcidiscus leptoporus,19,6.98,13.11
Calcidiscus leptoporus,14,7.03,11.63
Calcidiscus leptoporus,13,7.40,11.12
Calcidiscus leptoporus,20,6.95,13.12
Calcidiscus leptoporus,15,6.32,12.06
Calcidiscus leptoporus,23,6.75,13.14
Calcidiscus leptoporus,15,6.87,13.18
Calcidiscus leptoporus,16,6.15,12.34
Calcidiscus leptoporus,19,6.09,12.99
Calcidiscus leptoporus,21,7.33,12.53
Calcidiscus leptoporus,23,6.21,13.89
Calcidiscus leptoporus,20,6.49,12.50
Calcidiscus leptoporus,23,7.56,16.41
Calcidiscus leptoporus,22,6.27,14.03
Calcidiscus leptoporus,18,6.48,12.43
Calcidiscus leptoporus,28,6.91,15.15
Calcidiscus leptoporus,19,7.68,13.28
Calcidiscus leptoporus,22,6.13,13.70
Calcidiscus leptoporus,21,6.92,13.39
Calcidiscus leptoporus,22,6.27,14.58
Calcidiscus leptoporus,17,7.51,12.44
Calcidiscus leptoporus,20,6.97,13.23
Calcidiscus leptoporus,16,7.08,10.50
Calcidiscus leptoporus,19,6.44,12.49
Calcidiscus leptoporus,18,6.88,13.70
Calcidiscus leptoporus,23,6.60,15.10
Calcidiscus leptoporus,18,6.45,13.77
Calcidiscus leptoporus,17,6.84,13.56
Calcidiscus leptoporus,19,7.39,13.53
Calcidiscus leptoporus,21,6.42,13.67
Calcidiscus leptoporus,18,6.86,12.48
Calcidiscus leptoporus,25,6.78,14.65
Calcidiscus leptoporus,14,6.89,12.06
Calcidiscus leptoporus,26,6.64,14.19
Calcidiscus leptoporus,18,6.45,14.34
Calcidiscus leptoporus,20,6.99,12.89
Calcidiscus leptoporus,18,6.33,12.53
Calcidiscus leptoporus,20,6.54,13.28
Calcidiscus leptoporus,25,6.54,15.34
Calcidiscus leptoporus,17,6.36,11.87
Calcidiscus leptoporus,18,6.73,11.49
Calcidiscus leptoporus,16,6.99,11.75
Calcidiscus leptoporus,18,6.18,13.50
Calcidiscus leptoporus,23,5.89,14.67
Calcidiscus leptoporus,20,7.16,13.53
Calcidiscus leptoporus,23,6.03,13.96
Calcidiscus leptoporus,20,6.08,13.72
Calcidiscus leptoporus,25,6.38,13.91
Calcidiscus leptoporus,21,6.80,14.07
Calcidiscus leptoporus,19,6.75,12.83
Calcidiscus leptoporus,26,6.45,13.99
Calcidiscus leptoporus,15,6.88,10.82
Calcidiscus leptoporus,24,6.57,13.16
Calcidiscus leptoporus,20,7.42,12.75
Calcidiscus leptoporus,20,6.91,13.28
Calcidiscus leptoporus,21,6.76,13.83
Calcidiscus leptoporus,21,6.70,13.79
Calcidiscus leptoporus,20,7.36,14.25
Calcidiscus leptoporus,18,6.79,13.79
Calcidiscus leptoporus,24,6.70,14.84
Calcidiscus leptoporus,18,6.18,13.30
Calcidiscus leptoporus,20,6.53,12.93
Calcidiscus leptoporus,18,6.69,13.38
