species,CN,CL
Calcidiscus quadriperforatus,14,9.34
Calcidiscus quadriperforatus,14,9.15
Calcidiscus quadriperforatus,10,8.06
Calcidiscus quadriperforatus,14,8.39
Calcidiscus quadriperforatus,15,9.08
Calcidiscus quadriperforatus,20,8.37
Calcidiscus quadriperforatus,12,7.59
Calcidiscus quadriperforatus,14,8.52
Calcidiscus quadriperforatus,14,7.85
Calcidiscus quadriperforatus,16,8.19
Calcidiscus quadriperforatus,19,9.25
Calcidiscus quadriperforatus,18,9.85
Calcidiscus quadriperforatus,19,8.90
Calcidiscus quadriperforatus,16,8.59
Calcidiscus quadriperforatus,19,10.31
Calcidiscus quadriperforatus,17,8.94
Calcidiscus quadriperforatus,21,9.69
Calcidiscus quadriperforatus,18,8.65
Calcidiscus quadriperforatus,19,8.24
Calcidiscus quadriperforatus,13,10.27
Calcidiscus quadriperforatus,14,8.41
Calcidiscus quadriperforatus,17,7.92
Calcidiscus quadriperforatus,13,9.96
Calcidiscus quadriperforatus,13,8.80
Calcidiscus quadriperforatus,14,8.77
Calcidiscus quadriperforatus,14,9.84
Calcidiscus quadriperforatus,13,7.91
Calcidiscus quadriperforatus,13,10.10
Calcidiscus quadriperforatus,12,9.55
Calcidiscus quadriperforatus,18,9.93
Calcidiscus quadriperforatus,16,7.67
Calcidiscus quadriperforatus,17,8.65
Calcidiscus quadriperforatus,18,9.21
Calcidiscus quadriperforatus,21,10.93
Calcidiscus quadriperforatus,21,8.85
Calcidiscus quadriperforatus,20,9.55
Calcidiscus quadriperforatus,21,9.48
Calcidiscus quadriperforatus,17,10.40
Calcidiscus quadriperforatus,18,9.03
Calcidiscus quadriperforatus,15,8.44
Calcidiscus quadriperforatus,17,10.45
Calcidiscus quadriperforatus,17,9.47
Calcidiscus quadriperforatus,16,8.82
Calcidiscus quadriperforatus,15,8.39
Calcidiscus quadriperforatus,19,8.68
Calcidiscus quadriperforatus,19,8.38
Calcidiscus quadriperforatus,23,9.22
Calcidiscus quadriperforatus,22,8.40
Calcidiscus quadriperforatus,22,9.71
Calcidiscus quadriperforatus,24,9.13
Calcidiscus quadriperforatus,19,9.31
Calcidiscus quadriperforatus,18,9.31
Calcidiscus quadriperforatus,16,8.19
Calcidiscus quadriperforatus,20,8.59
Calcidiscus quadriperforatus,22,8.95
Calcidiscus quadriperforatus,17,9.51
Calcidiscus quadriperforatus,17,9.86
Calcidiscus quadriperforatus,20,9.79
Calcidiscus quadriperforatus,18,10.39
Calcidiscus quadriperforatus,13,8.95
Calcidiscus quadriperforatus,19,9.50
Calcidiscus quadriperforatus,18,8.45
Calcidiscus quadriperforatus,14,9.02
Calcidiscus quadriperforatus,20,8.61
Calcidiscus quadriperforatus,20,9.09
Calcidiscus quadriperforatus,27,9.06
Calcidiscus quadriperforatus,22,8.74
Calcidiscus quadriperforatus,13,9.71
Calcidiscus quadriperforatus,16,9.90
Calcidiscus quadriperforatus,14,8.41
Calcidiscus quadriperforatus,20,9.72
Calcidiscus quadriperforatus,21,9.97
Calcidiscus quadriperforatus,24,9.24
Calcidiscus quadriperforatus,18,7.94
Calcidiscus quadriperforatus,22,9.26
Calcidiscus quadriperforatus,23,8.81
Calcidiscus quadriperforatus,21,9.62
Calcidiscus quadriperforatus,20,10.00
Calcidiscus quadriperforatus,21,8.25
Calcidiscus quadriperforatus,16,9.65
Calcidiscus quadriperforatus,17,8.39
Calcidiscus quadriperforatus,18,9.87
Calcidiscus quadriperforatus,19,9.60
Calcidiscus quadriperforatus,22,8.71
Calcidiscus quadriperforatus,15,9.98
Calcidiscus quadriperforatus,13,9.76
Calcidiscus quadriperforatus,16,10.67
Calcidiscus quadriperforatus,17,9.72
Calcidiscus quadriperforatus,21,10.79
Calcidiscus quadriperforatus,19,9.73
Calcidiscus quadriperforatus,15,8.47
Calcidiscus quadriperforatus,13,9.93
Calcidiscus quadriperforatus,16,10.19
Calcidiscus quadriperforatus,17,9.13
Calcidiscus quadriperforatus,19,10.53
Calcidiscus quadriperforatus,23,10.26
Calcidiscus quadriperforatus,22,10.60
Calcidiscus quadriperforatus,18,8.95
Calcidiscus quadriperforatus,14,8.80
Calcidiscus quadriperforatus,15,9.16
Calcidiscus quadriperforatus,15,8.95
Calcidiscus quadriperforatus,19,9.46
Calcidiscus quadriperforatus,19,9.82
Calcidiscus quadriperforatus,13,8.02
Calcidiscus quadriperforatus,13,10.44
Calcidiscus quadriperforatus,20,10.71
Calcidiscus quadriperforatus,18,9.50
Calcidiscus quadriperforatus,21,9.91
Calcidiscus quadriperforatus,20,9.88
Calcidiscus quadriperforatus,16,8.59
Calcidiscus quadriperforatus,19,9.31
Calcidiscus quadriperforatus,22,8.69
Calcidiscus quadriperforatus,16,9.14
Calcidiscus quadriperforatus,19,8.86
Calcidiscus quadriperforatus,24,10.19
Calcidiscus quadriperforatus,16,10.30
Calcidiscus quadriperforatus,23,9.35
Calcidiscus quadriperforatus,21,9.13
Calcidiscus quadriperforatus,16,8.82
Calcidiscus quadriperforatus,15,10.09
Calcidiscus quadriperforatus,19,8.70
Calcidiscus quadriperforatus,19,8.97
Calcidiscus quadriperforatus,23,8.91
Calcidiscus quadriperforatus,14,8.86
Calcidiscus quadriperforatus,22,9.10
Calcidiscus quadriperforatus,13,9.90
Calcidiscus quadriperforatus,12,10.92
Calcidiscus quadriperforatus,18,8.90
Calcidiscus quadriperforatus,15,9.60
Calcidiscus quadriperforatus,20,8.32
Calcidiscus quadriperforatus,14,8.73
Calcidiscus quadriperforatus,21,10.05
Calcidiscus quadriperforatus,19,9.24
Calcidiscus quadriperforatus,23,9.33
Calcidiscus quadriperforatus,23,10.29
Calcidiscus quadriperforatus,23,9.22
Calcidiscus quadriperforatus,18,9.59
Calcidiscus quadriperforatus,16,9.85
Calcidiscus quadriperforatus,18,8.36
Calcidiscus quadriperforatus,16,8.65
Calcidiscus quadriperforatus,15,9.75
