Coccosphere condition,Genus,Species,pg pic
Intact,Helicosphaera,wallichii,347.17
Intact,Helicosphaera,wallichii,117.08
Intact,Helicosphaera,wallichii,169.84
Intact,Helicosphaera,wallichii,154.31
Intact,Helicosphera,wallichi,221.78
"Intact, partial",Ceratolithus ,vidalii HET,0
Intact,Unknown,unknown,1.73
Intact,Unknown,unknown,0.63
Intact,Corisphaera,tyrrhensis HOL,0
Intact,Corisphaera,tyrrheniensis HOL,3.42
Intact,Corisphaera,tyrrheniensis HOL,2.94
Intact,Corisphaera,tyrrheniensis,1.19
Intact,Corisphaera,tyrrheniensis,1.87
Intact,Discosphaera ,tubifera,24.31
Intact,Discosphaera,tubifera,3.11
Intact,Discosphaera,tubifera,17.21
Intact,Discosphaera,tubifera,12.22
Intact,Discosphaera,tubifera,71.07
Intact,Discosphaera,tubifera,3.69
Intact,Discosphaera,tubifera,9.78
Intact,Discosphaera,tubifera,23.52
Intact,Discosphaera,tubifera,10.84
Intact,Discosphaera,tubifera,16.15
Intact,Discosphaera,tubifera,1.01
Intact,Discosphaera,tubifera,46.72
Intact,Discosphaera,tubifera,8.37
Intact,Discosphaera,tubifera,13.34
"Part of intact coccosphere, other half in image 0237",Discosphaera,tubifera,8.41
Intact,Discosphaera,tubifera,61.96
Intact,Discosphaera,tubifera,26.85
Intact,Discosphaera,tubifera,49.35
Intact,Discosphaera,tubifera,39.01
Partially collapsed,Discosphaera,tubifera,16.12
Intact,Umbellosphaera,tenuis,2.86
Intact,Umbellosphaera,tenuis,6.32
Intact,Umbellosphaera,tenuis,4
Intact,Umbellosphaera,tenuis,2.28
Intact,Umbellosphaera,tenuis,6.05
Intact,Umbellosphaera,tenuis,6.01
Intact,Umbellosphaera,tenuis,9.68
Intact,Umbellosphaera,tenuis,11.19
Intact,Umbellosphaera,tenuis,11.87
Intact,Umbellosphaera,tenuis,5.88
Intact,Umbellosphaera,tenuis,3.49
Intact,Umbellosphaera,tenuis,10.52
Intact,Umbellosphaera,tenuis,6.41
Intact,Umbellosphaera,tenuis,10.96
Intact,Umbellosphaera,tenuis,6.69
Intact,Umbellosphaera,tenuis,8.02
Intact,Umbellosphaera,tenuis,5.99
Intact,Umbellosphaera,tenuis,11.06
Intact,Umbellosphaera,tenuis,4.69
Intact,Umbellosphaera,tenuis,11.57
Intact,Umbellosphaera,tenuis,8.09
Intact,Umbellosphaera,tenuis,9.72
Intact,Umbellosphaera,tenuis,4.23
Intact,Umbellosphaera,tenuis,10
Intact,Umbellosphaera,tenuis,7.11
Intact,Umbellosphaera,tenuis,4.55
Intact,Umbellosphaera,tenuis,4.29
Intact,Umbellosphaera,tenuis,7.09
Intact,Umbellosphaera,tenuis,9.8
Intact,Umbellosphaera,tenuis,15.53
Intact,Umbellosphaera,tenuis,9.05
"Intact, partial, other part in 0067",Umbellosphaera,tenuis,6.21
Intact,Umbellosphaera,tenuis,6.14
Intact,Umbellosphaera,tenuis,14.48
Intact,Umbellosphaera,tenuis,7.41
Intact,Umbellosphaera,tenuis,6.86
Intact,Umbellosphaera,tenuis,11.09
Intact,Umbellosphaera,tenuis,2.49
Intact,Umbellosphaera,tenuis,10.85
Intact,Umbellosphaera,tenuis,4.44
Intact,Umbellosphaera,tenuis,8.3
Intact,Umbellosphaera,tenuis,8.67
Intact,Umbellosphaera,tenuis,9.81
Intact,Umbellosphaera,tenuis,11.93
Intact,Umbellosphaera,tenuis,6.3
Intact,Umbellosphaera,tenuis,10.21
Intact,Umbellosphaera,tenuis,9.61
Intact,Umbellosphaera,tenuis,6.77
Intact,Umbellosphaera,tenuis,4.96
Intact,Umbellosphaera,tenuis,12.63
Intact,Umbellosphaera,tenuis,11.07
Intact,Umbellosphaera,tenuis,2.92
Intact,Umbellosphaera,tenuis,2.4
Intact,Umbellosphaera,tenuis,3.16
Intact,Umbellosphaera,tenuis,1.92
Intact,Umbellosphaera,tenuis,1.84
Intact,Umbellosphaera,tenuis,6.3
Intact,Umbellosphaera,tenuis,2.32
Intact,Umbellosphaera,tenuis,4.61
Intact,Umbellosphaera,tenuis,2.15
Intact,Umbellosphaera,tenuis,0.88
Intact,Umbellosphaera,tenuis,3.48
Intact,Umbellosphaera,tenuis,2.89
Intact,Umbellosphaera,tenuis,3.59
Intact,Umbellosphaera,tenuis,4.35
Intact,Umbellosphaera,tenuis,1.23
Intact,Umbellosphaera,tenuis,2.34
Intact,Umbellosphaera,tenuis,3.11
Intact,Umbellosphaera,tenuis,5.56
Intact,Umbellosphaera,tenuis,3.01
Intact,Umbellosphaera,tenuis,5.06
Intact,Umbellosphaera,tenuis,7.74
Intact,Umbellosphaera,tenuis,7.19
Intact,Umbellosphaera,tenuis,11.26
Intact,Umbellosphaera,tenuis,7.5
Intact,Umbellosphaera,tenuis,7.13
Intact,Umbellosphaera,tenuis,8.27
Intact,Umbellosphaera,tenuis,8.93
Intact,Umbellosphaera,tenuis,15.21
Intact,Umbellosphaera,tenuis,8.13
Intact,Umbellosphaera,tenuis,8.52
Intact,Umbellosphaera,tenuis,10.13
Intact,Umbellosphaera,tenuis,12.84
Intact,Umbellosphaera,tenuis,6.31
Intact,Umbellosphaera,tenuis,10.86
"Intact, partial",Umbellosphaera,tenuis,21.87
Intact,Umbellosphaera,tenuis,5.63
Intact,Umbellosphaera,tenuis,6.35
Intact,Rhabdosphaera,stylifera,18.64
Intact,Rhabdosphaera,stylifera,26.2
Intact,Rhabdosphaera,stylifera,16.15
Intact,Rhabdosphaera,stylifera,12.38
Intact,Rhabdosphaera,stylifera,13
Intact,Rhabdosphaera,stylifera,56.11
Intact,Syracosphaera,strigilis HOL,2.1
Intact,Homozygosphaera,spinosa,0.61
Intact,Homozygisphaera,spinosa,5.95
Intact,Alisphaera,sp. POL,0.15
Intact,Alisphaera,sp.,1.55
Intact,Alisphaera,sp.,2.24
Intact,Syracosphaera,sp.,1.53
Intact,Alisphaera,sp.,2.02
Intact,Syracosphaera,sp.,3.9
Intact,Syracosphaera,sp.,8.88
Intact,Syracosphaera,sp.,2.6
Intact,Acanthoica,sp.,6.44
Intact,Syracosphaera,sp.,1.59
Intact,Syracosphaera,sp.,0.37
Intact,Syracosphaera,sp.,0.5
Intact,Syracosphaera,sp.,0.36
Intact,Ophiaster,sp.,4.37
Intact,Ophiaster,sp.,4.63
Intact,Ophiaster,sp.,4.23
Intact,Syracosphaera,sp.,0.81
Intact,Syracosphaera,sp.,8.5
Intact,Syracosphaera,sp.,3.78
Intact,Syracosphaera,sp.,4.6
Intact,Syracosphaera,sp.,1.25
Intact,Syracosphaera,sp.,0.22
"Intact, partial, other part in 0284",Acanthoica,sp.,3.95
Intact,Syracosphaera,sp.,0.31
Intact,Syracosphaera,sp.,0.64
Intact,Gephyrocapsa,sp.,5.4
Intact,Syracosphaera,sp.,0.22
Intact,Corisphaera,sp.,2.5
Intact,Syracosphaera,sp.,0.15
Intact,Calciosolenia,sp.,2.24
Intact,Acanthoica,sp.,2.61
Intact,Syracosphaera,sp.,1.31
Intact,Corisphaera,sp.,1.77
Intact,Corisphaera,sp.,3.97
Intact,Unknown,sp.,0.27
Intact,Syracosphaera,sp.,0.61
Intact,Syracosphaera,sp.,0.65
Intact,Polycrater,sp.,1.45
Intact,Syracosphaera,sp.,0.84
Intact,Polycrater,sp.,1.99
Intact,Ophiaster,sp.,4.22
Intact,Ophiaster,sp.,4.22
Intact,Syracosphaera,sp.,0.62
Intact,Syracosphaera,sp.,4.68
Intact,Syracosphaera,sp.,26.7
Intact,Syracosphaera,sp.,0.99
Intact,Syracosphaera,sp.,5.76
Intact,Syracosphaera,sp.,0.83
Partially collapsed,Syracosphaera,sp.,1.55
Intact,Syracosphaera,sp.,0.38
Intact,Syracosphaera,sp.,4.31
Intact,Syracosphaera,sp.,0.33
Flattened,Ophiaster,sp.,5.77
Intact,Syracosphaera,sp.,1.32
Intact,Syracosphaera,sp.,0.88
Partially collapsed,Florisphaera,sp.,71.89
Intact,Florisphaera,sp.,6.59
Intact,Florisphaera,sp.,9.9
Intact,Florisphaera,sp.,12.45
Intact,Florisphaera,sp.,5.8
"Intact, partial",Florisphaera,sp.,4.95
Intact,Florisphaera,sp.,10.32
"Intact, partial",Florisphaera,sp.,15.04
Flattened,Florisphaera,sp.,6.73
"Intact, partial",Florisphaera,sp.,14.96
Intact,Florisphaera,sp.,11.16
"Intact, partial",Florisphaera,sp.,18.73
"Intact, partial",Florisphaera,sp.,12.84
Intact,Florisphaera,sp.,16.04
"Intact, partial",Florisphaera,sp.,6.73
Flattened,Florisphaera,sp.,4.11
Intact,Florisphaera,sp.,6.59
Intact,Florisphaera,sp.,10.46
Intact,Florisphaera,sp.,5.16
Flattened,Florisphaera,sp.,2.16
"Intact, partial",Florisphaera,sp.,13.04
Intact,Florisphaera,sp.,9.57
Intact,Florisphaera,sp.,47.03
Flattened,Florisphaera,sp.,7.08
Flattened,Florisphaera,sp.,4.65
Flattened,Florisphaera,sp.,12.63
Flattened,Florisphaera,sp.,13.04
Flattened,Florisphaera,sp.,8.6
Intact,Florisphaera,sp.,6.03
Flattened,Florisphaera,sp.,7.7
Intact,Umbilicosphaera,sibogae,97.35
Intact,Umbilicosphaera,sibogae,249.45
"Intact, partial, other in 690",Umbilicosphaera,sibogae,252.44
Intact,Algirosphaera ,robusta,15.75
Intact,Algirosphaera ,robusta,17.81
Partially collapsed,Algirosphaera,robusta,10.76
Partially flattened,Algirosphaera,robusta,24.6
Flattened,Algirosphaera,robusta,19.05
Intact,Syracosphaera,reniformis,0.59
Intact,Syracosphaera,reniformis,1.41
Flattened,Syracosphaera,reniformis,1.53
Flattened,Syracosphaera,reniformis,3.04
Intact,Acanthoica,quattrospina,2.15
Intact,Acanthoica,quattrospina,6.87
Intact,Acanthoica,quattrospina,5.68
Intact,Acanthoica,quattrospina,8.34
Intact,Acanthoica,quattrospina,3.16
Intact,Acanthoica,quattrospina,2.98
Flattened,Acanthoica,quattrospina,4.51
Intact,Tetralithoides,quadrilaminata,52.89
Partially collapsed,Tetralithoides,quadrilaminata,31.79
Partially collapsed,Tetralithoides,quadrilaminata,39.3
Partially collapsed,Tetralithoides,quadrilaminata,61.02
Partially collapsed,Tetralithoides,quadrilaminata,33.85
Intact,Syracosphaera,pulchra oblongata,12.07
Intact,Syracosphaera,pulchra HOL pirus type,27.44
Intact,Syracosphaera,pulchra HOL,15.66
Intact,Syracosphaera,pulchra,69.09
Intact,Syracosphaera,pulchra,23.15
Intact,Syracosphaera,pulchra,68.21
Partially collapsed,Syracosphaera,pulchra,118.66
Intact,Syracosphaera,pulchra,113.77
Intact,Syracosphaera,pulchra,27.59
"Intact, partial",Syracosphaera,pulchra,69.69
Intact,Syracosphaera,prolongata,0.79
Intact,Syracosphaera,prolongata,10.02
"Partial image, other part in",Syracosphaera,prolongata,3.11
"Partial image, other part in 339",Syracosphaera,prolongata,3.29
Intact,Syracosphaera,prolongata,3.27
Flattened,Syracosphaera,prolongata,4.96
Partially flattened,Syracosphaera,prolongata,2.31
Intact,Florisphaera,profunda,34.36
Intact,Florisphaera,profunda,40.56
"Partial image, other part in 164",Alisphaera,POL type,0.68
Intact,Helicosphaera,pavimentum,104.67
"Intact, partial, other in 444",Helicosphaera,pavimentum,124.95
Intact,Gephyrocapsa,parvula,2.11
Intact,Gephyrocapsa,parvula,0.92
Intact,Gephyrocapsa,parvula,2.07
Intact,Gephyrocapsa,parvula,0.76
Intact,Gephyrocapsa,parvula,0.77
Intact,Gephyrocapsa,parvula,1.2
Intact,Gephyrocapsa,parvula,1.28
Intact,Gephyrocapsa,parvula,0.68
Intact,Gephyrocapsa,parvula,1.38
Intact,Gephyrocapsa,parvula,1.63
Intact,Gephyrocapsa,parvula,0.78
Intact,Gephyrocapsa,parvula,1.12
Intact,Gephyrocapsa,parvula,1.32
Intact,Gephyrocapsa,parvula,0.76
Intact,Gephyrocapsa,parvula,0.59
Intact,Gephyrocapsa,parvula,1.09
Intact,Gephyrocapsa,parvula,1.12
Intact,Gephyrocapsa,parvula,0.83
Intact,Gephyrocapsa,parvula,1.6
Intact,Gephyrocapsa,parvula,1.66
Intact,Gephyrocapsa,parvula,0.96
Intact,Gephyrocapsa,parvula,0.99
Intact,Gephyrocapsa,parvula,0.34
Intact,Helicosphaera,parimentum,30.57
Intact,Syracosphaera,ossa type,5.19
Intact,Syracosphaera,ossa type,6.4
Intact,Syracosphaera,ossa,2.83
Intact,Syracosphaera,ossa,4.32
Intact,Syracosphaera,ossa,2.64
