Coccosphere condition,Genus,Species,pg pic
Intact,Emiliania,huxleyi,1.36
Intact,Emiliania,huxleyi,2.24
Intact,Emiliania,huxleyi,2.48
Intact,Helicosphaera,parimentum,30.57
Intact,Emiliania,huxleyi,1.73
Intact,Emiliania,huxleyi,1.71
Intact,Alisphaera,sp.,1.55
Intact,Emiliania,huxleyi,2.35
Intact,Emiliania,huxleyi,0.84
Intact,Emiliania,huxleyi,1.07
Intact,Emiliania,huxleyi,1.79
Intact,Emiliania,huxleyi,1.14
Intact,Emiliania,huxleyi,1.04
Intact,Emiliania,huxleyi,0.78
Intact,Syracosphaera,nodosa,4.97
Intact,Emiliania,huxleyi,2.88
Intact,Emiliania,huxleyi,2.16
Intact,Emiliania,huxleyi,1.19
Intact,Emiliania,huxleyi,1.85
Intact,Emiliania,huxleyi,3.73
Intact,Emiliania,huxleyi,1.92
Intact,Emiliania,huxleyi,1.81
Intact,Emiliania,huxleyi,1.79
Intact,Emiliania,huxleyi,5.9
Intact,Emiliania,huxleyi,3.04
Intact,Emiliania,huxleyi,1.24
Intact,Emiliania,huxleyi,0.87
Intact,Emiliania,huxleyi,1.12
Intact,Emiliania,huxleyi,0.98
Intact,Emiliania,huxleyi,0.6
Intact,Emiliania,huxleyi,1.73
Intact,Emiliania,huxleyi,3.12
Intact,Emiliania,huxleyi,1.32
Intact,Emiliania,huxleyi,1.3
Intact,Emiliania,huxleyi,2.02
Intact,Emiliania,huxleyi,1.14
Intact,Emiliania,huxleyi,1.03
Intact,Emiliania,huxleyi,5.8
Intact,Alisphaera,sp.,2.24
Intact,Discosphaera ,tubifera,24.31
Intact,Algirosphaera ,robusta,15.75
Intact,Emiliania,huxleyi,2.51
Intact,Emiliania,huxleyi,1.71
Intact,Emiliania,huxleyi,0.77
Intact,Emiliania,huxleyi,3.63
Intact,Gephyrocapsa,ericsonii,6.87
Intact,Emiliania,huxleyi,1.14
Intact,Emiliania,huxleyi,1.83
Intact,Emiliania,huxleyi,0.93
Intact,Emiliania,huxleyi,0.53
Intact,Emiliania,huxleyi,2.77
Intact,Emiliania,huxleyi,0.96
Intact,Florisphaera,profunda,34.36
Intact,Emiliania,huxleyi,1.21
Intact,Emiliania,huxleyi,1.76
Intact,Emiliania,huxleyi,1.01
Intact,Emiliania,huxleyi,1.43
Intact,Gephyrocapsa,ericsonii,0.87
Intact,Emiliania,huxleyi,1.21
Intact,Emiliania,huxleyi,3.89
Intact,Emiliania,huxleyi,1.67
Intact,Syracosphaera,bannockii,1.19
Intact,Syracosphaera,molischii,1.01
Intact,Emiliania,huxleyi,1.34
Intact,Emiliania,huxleyi,1.75
Intact,Emiliania,huxleyi,7.06
Intact,Emiliania,huxleyi,1.43
Intact,Emiliania,huxleyi,2.03
Intact,Emiliania,huxleyi,1.65
Intact,Emiliania,huxleyi,1.53
Intact,Emiliania,huxleyi,2.1
Intact,Emiliania,huxleyi,2.64
Intact,Emiliania,huxleyi,1.58
Intact,Emiliania,huxleyi,2.35
Intact,Emiliania,huxleyi,1.72
Intact,Emiliania,huxleyi,0.72
Intact,Syracosphaera,nodosa,8.55
Intact,Emiliania,huxleyi,0.76
Intact,Syracosphaera,sp.,1.53
Intact,Emiliania,huxleyi,1.14
Intact,Emiliania,huxleyi,0.93
Intact,Gephyrocapsa,ericsonii,0.68
Intact,Emiliania,huxleyi,0.65
Intact,Emiliania,huxleyi,1.65
Intact,Alisphaera,sp.,2.02
Intact,Emiliania,huxleyi,0.75
Intact,Emiliania,huxleyi,1.38
Intact,Emiliania,huxleyi,0.77
Intact,Emiliania,huxleyi,2.3
Intact,Emiliania,huxleyi,2.76
Intact,Emiliania,huxleyi,1.65
Intact,Emiliania,huxleyi,4.78
Intact,Emiliania,huxleyi,4.37
Intact,Emiliania,huxleyi,0.96
Intact,Emiliania,huxleyi,0.65
Intact,Emiliania,huxleyi,5.95
Intact,Emiliania,huxleyi,6.63
Intact,Emiliania,huxleyi,0.93
Intact,Emiliania,huxleyi,0.7
Intact,Emiliania,huxleyi,1.65
Intact,Emiliania,huxleyi,6.36
Intact,Emiliania,huxleyi,1.47
Intact,Emiliania,huxleyi,4.98
Intact,Emiliania,huxleyi,1.82
Intact,Emiliania,huxleyi,1.75
Intact,Emiliania,huxleyi,1.21
Intact,Emiliania,huxleyi,3.71
Intact,Emiliania,huxleyi,6.67
Intact,Emiliania,huxleyi,1.84
Intact,Emiliania,huxleyi,1.57
Intact,Emiliania,huxleyi,1.08
Intact,Syracosphaera,bannockii,1.99
Intact,Emiliania,huxleyi,1.32
Intact,Emiliania,huxleyi,6.03
Intact,Emiliania,huxleyi,0.95
Intact,Emiliania,huxleyi,1.61
Intact,Emiliania,huxleyi,1.67
Intact,Emiliania,huxleyi,1.06
Intact,Emiliania,huxleyi,2.21
Intact,Emiliania,huxleyi,1.09
Intact,Emiliania,huxleyi,2.92
Intact,Emiliania,huxleyi,1.09
Intact,Syracosphaera,sp.,3.9
Intact,Emiliania,huxleyi,1.5
Intact,Emiliania,huxleyi,1.1
Intact,Emiliania,huxleyi,1.51
Intact,Emiliania,huxleyi,0.7
Intact,Emiliania,huxleyi,2.36
Intact,Emiliania,huxleyi,1.89
Intact,Emiliania,huxleyi,1.16
Intact,Emiliania,huxleyi,0.8
Intact,Syracosphaera,molischii,1.99
Intact,Emiliania,huxleyi,0.5
Intact,Emiliania,huxleyi,1.86
Intact,Emiliania,huxleyi,1.69
Intact,Emiliania,huxleyi,1.17
Intact,Algirosphaera ,robusta,17.81
Intact,Emiliania,huxleyi,3.64
Intact,Emiliania,huxleyi,1.52
Intact,Syracosphaera,ossa,2.83
Intact,Emiliania,huxleyi,2.15
Intact,Emiliania,huxleyi,1.05
Intact,Emiliania,huxleyi,1.26
Intact,Emiliania,huxleyi,0.87
Intact,Emiliania,huxleyi,0.4
Intact,Syracosphaera,sp.,8.88
Intact,Emiliania,huxleyi,1.12
Intact,Emiliania,huxleyi,1.67
Intact,Emiliania,huxleyi,1.08
Intact,Emiliania,huxleyi,1.28
Intact,Emiliania,huxleyi,0.85
Intact,Syracosphaera,pulchra oblongata,12.07
Intact,Emiliania,huxleyi,0.89
Intact,Emiliania,huxleyi,1.7
Intact,Emiliania,huxleyi,0.74
Intact,Syracosphaera,sp.,2.6
Intact,Emiliania,huxleyi,1.73
Intact,Emiliania,huxleyi,1.82
