species,mean,sd,method,reference
oceanica,13.2307692308,0,lab measurement,sett2014
oceanica,10.5365853659,0,lab measurement,sett2014
oceanica,9.3114754098,0,lab measurement,sett2014
oceanica,12.4545454545,0,lab measurement,sett2014
oceanica,15.3548387097,0,lab measurement,sett2014
oceanica,14.1228070175,0,lab measurement,sett2014
oceanica,15.4090909091,0,lab measurement,sett2014
oceanica,15.3636363636,0,lab measurement,sett2014
oceanica,21.4,0,lab measurement,sett2014
oceanica,15.2285714286,0,lab measurement,sett2014
oceanica,14.4358974359,0,lab measurement,sett2014
oceanica,22.6153846154,0,lab measurement,sett2014
oceanica,19.2413793103,0,lab measurement,sett2014
oceanica,11.4074074074,0,lab measurement,sett2014
oceanica,14.8536585366,0,lab measurement,sett2014
oceanica,14.34,,lab measurement,sett2014
oceanica,11.4811320755,,lab measurement,sett2014
oceanica,12.1333333333,,lab measurement,sett2014
oceanica,18.9545454545,,lab measurement,sett2014
oceanica,17.3924050633,,lab measurement,sett2014
oceanica,15.4310344828,,lab measurement,sett2014
oceanica,16,,lab measurement,sett2014
oceanica,16.2045454545,,lab measurement,sett2014
oceanica,21.1944444444,,lab measurement,sett2014
oceanica,7.3333333333,,lab measurement,sett2014
oceanica,8.6170212766,,lab measurement,sett2014
oceanica,12.6725663717,,lab measurement,sett2014
oceanica,11.9763779528,,lab measurement,sett2014
oceanica,12.1016949153,,lab measurement,sett2014
oceanica,10.5294117647,,lab measurement,sett2014
oceanica,10.6068376068,,lab measurement,sett2014
oceanica,10.5913043478,,lab measurement,sett2014
oceanica,14.6767676768,,lab measurement,sett2014
oceanica,13.2352941176,,lab measurement,sett2014
oceanica,17.9672131148,,lab measurement,sett2014
oceanica,15.1304347826,,lab measurement,sett2014
huxleyi,8.380952381,,lab measurement,sett2014
huxleyi,10.4615384615,,lab measurement,sett2014
huxleyi,15.275862069,,lab measurement,sett2014
huxleyi,14.1475409836,,lab measurement,sett2014
huxleyi,11.734375,,lab measurement,sett2014
huxleyi,12,,lab measurement,sett2014
huxleyi,13.9032258065,,lab measurement,sett2014
huxleyi,11.6507936508,,lab measurement,sett2014
huxleyi,11.0333333333,,lab measurement,sett2014
huxleyi,11.4310344828,,lab measurement,sett2014
huxleyi,11.8909090909,,lab measurement,sett2014
huxleyi,13.6470588235,,lab measurement,sett2014
huxleyi,12.8604651163,,lab measurement,sett2014
huxleyi,13.4857142857,,lab measurement,sett2014
huxleyi,13.4666666667,,lab measurement,sett2014
huxleyi,16.4347826087,,lab measurement,sett2014
huxleyi,12.9705882353,,lab measurement,sett2014
huxleyi,6.768115942,,lab measurement,sett2014
huxleyi,7.9387755102,,lab measurement,sett2014
huxleyi,9,,lab measurement,sett2014
huxleyi,11.954954955,,lab measurement,sett2014
huxleyi,11.3873873874,,lab measurement,sett2014
huxleyi,10.8165137615,,lab measurement,sett2014
huxleyi,12.0630630631,,lab measurement,sett2014
huxleyi,13.4112149533,,lab measurement,sett2014
huxleyi,11.3925233645,,lab measurement,sett2014
huxleyi,9.1401869159,,lab measurement,sett2014
huxleyi,11.1047619048,,lab measurement,sett2014
huxleyi,9.495049505,,lab measurement,sett2014
huxleyi,12.4787234043,,lab measurement,sett2014
huxleyi,12.6235294118,,lab measurement,sett2014
huxleyi,12.7820512821,,lab measurement,sett2014
huxleyi,10.2089552239,,lab measurement,sett2014
huxleyi,9.0166666667,,lab measurement,sett2014
huxleyi,9.1960784314,,lab measurement,sett2014
huxleyi,2.4931506849,,lab measurement,sett2014
huxleyi,5.2048192771,,lab measurement,sett2014
huxleyi,4.864,,lab measurement,sett2014
huxleyi,4.4444444444,,lab measurement,sett2014
huxleyi,7.1349206349,,lab measurement,sett2014
huxleyi,6.5736434109,,lab measurement,sett2014
huxleyi,6.4525547445,,lab measurement,sett2014
huxleyi,7.618705036,,lab measurement,sett2014
huxleyi,7.5362318841,,lab measurement,sett2014
huxleyi,7.6956521739,,lab measurement,sett2014
huxleyi,6.7876712329,,lab measurement,sett2014
huxleyi,6.45,,lab measurement,sett2014
huxleyi,6.9270072993,,lab measurement,sett2014
huxleyi,7.0075757576,,lab measurement,sett2014
huxleyi,8.3781512605,,lab measurement,sett2014
huxleyi,6.5688073394,,lab measurement,sett2014
huxleyi,7.5625,,lab measurement,sett2014
huxleyi,7.1111111111,,lab measurement,sett2014
