Genus,Species,Volume,PIC pg C,PIC pmol C,Phase
Acanthoica,sp.,255.22,6.44,0.54,HET
Acanthoica,quattrospina,146.77,2.15,0.18,HET
Acanthoica,quattrospina,141.69,6.87,0.57,HET
Acanthoica,acanthifera,168.4,1.91,0.16,HET
Acanthoica,quattrospina,169.23,5.68,0.47,HET
Acanthoica,quattrospina,306.54,8.34,0.69,HET
Acanthoica,sp.,224.06,3.95,0.33,HET
Acanthoica,sp.,103.86,2.61,0.22,HET
Acanthoica,quattrospina,147.37,3.16,0.26,HET
Acanthoica,quattrospina,118.57,2.98,0.25,HET
Acanthoica,quattrospina,283.98,4.51,0.38,HET
Algirosphaera,robusta,1393.48,10.76,0.9,HET
Algirosphaera,robusta,1388.96,24.6,2.05,HET
Algirosphaera,robusta,981.9,19.05,1.59,HET
Algirosphaera ,robusta,547.19,15.75,1.31,HET
Algirosphaera ,robusta,616,17.81,1.48,HET
Alisphaera,sp.,209.52,1.55,0.13,HET
Alisphaera,sp.,156.21,2.24,0.19,HET
Alisphaera,sp.,318.39,2.02,0.17,HET
Alisphaera,POL type,858.76,0.68,0.06,HET
Alisphaera,capulata,80.16,2.14,0.18,HET
Alisphaera,sp. POL,206.49,0.15,0.01,HET
Calcidiscus,leptoporus,2307.1,430.68,35.89,HET
Calcidiscus,leptoporus,1384.59,212.1,17.68,HET
Calcidiscus,leptoporus,1384.12,148.23,12.35,HET
Calcidiscus,leptoporus,2692.28,440.6,36.72,HET
Calcidiscus,leptoporus,1648.75,205.48,17.12,HET
Calcidiscus,leptoporus,2091.23,284.5,23.71,HET
Calcidiscus,leptoporus,2806.64,371.86,30.99,HET
Calcidiscus,leptoporus,1172.5,184.6,15.38,HET
Calcidiscus,leptoporus,1152.23,181.11,15.09,HET
Calcidiscus,leptoporus,1502.83,296.49,24.71,HET
Calcidiscus,leptoporus,1920.34,251.26,20.94,HET
Calcidiscus,leptoporus,1646.65,165.36,13.78,HET
Calcidiscus,leptoporus,1935.51,269.35,22.45,HET
Calcidiscus,leptoporus,1647.11,234.91,19.58,HET
Calcidiscus,leptoporus,1705.67,162.88,13.57,HET
Calcidiscus,leptoporus,1499.17,336.25,28.02,HET
Calcidiscus,leptoporus,1209.9,237.38,19.78,HET
Calcidiscus,leptoporus,730.59,104.56,8.71,HET
Calciosolenia,sp.,12.13,2.24,0.19,HET
Calciosolenia,murrayi,102.69,4.54,0.38,HET
Calciosolenia,murrayi,109.58,3.26,0.27,HET
Calciosolenia,murrayi,98.2,3.3,0.27,HET
Calciosolenia,murrayi,165.62,3.72,0.31,HET
Calciosolenia,murrayi,73.86,3.44,0.29,HET
Calciosolenia,murrayi,124.79,3.52,0.29,HET
Calciosolenia,murrayi,69.37,0.67,0.06,HET
Calciosolenia,murrayi,136.4,3.25,0.27,HET
Calciosolenia,murrayi,180.36,4.67,0.39,HET
Calciosolenia,murrayi,133.61,3.51,0.29,HET
Calciosolenia,murrayi,136.26,2.75,0.23,HET
Calciosolenia,murrayi,117.37,3.56,0.3,HET
Calytrolithina,multipora,4282.61,56.64,4.72,HET
Calytrolithina,multipora,3788.89,49.7,4.14,HET
Ceratolithus ,vidalii HET,329.49,0,0,HET
Corisphaera,tyrrhensis HOL,83.26,0,0,HOL
Corisphaera,gracilia,118.17,1.46,0.12,HOL
Corisphaera,tyrrheniensis HOL,166.95,3.42,0.28,HOL
Corisphaera,tyrrheniensis HOL,140.6,2.94,0.24,HOL
Corisphaera,gracilis,129.61,1.68,0.14,HOL
Corisphaera,gracilis,118.71,1.62,0.14,HOL
Corisphaera,sp.,126.6,2.5,0.21,HOL
Corisphaera,tyrrheniensis,80.78,1.19,0.1,HOL
Corisphaera,tyrrheniensis,229.13,1.87,0.16,HOL
Corisphaera,sp.,95.58,1.77,0.15,HOL
Corisphaera,sp.,144.08,3.97,0.33,HOL
Discosphaera,tubifera,29.67,3.11,0.26,HET
Discosphaera,tubifera,132.97,17.21,1.43,HET
Discosphaera,tubifera,151.49,12.22,1.02,HET
Discosphaera,tubifera,143.13,71.07,5.92,HET
Discosphaera,tubifera,50.14,3.69,0.31,HET
Discosphaera,tubifera,62.38,9.78,0.82,HET
Discosphaera,tubifera,38.9,23.52,1.96,HET
Discosphaera,tubifera,47.73,10.84,0.9,HET
Discosphaera,tubifera,74.69,16.15,1.35,HET
Discosphaera,tubifera,87.35,1.01,0.08,HET
Discosphaera,tubifera,3048.62,46.72,3.89,HET
Discosphaera,tubifera,22.45,8.37,0.7,HET
Discosphaera,tubifera,304.48,13.34,1.11,HET
Discosphaera,tubifera,187.48,8.41,0.7,HET
Discosphaera,tubifera,172.01,61.96,5.16,HET
Discosphaera,tubifera,93.19,26.85,2.24,HET
Discosphaera,tubifera,147.54,49.35,4.11,HET
Discosphaera,tubifera,68.84,39.01,3.25,HET
Discosphaera,tubifera,272.45,16.12,1.34,HET
Discosphaera ,tubifera,129.25,24.31,2.03,HET
Emiliania,huxleyi,45.61,1.36,0.11,HET
Emiliania,huxleyi,56.08,2.24,0.19,HET
Emiliania,huxleyi,52.88,2.48,0.21,HET
Emiliania,huxleyi,125.15,1.73,0.14,HET
Emiliania,huxleyi,90.58,1.71,0.14,HET
Emiliania,huxleyi,172.83,2.35,0.2,HET
Emiliania,huxleyi,64.78,0.84,0.07,HET
Emiliania,huxleyi,88.74,1.07,0.09,HET
Emiliania,huxleyi,50.6,1.79,0.15,HET
Emiliania,huxleyi,55.59,1.14,0.1,HET
Emiliania,huxleyi,52.07,1.04,0.09,HET
Emiliania,huxleyi,58.71,0.78,0.06,HET
Emiliania,huxleyi,94.61,2.88,0.24,HET
Emiliania,huxleyi,46.3,2.16,0.18,HET
Emiliania,huxleyi,44.33,1.19,0.1,HET
Emiliania,huxleyi,93.04,1.85,0.15,HET
Emiliania,huxleyi,174.86,3.73,0.31,HET
Emiliania,huxleyi,107.48,1.92,0.16,HET
Emiliania,huxleyi,62.99,1.81,0.15,HET
Emiliania,huxleyi,46.39,1.79,0.15,HET
Emiliania,huxleyi,61.11,5.9,0.49,HET
Emiliania,huxleyi,85.13,3.04,0.25,HET
Emiliania,huxleyi,39.27,1.24,0.1,HET
Emiliania,huxleyi,50.97,0.87,0.07,HET
Emiliania,huxleyi,46.3,1.12,0.09,HET
Emiliania,huxleyi,40.88,0.98,0.08,HET
Emiliania,huxleyi,48.64,0.6,0.05,HET
Emiliania,huxleyi,63.66,1.73,0.14,HET
Emiliania,huxleyi,160.75,3.12,0.26,HET
Emiliania,huxleyi,47.65,1.32,0.11,HET
