species,mean,sd,shape,ref
Pappomonas sp. type 5,47.72927782168801,0,sphere,cros2002
Syracosphaera aurisinae,940.1335597907181,0,cone,lecal1951
Calyptrosphaera sphaeroidea HOL,192.44973800267286,0,sphere,cros2002
Syracosphaera reniformis,60.15100182752847,0,sphere,kleijne2009
Syracosphaera squamosa,28.93207285898151,0,sphere,kleijne2009
Wigwamma antarctica,65.44984694978736,,sphere,thomsen1988
Helladosphaera pienaarii,175.97547287533763,0,sphere,"norris1985, kleijne1991"
Ceratolithus cristatus,1156.717720072873,0,sphere,obrien2013 and young1998
Ophiaster hydroideus,44.68724997971524,0,sphere,cros2002
Zygosphaera marsilii,174.42365614335594,0,sphere,cros2002
Calciopappus caudatus,23.220507371055728,0,cone,gaarder1954
Syracosphaera borealis,82.25626959447357,0,sphere,okada1977
Sphaerocalyptra adenensis,70.24548687412613,0,sphere,cros2002
Calicasphaera blokii,33.510321638291124,0,sphere,cros2002
Calicasphaera concava,20.579526276115534,0,sphere,cros2002
Alisphaera gaudii POL,136.25521604181722,0,sphere,cros2002
Syracosphaera strigilis,91.58267886138286,0,sphere,cros2002
Ophiaster formosus,51.806462170955825,0,sphere,cros2002
Helicosphaera HOL confusus type,472.75313494647844,0,sphere,cros2002
