species,mean,std,shape,ref
Ophiaster formosus,51.9,25.3,sphere,cros2002
Pappomonas type 5,144.2,16.5,sphere,cros2002
Syracosphaera aurisinae,944.8312759028591,152.14196316775033,cone,lecal-schlauder1951
Calyptrosphaera sphaeroidea HOL,346.6,186.9,sphere,cros2002
Syracosphaera reniformis,59.8,18.8,sphere,klijne2009
Syracosphaera squamosa,11.7,2.5,sphere,klijne2009
Wigwamma antarctica,65.44984694978736,,sphere,thomsen1988
Helladosphaera pienaarii,189.4,99.7,sphere,norris1985
Ceratolithus cristatus,1165.9,809.4,sphere,obrien2013 and young1998
Ophiaster hydroideus,44.6,3.0,sphere,cros2002
Zygosphaera marsilii,174.6,37.6,sphere,borsetti1976 and cros2002
