species,min,max,mean
Acanthoica sp.,61,126,85
Acanthoica acanthifera,17,20,18
Acanthoica janchenii,17,70,33
Acanthoica ornata,192,261,224
Acanthoica quattrospina,20,153,65
Algirosphaera cucullata,58,151,97
Algirosphaera robusta,31,463,161
Alisphaera sp.,75,211,125
Alisphaera extenta,31,113,64
Alisphaera gaudii,151,195,172
Alisphaera ordinata,113,195,151
Alisphaera pinnigera,39,248,113
Alisphaera spatula,75,316,151
Alisphaera unicornis,44,195,102
Alveosphaera bimurata,33,137,65
Anacanthoica acanthos,44,69,57
Anacanthoica cidaris,124,522,248
Anthosphaera sp.,10,463,122
Anthosphaera fragaria,10,39,22
Braarudosphaera sp.,14,463,131
Braarudosphaera bigelowii,14,463,131
Calcidiscus sp.,64,1432,364
Calcidiscus leptoporus,14,2483,508
Calcidiscus quadriperforatus,113,382,221
Calcioconus sp.,85,147,113
Calcioconus vitreus,85,147,113
Calciopappus sp.,18,44,29
Calciopappus caudatus,18,33,25
Calciopappus rigidus,18,55,33
Calciosolenia sp.,31,817,240
Calciosolenia brasiliensis,30,362,135
Calciosolenia murrayi,32,1272,344
Calicasphaera blokii,31,52,40
Calicasphaera concava,39,151,82
Calicasphaera diconstricta,27,69,45
Calyptrolithina divergens,19,33,25
Calyptrolithina multipora,304,1288,682
Calyptrolithina wettsteinii,162,302,225
Calyptrolithophora gracillima,87,521,243
Calyptrolithophora papillifera,82,905,345
Calyptrosphaera sp.,254,484,350
Calyptrosphaera globosa,556,905,716
Calyptrosphaera incisa,57,238,113
Calyptrosphaera insignis,151,310,221
Caneosphaera sp.,10,660,161
Canistrolithus sp.,327,1515,776
Ceratolithus sp.,39,764,246
Ceratolithus cristatus,39,764,246
Coccolithus sp.,58,1204,382
Coccolithus pelagicus,58,1204,382
Coccolithus pelagicus holo,58,660,248
Corisphaera sp.,15,52,28
Corisphaera gracilis,16,65,31
Corisphaera strigilis,14,39,24
Coronosphaera sp.,222,509,345
Coronosphaera binodata,248,463,345
Coronosphaera mediterranea,195,556,345
Cribrosphaera sp.,32,136,65
Cribrosphaera ehrenbergii,32,136,65
Crystallolithus sp.,58,905,310
Cyrtosphaera aculeata,19,81,39
Cyrtosphaera lecaliae,41,173,82
Discosphaera sp.,10,310,113
Discosphaera tubifera,10,310,113
Emiliania huxleyi,5,382,90
Florisphaera profunda var. elongata,98,410,195
Florisphaera profunda var. profunda,7,195,58
Gephyrocapsa sp.,22,121,50
Gephyrocapsa ericsonii,3,14,7
Gephyrocapsa muellerae,39,58,48
Gephyrocapsa oceanica,14,382,113
Gephyrocapsa ornata,31,31,31
Gephyrocapsids,19,165,56
Gladiolithus flabellatus,58,195,113
Halopappus sp.,65,273,132
Halopappus quadribrachiatus,14,58,31
Halopappus vahseli,116,489,233
Heimiella excentrica,660,1563,1047
Helicosphaera sp.,150,672,340
Helicosphaera carteri,191,1267,585
Helicosphaera carteri (holo),113,421,234
Helicosphaera hyalina,164,806,404
Helicosphaera pavimentum,131,239,179
Helicosphaera wallichii,149,627,299
Helladosphaera sp.,9,42,21
Helladosphaera cornifera,9,42,21
Holococcolithophora sphaeroidea,24,195,82
Homozygosphaera sp.,41,315,131
Homozygosphaera arethusae,24,382,131
Homozygosphaera triarcha,58,248,131
Lohmannosphaera sp.,24,195,82
Lohmannosphaera adriatica,113,195,151
Lohmannosphaera paucoscyphos,29,122,58
Michaelsarsia sp.,77,573,247
Michaelsarsia adriaticus,72,763,299
Michaelsarsia elegans,82,382,195
Michaelsarsia splendens,98,410,195
Navilithus altivelum,14,58,31
Oolithotus sp.,60,1651,364
Oolithotus antillarum,113,248,172
Oolithotus fragilis,7,3054,556
Ophiaster sp.,5,131,39
Ophiaster hydroideus,5,58,22
Palusphaera vandelii,7,74,29
Pappomonas sp.,21,894,1331
Pappomonas flabellifera,5,21,11
Papposphaera sp.,9,48,23
Papposphaera borealis,7,58,24
Papposphaera lepida,10,39,22
Picarola margalefii,24,195,82
Pleurochrysis carterae,195,556,345
