AMT Sample,Image No.,Spheres Y/N?,,Family,Genus,Species,CN visible,CN x2,CL distal,CL proximal,CW,CD - short,Cd-long,Shape model (Sun and Lui),Volume,Eq. spherical D,Notes,ks suggested,ks min,ks max,,PIC pg CaCO3,PIC pg C,PIC pmol C,Cocco D,Volume,% vol. that is cell for this genus,Estimated cell volume,Estimated cell diameter,Estimated POC pg C MDL,Estimated POC pmol C MDL,PIC:POC MDL,Estimated POC pg C Villiot,Estimated POC pmol C Villiot,PIC:POC Villiot
AMT-14 CTD6 11m,15-9-05-001,Flattened,1,Syracosphaeraceae,Syracosphaera,dilatata,28,56,2.727,,,12.283,20.126,OV,1589.88,14.48,Coccosphere size measured from flattened coccosphere,0.02,0.016,0.025,,61.32,7.36,0.61,14.48,1589.88,76,1208.31,13.21,169.29,14.11,0.04,43.12,3.59,0.17
AMT-14 CTD6 11m,15-9-05-002,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,4,8,2.968,,,4.433,4.433,PS,45.61,4.43,,0.02,0.016,0.025,,11.29,1.36,0.11,4.43,45.61,53.00,24.18,3.59,4.30,0.36,0.32,2.79,0.23,0.49
AMT-14 CTD6 11m,15-9-05-002,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,4,8,3.511,,,4.749,4.749,PS,56.08,4.75,,0.02,0.016,0.025,,18.70,2.24,0.19,4.75,56.08,53.00,29.72,3.84,5.22,0.44,0.43,3.22,0.27,0.70
AMT-14 CTD6 11m,15-9-05-002,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,6,12,3.171,,,4.657,4.657,PS,52.88,4.66,,0.02,0.016,0.025,,20.66,2.48,0.21,4.66,52.88,53.00,28.03,3.77,4.94,0.41,0.50,3.09,0.26,0.80
AMT-14 CTD6 11m,15-9-05-004,Intact,1,Helicosphaeraceae,Helicosphaera,parimentum,9,18,4.715,,,9.68,9.896,PS,485.52,9.75,,0.015,,,,76.41,9.17,0.76,9.75,485.52,76,369.00,8.90,55.58,4.63,0.16,18.79,1.57,0.49
AMT-14 CTD6 11m,15-9-05-005,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,4,8,3.217,,,6.206,6.206,PS,125.15,6.21,,0.02,0.016,0.025,,14.38,1.73,0.14,6.21,125.15,53.00,66.33,5.02,11.09,0.92,0.16,5.65,0.47,0.31
AMT-14 CTD6 11m,15-9-05-005,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,5,10,2.978,,,5.572,5.572,PS,90.58,5.57,,0.02,0.016,0.025,,14.26,1.71,0.14,5.57,90.58,53.00,48.01,4.51,8.19,0.68,0.21,4.51,0.38,0.38
AMT-14 CTD6 11m,15-9-05-005,Intact,1,Alisphaeraceae,Alisphaera,sp.,36,72,1,,,7.369,7.369,PS,209.52,7.37,,0.04,,,,12.94,1.55,0.13,7.37,209.52,81,169.71,6.87,26.80,2.23,0.06,10.91,0.91,0.14
AMT-14 CTD6 11m,15-9-05-006,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,8,16,2.831,,,6.911,6.911,PS,172.83,6.91,,0.02,0.016,0.025,,19.60,2.35,0.20,6.91,172.83,53.00,91.60,5.59,15.02,1.25,0.16,7.09,0.59,0.33
AMT-14 CTD6 11m,15-9-05-006,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,6,12,2.214,,,4.983,4.983,PS,64.78,4.98,,0.02,0.016,0.025,,7.03,0.84,0.07,4.98,64.78,53.00,34.34,4.03,5.98,0.50,0.14,3.57,0.30,0.24
AMT-14 CTD6 11m,15-9-05-006,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,7,14,2.278,,,5.534,5.534,PS,88.74,5.53,,0.02,0.016,0.025,,8.94,1.07,0.09,5.53,88.74,53.00,47.03,4.48,8.03,0.67,0.13,4.44,0.37,0.24
AMT-14 CTD6 11m,15-9-05-007,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,6,12,2.847,,,4.589,4.589,PS,50.60,4.59,,0.02,0.016,0.025,,14.95,1.79,0.15,4.59,50.60,53.00,26.82,3.71,4.74,0.39,0.38,3.00,0.25,0.60
AMT-14 CTD6 11m,15-9-05-007,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,6,12,2.448,,,4.735,4.735,PS,55.59,4.74,,0.02,0.016,0.025,,9.51,1.14,0.10,4.74,55.59,53.00,29.46,3.83,5.18,0.43,0.22,3.20,0.27,0.36
AMT-14 CTD6 11m,15-9-05-008,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,6,12,2.371,,,4.633,4.633,PS,52.07,4.63,,0.02,0.016,0.025,,8.64,1.04,0.09,4.63,52.07,53.00,27.60,3.75,4.87,0.41,0.21,3.06,0.26,0.34
AMT-14 CTD6 11m,15-9-05-008,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,6,12,2.155,,,4.822,4.822,PS,58.71,4.82,,0.02,0.016,0.025,,6.49,0.78,0.06,4.82,58.71,53.00,31.11,3.90,5.45,0.45,0.14,3.33,0.28,0.23
AMT-14 CTD6 11m,15-9-05-009,Intact,1,Syracosphaeraceae,Syracosphaera,nodosa,15,30,2.76,,,7.546,7.546,PS,224.98,7.55,,0.02,0.016,0.025,,34.06,4.09,0.34,7.55,224.98,76,170.99,6.89,26.99,2.25,0.15,10.97,0.91,0.37
AMT-14 CTD6 11m,15-9-05-010,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,7,14,3.166,,,5.32,6.384,PS,94.61,5.65,,0.02,0.016,0.025,,23.99,2.88,0.24,5.65,94.61,53.00,50.14,4.58,8.53,0.71,0.34,4.65,0.39,0.62
AMT-14 CTD6 11m,15-9-05-011,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,5,10,3.217,,,4.455,4.455,PS,46.30,4.46,,0.02,0.016,0.025,,17.98,2.16,0.18,4.46,46.30,53.00,24.54,3.61,4.36,0.36,0.49,2.82,0.23,0.77
AMT-14 CTD6 11m,15-9-05-012,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,5,10,2.636,,,4.391,4.391,PS,44.33,4.39,,0.02,0.016,0.025,,9.89,1.19,0.10,4.39,44.33,53.00,23.49,3.55,4.19,0.35,0.28,2.73,0.23,0.43
AMT-14 CTD6 11m,15-9-05-013,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,6,12,3.092,,,4.346,4.346,PS,42.98,4.35,,0.02,0.016,0.025,,19.16,2.30,0.19,4.35,42.98,53.00,22.78,3.52,4.07,0.34,0.57,2.68,0.22,0.86
AMT-14 CTD6 11m,15-9-05-015,Intact,1,Syracosphaeraceae,Syracosphaera,molischi,18,36,,,,,,,,,Coccosphere size measured from flattened coccosphere,,,,,,,,,,,,,,,,,,
AMT-14 CTD6 11m,15-9-05-016,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,18,36,3.318,,,9.961,9.961,PS,517.50,9.96,Multi-layered =2 (account for in biomass),0.02,0.016,0.025,,71.01,8.52,0.71,9.96,517.50,53.00,274.27,8.06,42.06,3.51,0.20,15.27,1.27,0.56
AMT-14 CTD6 11m,15-9-05-018,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,6,12,2.875,,,5.622,5.622,PS,93.04,5.62,,0.02,0.016,0.025,,15.40,1.85,0.15,5.62,93.04,53.00,49.31,4.55,8.40,0.70,0.22,4.59,0.38,0.40
AMT-14 CTD6 11m,15-9-05-019,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,9,18,3.175,,,6.938,6.938,PS,174.86,6.94,,0.02,0.016,0.025,,31.11,3.73,0.31,6.94,174.86,53.00,92.68,5.61,15.19,1.27,0.25,7.15,0.60,0.52
AMT-14 CTD6 11m,15-9-05-020,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,9,18,2.545,,,5.899,5.899,PS,107.48,5.90,,0.02,0.016,0.025,,16.02,1.92,0.16,5.90,107.48,53.00,56.97,4.77,9.62,0.80,0.20,5.08,0.42,0.38
AMT-14 CTD6 11m,15-9-05-021,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,6,12,2.853,,,4.211,6.784,PS,62.99,4.94,,0.02,0.016,0.025,,15.05,1.81,0.15,4.94,62.99,53.00,33.38,3.99,5.82,0.49,0.31,3.50,0.29,0.52
AMT-14 CTD6 11m,15-9-05-022,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,5,10,3.022,,,4.458,4.458,PS,46.39,4.46,,0.02,0.016,0.025,,14.90,1.79,0.15,4.46,46.39,53.00,24.59,3.61,4.37,0.36,0.41,2.82,0.24,0.63
AMT-14 CTD6 11m,15-9-05-025,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,5,23,3.408,,,4.887,4.887,PS,61.11,4.89,+13 coccoliths around,0.02,0.016,0.025,,49.16,5.90,0.49,4.89,61.11,53.00,32.39,3.95,5.66,0.47,1.04,3.42,0.29,1.72
AMT-14 CTD6 11m,15-9-05-025,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,7,19,2.911,,,5.458,5.458,PS,85.13,5.46,+5 coccoliths around,0.02,0.016,0.025,,25.31,3.04,0.25,5.46,85.13,53.00,45.12,4.42,7.73,0.64,0.39,4.32,0.36,0.70
AMT-14 CTD6 11m,15-9-05-027,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,5,10,2.675,,,4.217,4.217,PS,39.27,4.22,,0.02,0.016,0.025,,10.34,1.24,0.10,4.22,39.27,53.00,20.81,3.41,3.74,0.31,0.33,2.51,0.21,0.49
AMT-14 CTD6 11m,15-9-05-027,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,6,12,2.236,,,4.6,4.6,PS,50.97,4.60,,0.02,0.016,0.025,,7.24,0.87,0.07,4.60,50.97,53.00,27.01,3.72,4.77,0.40,0.18,3.01,0.25,0.29
AMT-14 CTD6 11m,15-9-05-030,half sphere,1,Noelaerhabdaceae,Emiliania,huxleyi,8,16,2.508,,,5,5,PS,65.45,5.00,,0.02,0.016,0.025,,13.63,1.64,0.14,5.00,65.45,53.00,34.69,4.05,6.04,0.50,0.27,3.59,0.30,0.46
AMT-14 CTD6 11m,15-9-05-032,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,5,10,2.587,,,4.455,4.455,PS,46.30,4.46,,0.02,0.016,0.025,,9.35,1.12,0.09,4.46,46.30,53.00,24.54,3.61,4.36,0.36,0.26,2.82,0.23,0.40
AMT-14 CTD6 11m,15-9-05-032,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,4,8,2.661,,,4.274,4.274,PS,40.88,4.27,,0.02,0.016,0.025,,8.14,0.98,0.08,4.27,40.88,53.00,21.67,3.46,3.88,0.32,0.25,2.58,0.22,0.38
AMT-14 CTD6 11m,15-9-05-032,half sphere,1,Noelaerhabdaceae,Emiliania,huxleyi,12,24,3.181,,,8.372,8.372,PS,307.25,8.37,Multi-layered =2 (account for in biomass),0.02,0.016,0.025,,41.72,5.01,0.42,8.37,307.25,53.00,162.84,6.78,25.78,2.15,0.19,10.60,0.88,0.47
AMT-14 CTD6 11m,15-9-05-032,collapsed,1,Noelaerhabdaceae,Emiliania,huxleyi,5,10,3.14,,,,,PS,,,,0.02,0.016,0.025,,16.72,2.01,0.17,,,53.00,,,,,,,,
AMT-14 CTD6 11m,15-9-05-033,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,8,16,1.793,,,4.529,4.529,PS,48.64,4.53,,0.02,0.016,0.025,,4.98,0.60,0.05,4.53,48.64,53.00,25.78,3.67,4.57,0.38,0.13,2.92,0.24,0.20
AMT-14 CTD6 11m,15-9-05-034,collapsed,1,Noelaerhabdaceae,Emiliania,huxleyi,8,16,2.978,,,,,PS,,,,0.02,0.016,0.025,,22.82,2.74,0.23,,,53.00,,,,,,,,
AMT-14 CTD6 11m,15-9-05-036,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,4,8,3.217,,,4.954,4.954,PS,63.66,4.95,,0.02,0.016,0.025,,14.38,1.73,0.14,4.95,63.66,53.00,33.74,4.01,5.88,0.49,0.29,3.52,0.29,0.49
AMT-14 CTD6 11m,15-9-05-037,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,8,16,3.11,,,6.746,6.746,PS,160.75,6.75,,0.02,0.016,0.025,,25.99,3.12,0.26,6.75,160.75,53.00,85.19,5.46,14.03,1.17,0.22,6.74,0.56,0.46
AMT-14 CTD6 11m,15-9-05-037,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,3,11,2.643,,,4.498,4.498,PS,47.65,4.50,+5 coccoliths around,0.02,0.016,0.025,,10.97,1.32,0.11,4.50,47.65,53.00,25.25,3.64,4.48,0.37,0.29,2.88,0.24,0.46
AMT-14 CTD6 11m,15-9-05-039,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,6,12,2.56,,,4.41,4.41,PS,44.91,4.41,,0.02,0.016,0.025,,10.87,1.30,0.11,4.41,44.91,53.00,23.80,3.57,4.24,0.35,0.31,2.76,0.23,0.47
AMT-14 CTD6 11m,15-9-05-039,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,5,17,2.636,,,4.801,4.801,PS,57.94,4.80,+7 coccoliths around,0.02,0.016,0.025,,16.81,2.02,0.17,4.80,57.94,53.00,30.71,3.89,5.38,0.45,0.37,3.30,0.27,0.61
