species,cell volume
Acanthoica maxima,2572.44
Acanthoica quattrospina,95.44
Acanthoica quattrospina HOL,902.52
Acanthoica sp.,40.48
Algirosphaera cucullata,52.65
Algirosphaera robusta,77.51
Alisphaera capulata,185.82
Alisphaera extenta,189.79
Alisphaera gaudii,166.82
Alisphaera ordinata,162.47
Alisphaera pinnigera,485.30
Alisphaera quadrilatera,284.49
Alisphaera sp.,149.85
Alisphaera unicornis,595.80
Alveosphaera bimurata,322.69
Anacanthoica acanthos,180.37
Anthosphaera fragaria,82.45
Anthosphaera lafourcadii,18.82
Anthosphaera periperforata,77.51
Calcidiscus leptoporus,597.51
Calcidiscus leptoporus HOL,858.10
Calciopappus rigidus,65.45
Calciopappus sp.,817.28
Calciosolenia brasiliensis,461.80
Calciosolenia murrayi,66.64
Calicasphaera diconstricta,179.59
Calyptrolithina divergens,69.05
Calyptrolithina multipora,1653.06
Calyptrolithophora papillifera,1049.89
Calyptrosphaera dentata,1540.77
Calyptrosphaera heimdaliae,143.79
Calyptrosphaera sphaeroidea,96.46
Canistrolithus sp.1 HET,340.06
Ceratolithus spp,243.73
Coccolithus pelagicus,1467.76
Coccolithus pelagicus HOL,817.28
Corisphaera gracilis,154.68
Corisphaera strigilis,42.80
Corisphaera tyrrheniensis,127.83
Coronosphaera binodata,904.78
Coronosphaera maxima,16365.54
Coronosphaera mediterranea,1190.63
Coronosphaera mediterranea HOL hellenica,1223.52
Coronosphaera mediterranea HOL wettsteinii,832.17
Coronosphaera sp.,683.69
Cyrtosphaera aculeata,144.46
Cyrtosphaera lecaliae,103.75
Cyrtosphaera sp.,122.99
Discosphaera tubifera,107.54
Emiliania huxleyi,47.71
Florisphaera profunda,33.51
Gephyrocapsa ericsonii,10.08
Gephyrocapsa muellerae,40.76
Gephyrocapsa oceanica,57.91
Gephyrocapsa ornata,18.14
Gephyrocapsa sp.,28.06
Gladiolithus flabellatus,136.62
Gliscolithus amitakareniae,249.43
Hayaster perplexus,38792.39
Helicosphaera carteri,189.79
Helicosphaera carteri HOL,248.47
Helicosphaera hyalina,753.50
Helicosphaera pavimentum,755.50
Helicosphaera sp.,248.47
Helicosphaera wallichii,33.76
Helladosphaera cornifera,71.94
Helladosphaera pienaarii,1015.31
Helladosphaera vavilovii,51.63
Homozygosphaera arethusae,207.06
Homozygosphaera spinosa,31.06
Homozygosphaera triarcha,81.54
Homozygosphaera vercellii,91.95
Hymenomonas lacunae,1767.15
Michaelsarsia,422.52
Michaelsarsia adriaticus,893.52
Michaelsarsia elegans,179.59
Ochrosphaera neapolitana,450.34
Oolithotus antillarum,229.85
Oolithotus fragilis,1376.06
Ophiaster spp,65.45
Palusphaera sp.1,132.80
Palusphaera vandelii,7238.23
Pappomonas sp.,132.80
Pappomonas sp. Type 2,9.97
Pappomonas sp. Type 3,410.38
Papposhaera arctica,179.59
Papposphaera borealis,113.10
Papposphaera lepida,99.54
Papposphaera sp.,26.52
Papposphaera sp. Type 1,22.45
Papposphaera sp. Type 2,22.45
Papposphaera sp. Type 4,36.35
Picarola margalefii,36.88
Placorhombus ziveriae,375.38
Pleurochrysis carterae var. carterae,1499.21
Pleurochrysis roscoffensis,735.62
Polycrater galapagensis,1467.76
Polycrater sp.,1022.65
Polycrater sp. ladle like,575.49
Pontosphaera syracusana,2854.54
Poricalyptra aurisinae,150.53
Poricalyptra gaarderiae,239.04
Poricalyptra isselii,150.53
Poricalyptra magnaghii,82.45
Poritectolithus maximus,443.27
Poritectolithus poritectum,410.38
Reticulofenestra parvula,19.33
Rhabdosphaera clavigera,130.92
Rhabdosphaera xiphos,169.77
Scyphosphaera apsteinii,4510.87
Sphaerocalyptra quadridentata,4.19
Sphaerocalyptra sp.,17.97
Sphaerocalyptra sp.1,130.92
Syaracosphaera reniformis,28.73
Syracolithus ponticuliferus,381.70
Syracolithus schilleri,3882.42
Syracolithus sp. A,115.95
Syracosphaera ampliora,248.47
Syracosphaera anthos,485.30
Syracosphaera anthos HOL,425.25
Syracosphaera bannockii,457.48
Syracosphaera bannockii HOL,145.12
Syracosphaera borealis,217.38
Syracosphaera castellata,360.48
Syracosphaera corolla,432.12
Syracosphaera delicata,212.17
Syracosphaera didyma,394.57
Syracosphaera dilatata,199.53
Syracosphaera epigrosa,572.15
Syracosphaera exigua,394.57
Syracosphaera florida,884.57
Syracosphaera halldalii,796.33
Syracosphaera hastata,115.95
Syracosphaera histrica,1596.26
Syracosphaera lamina,250.39
Syracosphaera leptolepis,164.64
Syracosphaera marginaporata,124.19
Syracosphaera molischii,212.61
Syracosphaera nana,75.77
Syracosphaera nana HOL,179.59
Syracosphaera nodosa,97.48
Syracosphaera noroitica,796.33
Syracosphaera ossa,86.64
Syracosphaera prolongata,23.23
Syracosphaera protrudens,441.87
Syracosphaera pulchra,16.52
Syracosphaera pulchra HOL oblonga ,1767.15
Syracosphaera pulchra HOL pirus ,53.67
Syracosphaera rotula,63.51
Syracosphaera sp.,156.07
Syracosphaera tumularis,2026.27
Tetralithoides quadrilaminata,3942.46
Turrilithus latericioides,268.08
Umbellosphaera irregularis,199.53
Umbellosphaera tenuis,321.56
Umbilicosphaera anulus,2226.09
Umbilicosphaera hulburtiana,167.56
Umbilicosphaera sibogae,7420.70
Zygosphaera amoena,60.10
