species,cell volume
Coronosphaera maxima,16365.54
Umbilicosphaera sibogae,7420.7
Scyphosphaera apsteinii,4510.87
Tetralithoides quadrilaminata,3942.46
Syracolithus schilleri,3882.42
Pontosphaera syracusana,2854.54
Acanthoica maxima,2572.44
Umbilicosphaera anulus,2226.09
Syracosphaera tumularis,2026.27
Hymenomonas lacunae,1767.15
Syracosphaera pulchra HOL oblonga ,1767.15
Calyptrolithina multipora,1653.06
Syracosphaera histrica,1596.26
Calyptrosphaera dentata,1540.77
Pleurochrysis carterae var. carterae,1499.21
Coccolithus pelagicus,1467.76
Polycrater galapagensis,1467.76
Oolithotus fragilis,1376.06
Coronosphaera mediterranea HOL hellenica,1223.52
Coronosphaera mediterranea,1190.63
Calyptrolithophora papillifera,1049.89
Polycrater sp.,1022.65
Helladosphaera pienaarii,1015.31
Coronosphaera binodata,904.78
Acanthoica quattrospina HOL,902.52
Michaelsarsia adriaticus,893.52
Syracosphaera florida,884.57
Calcidiscus leptoporus HOL,858.1
Coronosphaera mediterranea HOL wettsteinii,832.17
Calciopappus sp.,817.28
Coccolithus pelagicus HOL,817.28
Syracosphaera halldalii,796.33
Syracosphaera noroitica,796.33
Helicosphaera pavimentum,755.5
Helicosphaera hyalina,753.5
Pleurochrysis roscoffensis,735.62
Coronosphaera sp.,683.69
Calcidiscus leptoporus,597.51
Alisphaera unicornis,595.8
Polycrater sp. ladle like,575.49
Syracosphaera epigrosa,572.15
Palusphaera vandelii,523
Alisphaera pinnigera,485.3
Syracosphaera anthos,485.3
Calciosolenia brasiliensis,461.8
Syracosphaera bannockii,457.48
Ochrosphaera neapolitana,450.34
Poritectolithus maximus,443.27
Syracosphaera protrudens,441.87
Syracosphaera corolla,432.12
Syracosphaera anthos HOL,425.25
Michaelsarsia,422.52
Pappomonas sp. Type 3,410.38
Poritectolithus poritectum,410.38
Syracosphaera didyma,394.57
Syracosphaera exigua,394.57
Syracolithus ponticuliferus,381.7
Placorhombus ziveriae,375.38
Syracosphaera castellata,360.48
Canistrolithus sp.1 HET,340.06
Alveosphaera bimurata,322.69
Umbellosphaera tenuis,321.56
Alisphaera quadrilatera,284.49
Turrilithus latericioides,268.08
Syracosphaera lamina,250.39
Gliscolithus amitakareniae,249.43
Helicosphaera carteri HOL,248.47
Helicosphaera sp.,248.47
Syracosphaera ampliora,248.47
Ceratolithus spp,243.73
Poricalyptra gaarderiae,239.04
Oolithotus antillarum,229.85
Syracosphaera borealis,217.38
Syracosphaera molischii,212.61
Syracosphaera delicata,212.17
Homozygosphaera arethusae,207.06
Syracosphaera dilatata,199.53
Umbellosphaera irregularis,199.53
Alisphaera extenta,189.79
Helicosphaera carteri,189.79
Alisphaera capulata,185.82
Anacanthoica acanthos,180.37
Calicasphaera diconstricta,179.59
Michaelsarsia elegans,179.59
Papposhaera arctica,179.59
Syracosphaera nana HOL,179.59
Rhabdosphaera xiphos,169.77
Umbilicosphaera hulburtiana,167.56
Alisphaera gaudii,166.82
Syracosphaera leptolepis,164.64
Alisphaera ordinata,162.47
Syracosphaera sp.,156.07
Corisphaera gracilis,154.68
Poricalyptra aurisinae,150.53
Poricalyptra isselii,150.53
Alisphaera sp.,149.85
Syracosphaera bannockii HOL,145.12
Cyrtosphaera aculeata,144.46
Calyptrosphaera heimdaliae,143.79
Gladiolithus flabellatus,136.62
Palusphaera sp.1,132.8
Pappomonas sp.,132.8
Rhabdosphaera clavigera,130.92
Sphaerocalyptra sp.1,130.92
Corisphaera tyrrheniensis,127.83
Syracosphaera marginaporata,124.19
Cyrtosphaera sp.,122.99
Syracolithus sp. A,115.95
Syracosphaera hastata,115.95
Papposphaera borealis,113.1
Discosphaera tubifera,107.54
Cyrtosphaera lecaliae,103.75
Papposphaera lepida,99.54
Syracosphaera nodosa,97.48
Calyptrosphaera sphaeroidea,96.46
Acanthoica quattrospina,95.44
Homozygosphaera vercellii,91.95
Syracosphaera ossa,86.64
Anthosphaera fragaria,82.45
Poricalyptra magnaghii,82.45
Homozygosphaera triarcha,81.54
Algirosphaera robusta,77.51
Anthosphaera periperforata,77.51
Syracosphaera nana,75.77
Helladosphaera cornifera,71.94
Calyptrolithina divergens,69.05
Calciosolenia murrayi,66.64
Calciopappus rigidus,65.45
Ophiaster spp,65.45
Syracosphaera rotula,63.51
Zygosphaera amoena,60.1
Gephyrocapsa oceanica,57.91
Syracosphaera pulchra HOL pirus ,53.67
Algirosphaera cucullata,52.65
Helladosphaera vavilovii,51.63
Emiliania huxleyi,47.71
Corisphaera strigilis,42.8
Gephyrocapsa muellerae,40.76
Acanthoica sp.,40.48
Picarola margalefii,36.88
Papposphaera sp. Type 4,36.35
Helicosphaera wallichii,33.76
Florisphaera profunda,33.51
Homozygosphaera spinosa,31.06
Syaracosphaera reniformis,28.73
Gephyrocapsa sp.,28.06
Papposphaera sp.,26.52
Syracosphaera prolongata,23.23
Papposphaera sp. Type 1,22.45
Papposphaera sp. Type 2,22.45
Reticulofenestra parvula,19.33
Anthosphaera lafourcadii,18.82
Gephyrocapsa ornata,18.14
Sphaerocalyptra sp.,17.97
Syracosphaera pulchra,16.52
Gephyrocapsa ericsonii,10.08
Pappomonas sp. Type 2,9.97
Sphaerocalyptra quadridentata,4.19
