species,phase,2N,ref,genera,family,size_mean_obrien2013,size_mean_sheward2024,PIC_mean,size_std_sheward2024,PIC_std
Syracosphaera pulchra HOL,HOL,Syracosphaera pulchra,,Syracosphaera,Syracosphaeraceae,,2287.9500000000003,19.201666666666668,654.4318205894331,12.926347383026139
Syracosphaera histrica HOL,HOL,Syracosphaera histrica,,Syracosphaera,Syracosphaeraceae,,,,,
Syracosphaera arethusae HOL,HOL,Syracosphaera arethusae,,Syracosphaera,Syracosphaeraceae,,454.9,2.72,,
Syracosphaera anthos HOL,HOL,Syracosphaera anthos,,Syracosphaera,Syracosphaeraceae,,1250.55,11.95,464.555013103938,0.8626702730475878
Syracosphaera molischii HOL,HOL,Syracosphaera molischii,,Syracosphaera,Syracosphaeraceae,,38.02,0.81,,
Syracosphaera bannockii HOL,HOL,Syracosphaera bannockii,,Syracosphaera,Syracosphaeraceae,,64.53,0.915,13.994970525156534,0.040414518843273795
Syracosphaera mediterranea HOL wettsteinii type,HOL,Syracosphaera mediterranea,,Syracosphaera,Syracosphaeraceae,,260.4533333333333,4.8133333333333335,5.363584000771656,0.629311793416692
Syracosphaera strigilis HOL,HOL,Syracosphaera strigilis,,Syracosphaera,Syracosphaeraceae,,114.8,2.1,,
Syracosphaera aurisinae HOL,HOL,Syracosphaera aurisinae,,Syracosphaera,Syracosphaeraceae,,284.24666666666667,8.213333333333333,103.60829326522725,1.0771412782608103
Syracosphaera periperforata HOL,HOL,Syracosphaera periperforata,,Syracosphaera,Syracosphaeraceae,,,,,
Syracosphaera magnaghii HOL,HOL,Syracosphaera magnaghii,,Syracosphaera,Syracosphaeraceae,,,,,
Syracosphaera mediterranea HOL gracillima type,HOL,Syracosphaera mediterranea,,Syracosphaera,Syracosphaeraceae,,452.89,8.28,,
Syracosphaera isselii HOL,HOL,Syracosphaera isselii,,Syracosphaera,Syracosphaeraceae,,,,,
Syracosphaera mediterranea HOL marisrubri type,HOL,Syracosphaera mediterranea,,Syracosphaera,Syracosphaeraceae,,,,,
Syracosphaera gaarderae HOL,HOL,Syracosphaera gaarderae,,Syracosphaera,Syracosphaeraceae,,,,,
Syracosphaera pulchra,HET,,,Syracosphaera,Syracosphaeraceae,,1302.46,41.89666666666667,633.2897367714087,22.891938173368658
Syracosphaera molischii,HET,,,Syracosphaera,Syracosphaeraceae,,130.17000000000002,1.932,98.61035589069178,1.495852042594231
Syracosphaera mediterranea,HET,,,Syracosphaera,Syracosphaeraceae,,452.33,2.21,,
Syracosphaera ossa,HET,,,Syracosphaera,Syracosphaeraceae,,136.7215,2.2545,83.47527489433149,0.9698696331276477
Syracosphaera histrica,HET,,,Syracosphaera,Syracosphaeraceae,,,,,
Syracosphaera anthos,HET,,,Syracosphaera,Syracosphaeraceae,,332.59666666666664,1.2266666666666666,194.37651512807128,0.028867513459481235
Syracosphaera nodosa,HET,,,Syracosphaera,Syracosphaeraceae,,266.55100000000004,1.7690000000000001,241.50909205107234,1.2291681920894488
Syracosphaera prolongata,HET,,,Syracosphaera,Syracosphaeraceae,,933.6409677419355,3.3351612903225805,2075.5472683533453,3.201988830885935
Syracosphaera corolla,HET,,,Syracosphaera,Syracosphaeraceae,,,,,
Syracosphaera halldalli,HET,,,Syracosphaera,Syracosphaeraceae,,207.09620689655173,1.1572413793103449,218.40247755681636,0.8598666696966295
Syracosphaera neapolitana,HET,,,Syracosphaera,Syracosphaeraceae,,151.8,0.94,88.147931342715,0.11313708498984766
Syracosphaera marginiporata,HET,,,Syracosphaera,Syracosphaeraceae,,,,,
Syracosphaera protrudens,HET,,,Syracosphaera,Syracosphaeraceae,,,,,
Syracosphaera rotula,HET,,,Syracosphaera,Syracosphaeraceae,,170.53333333333333,1.645,65.55119856519278,0.57483330917174
