species	phase	alternate_phase	reference	ref
Acanthoica acanthifera	HET			
Acanthoica acanthos	HET			
Acanthoica quattrospina	HET	Acanthoica quattrospina HOL		Cros et al., 2000
Acanthoica quattrospina	HET	Acanthoica quattrospina HOL		Cros et al., 2002
Acanthoica quattrospina	HET	Acanthoica quattrospina HOL		Supraha et al., 2014
Acanthoica quattrospina	HET	Acanthoica quattrospina HOL		Triantaphyllou et al., 2015
Acanthoica quattrospina HOL	HOL	Acanthoica quattrospina		Cros et al., 2000
Acanthoica quattrospina HOL	HOL	Acanthoica quattrospina		Cros et al., 2002
Acanthoica quattrospina HOL	HOL	Acanthoica quattrospina		Supraha et al., 2014
Acanthoica quattrospina HOL	HOL	Acanthoica quattrospina		Triantaphyllou et al., 2015
Algirosphaera robusta	HET			
Alisphaera capulata	HET			
Alisphaera extenta	HET			
Alisphaera gaudii	HET			
Alisphaera gaudii POL	POL			
Alisphaera pinnigera	HET			
Alisphaera unicornis	HET	Alisphaera unicornis POL		Supraha et al., 2018
Alisphaera unicornis POL	POL	Alisphaera unicornis		Supraha et al., 2018
Calcidiscus leptoporus	HET	Calcidiscus leptoporus HOL		Kleijne et al., 1991
Calcidiscus leptoporus	HET	Calcidiscus leptoporus HOL		Cortes et al., 2000
Calcidiscus leptoporus	HET	Calcidiscus leptoporus HOL		Renaud et al., 2001
Calcidiscus leptoporus	HET	Calcidiscus leptoporus HOL		Houdan et al., 2004
Calcidiscus leptoporus	HET	Calcidiscus leptoporus HOL		Geisen et al., 2002
Calcidiscus leptoporus HOL	HOL	Calcidiscus leptoporus		Kleijne et al., 1991
Calcidiscus leptoporus HOL	HOL	Calcidiscus leptoporus		Cortes et al., 2000
Calcidiscus leptoporus HOL	HOL	Calcidiscus leptoporus		Renaud et al., 2001
Calcidiscus leptoporus HOL	HOL	Calcidiscus leptoporus		Houdan et al., 2004
Calcidiscus leptoporus HOL	HOL	Calcidiscus leptoporus		Geisen et al., 2002
Calciopappus caudatus	HET			
Calciopappus rigidus	HET			
Calciosolenia brasiliensis	HET			
Calciosolenia murrayi	HET			
Calicasphaera blokii	HOL			
Calicasphaera concava	HOL			
Calicasphaera diconstricta	HOL			
Calyptrolithina divergens	HOL	Syracosphaera halldalii		Triantaphyllou et al., 2004
Calyptrolithina multipora	HOL			
Calyptrosphaera heimdaliae	HOL	Cyrtosphaera aculeata		Triantaphyllou et al., 2015
Calyptrosphaera sphaeroidea HOL	HOL	Calyptrosphaera sphaeroidea		Noël et al., 2004
Ceratolithus cristatus CER	CER	Ceratolithus cristatus HET		Archontikis et al., 2020
