,count,species
0,133,Acanthoica acanthifera
1,1,Acanthoica biscayensis
2,4,Acanthoica maxima
3,656,Acanthoica quattrospina
4,1,Acanthoica quattrospina COMB
5,20,Acanthoica quattrospina HOL
6,16,Acanthoica sp.
7,115,Acanthoica spp.
8,9,Algirosphaera cucullata
9,736,Algirosphaera robusta
10,24,Alisphaera capulata
11,65,Alisphaera extenta
12,78,Alisphaera gaudii
13,0,Alisphaera gaudii COMB
14,23,Alisphaera gaudii POL
15,14,Alisphaera ordinata
16,39,Alisphaera pinnigera
17,7,Alisphaera quadrilatera
18,128,Alisphaera unicornis
19,1,Alisphaera unicornis COMB
20,163,Alisphaera unicornis POL
21,1,Balaniger virgulosa
22,16,Braarudosphaera bigelowii
23,698,Calcidiscus leptoporus
24,160,Calcidiscus leptoporus HOL
25,142,Calciopappus caudatus
26,132,Calciopappus rigidus
27,608,Calciosolenia brasiliensis
28,3,Calciosolenia corselli
29,448,Calciosolenia murrayi
30,20,Calicasphaera blokii
31,23,Calicasphaera concava
32,25,Calicasphaera diconstricta
33,107,Calyptrolithina divergens
34,30,Calyptrolithina multipora
35,2,Calyptrosphaera cialdii
36,68,Calyptrosphaera heimdalae
37,9,Calyptrosphaera sphaeroidea
38,53,Calyptrosphaera sphaeroidea HOL
39,3,Canistrolithus valliformis
40,171,Ceratolithus cristatus
41,45,Ceratolithus cristatus CER
42,6,Ceratolithus nishidae CER
43,7,Chrysotila carterae
44,2,Chrysotila roscoffensis
45,216,Coccolithus pelagicus
46,36,Coccolithus pelagicus HOL
47,179,Corisphaera gracilis
48,45,Corisphaera tyrrheniensis
49,3,Coronosphaera mediterranea COMB
50,143,Cyrtosphaera aculeata
51,8,Cyrtosphaera cidaris
52,972,Discosphaera tubifera
53,2737,Emiliania huxleyi
54,528,Florisphaera profunda
55,6,Flosculosphaera calceolariopsis
56,23,Formonsella pyramidosa
57,736,Gephyrocapsa ericsonii
58,203,Gephyrocapsa muellerae
59,726,Gephyrocapsa oceanica
60,65,Gephyrocapsa ornata
61,52,Gephyrocapsa parvula
62,209,Gladiolithus flabellatus
63,26,Gliscolithus amitakareniae
64,25,Hayaster perplexus
65,75,Helicosphaera HOL catilliferus type
66,24,Helicosphaera HOL confusus type
67,149,Helicosphaera HOL ponticuliferus type
68,0,Helicosphaera HOL type
69,542,Helicosphaera carteri
70,50,Helicosphaera hyalina
71,71,Helicosphaera pavimentum
72,85,Helicosphaera pavimentum HOL
73,61,Helicosphaera wallichii
74,211,Helladosphaera cornifera
75,6,Helladosphaera vavilovii
76,16,Holococcolithophora dentata
77,5,Holococcolithophora kastriensis
78,100,Homozygosphaera spinosa
79,50,Homozygosphaera triarcha
80,2,Hughesius youngii
81,0,Hymenomonas lacuna
82,1,Hymenomonas roseola
83,10,Kataspinifera baumannii
84,262,Michaelsarsia adriaticus
85,306,Michaelsarsia elegans
86,1,Navilithus altivelum
87,2,Ochrosphaera neapolitana
88,277,Oolithotus antillarum
89,141,Oolithotus fragilis
90,155,Ophiaster formosus
91,443,Ophiaster hydroideus
92,14,Ophiaster macrospinus
93,18,Ophiaster minimus
94,15,Ophiaster reductus
95,26,Palusphaera sp.
96,31,Palusphaera spp.
97,305,Palusphaera vandelii
98,8,Pappomonas borealis
99,1,Pappomonas flabellifera
100,26,Pappomonas type 3
101,5,Pappomonas type 4
102,26,Pappomonas type 5
103,11,Pappomonas vexillata
104,7,Papposphaera arctica
105,108,Papposphaera lepida
106,1,Papposphaera sagittifera
107,1,Papposphaera thomsenii
108,4,Papposphaera type 1
109,1,Papposphaera type 2
110,11,Papposphaera type 3
111,6,Papposphaera type 4
112,54,Picarola margalefii
113,9,Pileolosphaera longistirpes
114,2,Placorhombus ziveriae
115,3,Pontosphaera discopora
116,6,Pontosphaera japonica
117,2,Pontosphaera japonica HOL
118,1,Pontosphaera multipora
119,44,Pontosphaera syracusana
120,11,Poritectolithus maximus
121,7,Poritectolithus poritectum
122,1,Pseudowigwamma scenozonion
123,56,Reticulofenestra sessilis
124,1061,Rhabdosphaera clavigera
125,307,Rhabdosphaera xiphos
126,1,Rhabdosphaera xiphos COMB
127,80,Scyphosphaera apsteinii
128,17,Scyphosphaera apsteinii HOL
129,2,Solisphaera emidasia
130,3,Solisphaera galbula
131,1,Solisphaera helianthiformis
132,3,Solisphaera turbinella
133,25,Sphaerocalyptra adenensis
134,2,Sphaerocalyptra dermitzakii
135,88,Sphaerocalyptra quadridentata
136,6,Sphaerocalyptra youngii
137,3,Syracolithus bicorium
138,10,Syracolithus type A
139,47,Syracosphaera ampliora
140,10,Syracosphaera andruleitii
141,296,Syracosphaera anthos
142,133,Syracosphaera anthos HOL
143,36,Syracosphaera anthos type
144,52,Syracosphaera arethusae
145,2,Syracosphaera arethusae COMB
146,174,Syracosphaera arethusae HOL
147,26,Syracosphaera aurisinae
148,79,Syracosphaera aurisinae HOL
149,1,Syracosphaera azureaplaneta
150,63,Syracosphaera bannockii
151,1,Syracosphaera bannockii COMB
152,123,Syracosphaera bannockii HOL
153,35,Syracosphaera borealis
154,12,Syracosphaera castellata
155,207,Syracosphaera corolla
156,94,Syracosphaera dilatata
157,66,Syracosphaera epigrosa
158,43,Syracosphaera exigua
159,5,Syracosphaera florida
160,45,Syracosphaera gaarderae
161,34,Syracosphaera gaarderae HOL
162,200,Syracosphaera halldalli
163,100,Syracosphaera hastata
164,326,Syracosphaera histrica
165,180,Syracosphaera histrica HOL
166,60,Syracosphaera isselii HOL
167,19,Syracosphaera lafourcadii HOL
168,17,Syracosphaera leptolepsis
169,70,Syracosphaera magnaghii HOL
170,120,Syracosphaera marginiporata
171,7,Syracosphaera marginiporata HOL
172,1,Syracosphaera maxima
173,421,Syracosphaera mediterranea
174,44,Syracosphaera mediterranea HOL gracillima type
175,11,Syracosphaera mediterranea HOL hellenica type
176,36,Syracosphaera mediterranea HOL marisrubri type
177,97,Syracosphaera mediterranea HOL wettsteinii type
178,668,Syracosphaera molischii
179,132,Syracosphaera molischii HOL
180,23,Syracosphaera nana HOL
181,134,Syracosphaera neapolitana
182,255,Syracosphaera nodosa
183,44,Syracosphaera noroitica
184,85,Syracosphaera orbiculus
185,3,Syracosphaera orbiculus HOL
186,399,Syracosphaera ossa
187,76,Syracosphaera periperforata HOL
188,250,Syracosphaera prolongata
189,5,Syracosphaera prolongata type
190,109,Syracosphaera protrudens
191,1020,Syracosphaera pulchra
192,1,Syracosphaera pulchra COMB
193,523,Syracosphaera pulchra HOL
194,33,Syracosphaera reniformis
195,2,Syracosphaera rhombica
196,1,Syracosphaera rotaconica HOL
197,102,Syracosphaera rotula
198,12,Syracosphaera rotula type
199,2,Syracosphaera serrata
200,37,Syracosphaera squamosa
201,17,Syracosphaera strigilis
202,2,Syracosphaera strigilis COMB
203,86,Syracosphaera strigilis HOL
204,49,Syracosphaera tumularis
205,0,Tergestiella adriatica
206,17,Tetralithoides quadrilaminata
207,23,Turrilithus latericioides
208,1134,Umbellosphaera irregularis
209,1090,Umbellosphaera tenuis
210,98,Umbilicosphaera anulus
211,97,Umbilicosphaera foliosa
212,314,Umbilicosphaera hulburtiana
213,638,Umbilicosphaera sibogae
214,4,Vexillarius cancellifer
215,1,Vexillarius iaculifer
216,34,Wigwamma antarctica
217,1,Wigwamma triradiata
218,94,Zygosphaera amoena
219,42,Zygosphaera marsilii
220,1153,undefined
221,3,undefined Algirosphaera
222,55,undefined Alisphaera
223,21,undefined Anthosphaera
224,221,undefined Calciopappus
225,127,undefined Calciosolenia
226,70,undefined Calciosoleniaceae
227,16,undefined Calyptrosphaera
228,17,undefined Canistrolithus
229,50,undefined Ceratolithus
230,1,undefined Chiasmolithus
231,7,undefined Crystallolithus
232,4,undefined Cyrtosphaera
233,7,undefined Ericiolus
234,3,undefined Florisphaera
235,114,undefined Gephyrocapsa
236,38,undefined Helicosphaera
237,7,undefined Homozygosphaera
238,6,undefined Hymenomonas
239,1,undefined Jomonlithus
240,17,undefined Michaelsarsia
241,62,undefined Oolithotus
242,218,undefined Ophiaster
243,121,undefined Pappamonas
244,71,undefined Papposphaera
245,46,undefined Papposphaeracea
246,8,undefined Papposphaeraceae HOL
247,47,undefined Polycrater
248,7,undefined Pontosphaera
249,4,undefined Reticulafenestra
250,36,undefined Rhabdosphaera
251,53,undefined Rhabdosphaeraceae
252,1,undefined Scyphosphaera
253,50,undefined Solisphaera
254,50,undefined Sphaerocalyptra
255,17,undefined Syracolithus
256,996,undefined Syracosphaera
257,66,undefined Syracosphaera lamina type
258,201,undefined Syracosphaera mediterranea HOL
259,15,undefined Syracosphaeraceae
260,1,undefined Turrisphaera
261,80,undefined Umbellosphaera
262,25,undefined Umbilicosphaera
263,1,undefined Vexillarius
264,4,undefined Wigwamma
265,195,undefined hetero
266,660,undefined holo
