,species,contribution
0,A. periperforata,1.3371942311051663e-116
1,Acanthoica acanthifera,7.582144386157396e-30
2,Acanthoica biscayensis,0.0
3,Acanthoica maxima,0.0
4,Acanthoica quattrospina,2.5312541013391314e-09
5,Acanthoica quattrospina COMB,2.973471450189881e-81
6,Acanthoica quattrospina HOL,6.448637656941582e-168
7,Algirosphaera cucullata,1.2323406872284645e-91
8,Algirosphaera robusta,3.794746344216522e-36
9,Alisphaera capulata,0.0
10,Alisphaera extenta,5.013699987822145e-53
11,Alisphaera gaudii,9.372801452133926e-46
12,Alisphaera gaudii POL,9.89545955e-316
13,Alisphaera ordinata,5.353268159850992e-175
14,Alisphaera pinnigera,4.978319177184545e-91
15,Alisphaera quadrilatera,0.0
16,Alisphaera unicornis,2.176391230862261e-57
17,Alisphaera unicornis COMB,0.0
18,Alisphaera unicornis POL,1.926558667287705e-12
19,Balaniger virgulosa,0.0
20,Braarudosphaera bigelowii,7.231944412350868e-107
21,Calcidiscus leptoporus,4.494313315766469e-09
22,Calcidiscus leptoporus HOL,2.8499518336846183e-09
23,Calciopappus caudatus,7.165951152740924e-55
24,Calciopappus rigidus,6.449491995672096e-10
25,Calciosolenia brasiliensis,7.930067009493193e-11
26,Calciosolenia corselli,7.789506402793623e-270
27,Calciosolenia murrayi,1.287862085304795e-49
28,Calicasphaera blokii,0.0
29,Calicasphaera concava,4.809193280026942e-71
30,Calicasphaera diconstricta,3.3159611212741316e-29
31,Calyptrolithina divergens,5.182194872844197e-52
32,Calyptrolithina multipora,2.1831525342492496e-48
33,Calyptrosphaera cialdii,0.0
34,Calyptrosphaera heimdalae,4.583074123383096e-174
35,Calyptrosphaera sphaeroidea,0.0
36,Calyptrosphaera sphaeroidea HOL,0.018952430861251583
37,Canistrolithus valliformis,0.0
38,Ceratolithus cristatus,3.58174101908107e-07
39,Ceratolithus cristatus CER,4.78177496755864e-61
40,Ceratolithus nishidae CER,4.782206787946245e-20
41,Chrysotila carterae,1.48388857e-316
42,Chrysotila roscoffensis,0.0
43,Coccolithus pelagicus,1.3811724682281586e-09
44,Coccolithus pelagicus HOL,0.0
45,Corisphaera gracilis,1.0584596658841807e-57
46,Corisphaera tyrrheniensis,2.637185856530921e-06
47,Coronosphaera mediterranea COMB,5.0621744491222816e-76
48,Cyrtosphaera aculeata,4.730497586387772e-52
49,Cyrtosphaera cidaris,4.334070693458917e-159
50,Discosphaera tubifera,0.03492898507264268
51,Emiliania huxleyi,5.201474236863837e-13
52,Florisphaera profunda,0.003463339993345889
53,Flosculosphaera calceolariopsis,2.680519813618324e-169
54,Formonsella pyramidosa,1.3701309133103188e-08
55,Gephyrocapsa ericsonii,0.00021689817566761425
56,Gephyrocapsa muellerae,9.519203657610542e-10
57,Gephyrocapsa oceanica,1.922628461390033e-26
58,Gephyrocapsa ornata,1.9859492599675873e-68
59,Gephyrocapsa parvula,2.3790431593809823e-66
60,Gladiolithus flabellatus,3.1891714442185985e-06
61,Gliscolithus amitakareniae,7.333293812751321e-57
62,Hayaster perplexus,7.430319940899794e-278
63,Helicosphaera HOL catilliferus type,1.73275184370262e-56
64,Helicosphaera HOL confusus type,5.191870575069725e-251
65,Helicosphaera HOL ponticuliferus type,2.494219046065661e-72
66,Helicosphaera carteri,2.704497712152788e-26
67,Helicosphaera hyalina,4.216505112747662e-60
68,Helicosphaera pavimentum,6.626080973916592e-46
69,Helicosphaera pavimentum HOL,4.464581215446825e-18
70,Helicosphaera wallichii,2.8473102086745225e-74
71,Helladosphaera cornifera,1.7010014797894375e-43
72,Helladosphaera pienaarii,0.2093565509872649
73,Helladosphaera vavilovii,0.0
74,Holococcolithophora dentata,3.847915659588911e-155
75,Holococcolithophora kastriensis,5.462446720941921e-62
76,Homozygosphaera spinosa,4.4691140903232126e-05
77,Homozygosphaera triarcha,3.4585244906519e-14
78,Hughesius youngii,2.765578337653495e-68
79,Hymenomonas roseola,0.0
80,Kataspinifera baumannii,5.9382283179540144e-89
81,Michaelsarsia adriaticus,1.2280960539533182e-08
82,Michaelsarsia elegans,2.4856601973563448e-89
83,Navilithus altivelum,0.0
84,Ochrosphaera neapolitana,5.166270383403271e-106
85,Oolithotus antillarum,2.063719652735981e-17
86,Oolithotus fragilis,5.393743149484307e-98
87,Ophiaster formosus,2.6407998942980647e-203
88,Ophiaster hydroideus,8.703213428437639e-35
89,Ophiaster macrospinus,0.0
90,Ophiaster minimus,5.078323768172772e-85
91,Ophiaster reductus,4.0341260946211465e-303
92,P. longistipies,2.518981486147452e-264
93,Palusphaera vandelii,7.505037385787635e-43
94,Pappomonas borealis,3.76942486612255e-147
95,Pappomonas flabellifera,9.023244221888863e-73
96,Pappomonas type 3,3.3737732201923404e-10
97,Pappomonas type 4,6.635782731476335e-168
98,Pappomonas type 5,4.421531611707874e-255
